@@,geo,time,improved_water_source_overall_access_percent,changes(%)
->,tca,1996,100->87,13.00
->,tca,1997,100->87,13.00
->,tca,1998,100->87,13.00
->,tca,1999,100->87,13.00
->,tca,2000,100->87.1,12.90
->,tca,2001,100->87.1,12.90
->,tca,2002,100->87.1,12.90
->,tca,2003,100->87.1,12.90
->,tca,2004,100->87,13.00
->,tca,2005,100->87,13.00
->,tca,2006,100->87.1,12.90
->,tca,2007,100->87.1,12.90
---,tca,2008,100,
---,tca,2009,100,
---,tca,2010,100,
+++,tuv,2011,97.7,
+++,tuv,2012,97.7,
+++,tuv,2013,97.7,
+++,tuv,2014,97.7,
+++,tuv,2015,97.7,
+++,uga,2011,74.2,
+++,uga,2012,75.8,
+++,uga,2013,77.4,
+++,uga,2014,78.9,
+++,uga,2015,79,
+++,ukr,2011,96.6,
+++,ukr,2012,96.5,
+++,ukr,2013,96.4,
+++,ukr,2014,96.3,
+++,ukr,2015,96.2,
+++,are,2011,99.6,
+++,are,2012,99.6,
+++,are,2013,99.6,
+++,are,2014,99.6,
+++,are,2015,99.6,
...,...,...,...,
+++,gbr,2011,100,
+++,gbr,2012,100,
+++,gbr,2013,100,
+++,gbr,2014,100,
+++,gbr,2015,100,
...,...,...,...,
+++,usa,2011,99.1,
+++,usa,2012,99.1,
+++,usa,2013,99.2,
+++,usa,2014,99.2,
+++,usa,2015,99.2,
+++,ury,2011,99.1,
+++,ury,2012,99.3,
+++,ury,2013,99.5,
+++,ury,2014,99.6,
+++,ury,2015,99.7,
+++,uzb,2011,87.3,
+++,uzb,2012,87.3,
+++,vut,2011,89.7,
+++,vut,2012,90.9,
+++,vut,2013,92.1,
+++,vut,2014,93.3,
+++,vut,2015,94.5,
+++,ven,2008,92.4,
+++,ven,2009,92.5,
+++,ven,2010,92.7,
+++,ven,2011,92.8,
+++,ven,2012,92.9,
+++,ven,2013,93.1,
+++,ven,2014,93.1,
+++,ven,2015,93.1,
->,vnm,1990,57->62.7,10.00
+++,vnm,2011,92.6,
+++,vnm,2012,93.8,
+++,vnm,2013,95.1,
+++,vnm,2014,96.4,
+++,vnm,2015,97.6,
->,pse,2006,87->78.2,10.11
->,pse,2007,86->76,11.63
->,pse,2008,85->73.8,13.18
->,pse,2009,85->71.7,15.65
->,pse,2010,85->69.5,18.24
+++,pse,2011,67.3,
+++,pse,2012,65.1,
+++,pse,2013,62.8,
+++,pse,2014,60.6,
+++,pse,2015,58.4,
+++,yem,2011,54.7,
+++,yem,2012,54.9,
+++,zmb,2011,62.2,
+++,zmb,2012,63,
+++,zmb,2013,63.8,
+++,zmb,2014,64.6,
+++,zmb,2015,65.4,
+++,zwe,2011,77.7,
+++,zwe,2012,77.5,
+++,zwe,2013,77.3,
+++,zwe,2014,77.1,
+++,zwe,2015,76.9,
