@@,geo,time,mean_years_in_school_women_percent_men_25_to_34_years,changes(%)
+++,usa,2011,102.81889,
+++,uzb,2011,101.22549,
+++,vct,2011,107.81893,
+++,ven,2011,108.72618,
+++,vnm,2011,98.25328,
+++,vut,2011,93.98411,
+++,wsm,2011,106.53096,
+++,yem,2011,28.11634,
+++,zaf,2011,103.4384,
+++,zmb,2011,83.37209,
+++,zwe,2011,90.41746,
+++,afg,2012,23.11688,
+++,ago,2012,71.72012,
+++,alb,2012,101.90311,
+++,and,2012,105.50787,
+++,are,2012,105.3112,
+++,arg,2012,107.91058,
+++,arm,2012,104.20445,
+++,atg,2012,109.84375,
+++,aus,2012,102.46734,
+++,aut,2012,100.70478,
+++,aze,2012,100.47393,
+++,bdi,2012,76.62083,
+++,bel,2012,104.28677,
+++,ben,2012,47.61905,
+++,bfa,2012,59.09091,
+++,bgd,2012,76.17504,
+++,bgr,2012,106.44122,
+++,bhr,2012,107.12009,
+++,bhs,2012,106.80162,
+++,bih,2012,98.9899,
+++,blr,2012,104.94545,
+++,blz,2012,98.9339,
+++,bol,2012,90.26037,
+++,bra,2012,112.60816,
+++,brb,2012,108.01217,
+++,brn,2012,99.22753,
+++,btn,2012,47.36842,
+++,bwa,2012,113.0854,
+++,caf,2012,58.02651,
+++,can,2012,101.72528,
+++,che,2012,98.178,
+++,chl,2012,103.79951,
+++,chn,2012,87.92453,
+++,civ,2012,58.91089,
+++,cmr,2012,78.83041,
+++,cod,2012,68.30409,
+++,cog,2012,84.70111,
+++,col,2012,106.61841,
+++,com,2012,78.90295,
+++,cpv,2012,86.93009,
+++,cri,2012,108.52391,
+++,cub,2012,105.21092,
+++,cyp,2012,103.33575,
+++,cze,2012,102.47273,
+++,deu,2012,101.39398,
+++,dji,2012,46.625,
+++,dma,2012,110.80332,
+++,dnk,2012,103.87051,
+++,dom,2012,110.61394,
+++,dza,2012,89.74042,
+++,ecu,2012,104.57198,
+++,egy,2012,80.75472,
+++,eri,2012,60.39933,
+++,esp,2012,104.82315,
+++,est,2012,107.98771,
+++,eth,2012,60,
+++,fin,2012,105.69164,
+++,fji,2012,103.29181,
+++,fra,2012,105.74981,
+++,fsm,2012,98.13312,
+++,gab,2012,98.98271,
+++,gbr,2012,102.03938,
+++,geo,2012,104.26471,
+++,gha,2012,76.74685,
+++,gin,2012,39.91507,
+++,gmb,2012,52.11726,
+++,gnb,2012,45.84222,
+++,gnq,2012,72.86325,
+++,grc,2012,103.54391,
+++,grd,2012,108.01217,
+++,gtm,2012,86.73184,
+++,guy,2012,104.8583,
+++,hnd,2012,107.57979,
+++,hrv,2012,106.22261,
+++,hti,2012,82.54172,
+++,hun,2012,103.76923,
+++,idn,2012,93.20288,
+++,ind,2012,66.29766,
+++,irl,2012,104.74777,
+++,irn,2012,86.82746,
+++,irq,2012,79.42122,
+++,isl,2012,106.71091,
+++,isr,2012,103.7889,
+++,ita,2012,103.50746,
+++,jam,2012,107.02515,
+++,jor,2012,99.25125,
+++,jpn,2012,102.15779,
+++,kaz,2012,103.92006,
+++,ken,2012,89.49537,
+++,kgz,2012,104.12131,
+++,khm,2012,76.52174,
+++,kir,2012,103.35861,
+++,kor,2012,98.33795,
+++,kwt,2012,103.8961,
+++,lao,2012,82.34443,
+++,lbn,2012,105.01446,
+++,lbr,2012,59.20471,
+++,lby,2012,70.36145,
+++,lca,2012,108.93536,
+++,lka,2012,103.63467,
+++,lso,2012,126.32944,
+++,ltu,2012,104.22961,
+++,lux,2012,102.32384,
+++,lva,2012,106.84932,
+++,mar,2012,69.19505,
+++,mda,2012,107.56235,
+++,mdg,2012,91.65402,
+++,mdv,2012,94.82072,
+++,mex,2012,98.75,
+++,mhl,2012,102.49501,
+++,mkd,2012,102.76151,
+++,mli,2012,50.89606,
+++,mlt,2012,101.92837,
+++,mmr,2012,102.68741,
+++,mne,2012,100.72058,
+++,mng,2012,110.91954,
+++,moz,2012,55.98377,
+++,mrt,2012,66.66667,
+++,mus,2012,98.8978,
+++,mwi,2012,68.84273,
+++,mys,2012,101.23894,
+++,nam,2012,105.9293,
+++,ner,2012,47.95539,
+++,nga,2012,72.54005,
+++,nic,2012,111.91099,
+++,nld,2012,100.42164,
+++,nor,2012,103.22359,
+++,npl,2012,48.45815,
+++,nzl,2012,104.04542,
+++,omn,2012,83.35135,
+++,pak,2012,54.7486,
+++,pan,2012,108.78623,
+++,per,2012,95.27491,
+++,phl,2012,107.8673,
+++,png,2012,71.3198,
+++,pol,2012,105.03282,
+++,prk,2012,91.26134,
+++,prt,2012,109.41526,
+++,pry,2012,109.70655,
+++,pse,2012,95.75045,
+++,qat,2012,122.53855,
+++,rou,2012,101.21029,
+++,rus,2012,105.23213,
+++,rwa,2012,87.17949,
+++,sau,2012,75.31069,
+++,sdn,2012,73.13019,
+++,sen,2012,62.03905,
+++,sgp,2012,98.2327,
+++,slb,2012,86.43868,
+++,sle,2012,51.98238,
+++,slv,2012,97.75785,
+++,som,2012,49.45355,
+++,srb,2012,103.38284,
+++,ssd,2012,35.29412,
+++,stp,2012,81.65517,
+++,sur,2012,100.52138,
+++,svk,2012,103.11314,
+++,svn,2012,105.59387,
+++,swe,2012,104.16667,
+++,swz,2012,102.37069,
+++,syc,2012,100.36069,
+++,syr,2012,83.03477,
+++,tcd,2012,32.88889,
+++,tgo,2012,54.21348,
+++,tha,2012,101.80467,
+++,tjk,2012,93.50329,
+++,tkm,2012,101.1169,
+++,tls,2012,83.03342,
+++,ton,2012,103.16344,
+++,tto,2012,106.12076,
+++,tun,2012,80.16838,
+++,tur,2012,83.60324,
+++,twn,2012,100.51622,
+++,tza,2012,87.36842,
+++,uga,2012,73.77892,
+++,ukr,2012,104.16667,
+++,ury,2012,109.71698,
+++,usa,2012,102.86914,
+++,uzb,2012,101.3754,
+++,vct,2012,108.01217,
+++,ven,2012,108.80317,
+++,vnm,2012,98.60065,
+++,vut,2012,94.30168,
+++,wsm,2012,106.62196,
+++,yem,2012,28.62958,
+++,zaf,2012,103.67925,
+++,zmb,2012,83.94495,
+++,zwe,2012,90.82397,
+++,afg,2013,23.35025,
+++,ago,2013,72.2063,
+++,alb,2013,102.05128,
+++,and,2013,105.53191,
+++,are,2013,105.32787,
+++,arg,2013,107.9932,
+++,arm,2013,104.40457,
+++,atg,2013,109.82212,
+++,aus,2013,102.58993,
+++,aut,2013,100.85337,
+++,aze,2013,100.70423,
+++,bdi,2013,77.11538,
+++,bel,2013,104.32234,
+++,ben,2013,47.94776,
+++,bfa,2013,59.72696,
+++,bgd,2013,76.78855,
+++,bgr,2013,106.53907,
+++,bhr,2013,107.2327,
+++,bhs,2013,106.89103,
+++,bih,2013,99.27536,
+++,blr,2013,105.04323,
+++,blz,2013,99.15966,
+++,bol,2013,90.5804,
+++,bra,2013,112.77372,
+++,brb,2013,108.2,
+++,brn,2013,99.30362,
+++,btn,2013,47.73083,
+++,bwa,2013,113.24324,
+++,caf,2013,58.61071,
+++,can,2013,101.781,
+++,che,2013,98.40056,
+++,chl,2013,104,
+++,chn,2013,88.36127,
+++,civ,2013,59.48136,
+++,cmr,2013,79.26267,
+++,cod,2013,68.7788,
+++,cog,2013,85.2,
+++,col,2013,106.82977,
+++,com,2013,79.41989,
+++,cpv,2013,87.33234,
+++,cri,2013,108.71795,
+++,cub,2013,105.3148,
+++,cyp,2013,103.52518,
+++,cze,2013,102.5974,
+++,deu,2013,101.52727,
+++,dji,2013,47.23247,
+++,dma,2013,110.84777,
+++,dnk,2013,103.91061,
+++,dom,2013,110.66667,
+++,dza,2013,90.04854,
+++,ecu,2013,104.80307,
+++,egy,2013,81.36067,
+++,eri,2013,61.01142,
+++,esp,2013,104.93238,
+++,est,2013,108.06697,
+++,eth,2013,60.50847,
+++,fin,2013,105.71429,
+++,fji,2013,103.42707,
+++,fra,2013,105.84615,
+++,fsm,2013,98.31325,
+++,gab,2013,99.29648,
+++,gbr,2013,102.09205,
+++,geo,2013,104.30029,
+++,gha,2013,77.28814,
+++,gin,2013,40.33264,
+++,gmb,2013,52.55591,
+++,gnb,2013,46.34656,
+++,gnq,2013,73.36842,
+++,grc,2013,103.66133,
+++,grd,2013,108.2,
+++,gtm,2013,87.10562,
+++,guy,2013,104.99002,
+++,hnd,2013,107.97386,
+++,hrv,2013,106.41804,
+++,hti,2013,82.97604,
+++,hun,2013,103.8872,
+++,idn,2013,93.60406,
+++,ind,2013,66.82809,
+++,irl,2013,104.85294,
+++,irn,2013,87.28271,
+++,irq,2013,80.02114,
+++,isl,2013,106.72515,
+++,isr,2013,103.83065,
+++,ita,2013,103.62426,
+++,jam,2013,107.20412,
+++,jor,2013,99.42387,
+++,jpn,2013,102.20884,
+++,kaz,2013,104.03656,
+++,ken,2013,89.92879,
+++,kgz,2013,104.24056,
+++,khm,2013,76.9559,
+++,kir,2013,103.63248,
+++,kor,2013,98.5567,
+++,kwt,2013,103.92827,
+++,lao,2013,82.69504,
+++,lbn,2013,105.23311,
+++,lbr,2013,59.68208,
+++,lby,2013,70.93713,
+++,lca,2013,109.00563,
+++,lka,2013,103.77185,
+++,lso,2013,126.24204,
+++,ltu,2013,104.26966,
+++,lux,2013,102.526,
+++,lva,2013,106.9434,
+++,mar,2013,69.75684,
+++,mda,2013,107.64331,
+++,mdg,2013,92.10134,
+++,mdv,2013,95.16971,
+++,mex,2013,98.95636,
+++,mhl,2013,102.65748,
+++,mkd,2013,103.06545,
+++,mli,2013,51.04895,
+++,mlt,2013,102.2686,
+++,mmr,2013,103.05556,
+++,mne,2013,100.95087,
+++,mng,2013,110.96408,
+++,moz,2013,56.15079,
+++,mrt,2013,67.09062,
+++,mus,2013,99.20949,
+++,mwi,2013,69.34307,
+++,mys,2013,101.48731,
+++,nam,2013,106.06061,
+++,ner,2013,48.18841,
+++,nga,2013,73.05524,
+++,nic,2013,112.09781,
+++,nld,2013,100.62762,
+++,nor,2013,103.3356,
+++,npl,2013,48.91775,
+++,nzl,2013,104.08163,
+++,omn,2013,83.81257,
+++,pak,2013,55.28121,
+++,pan,2013,108.86303,
+++,per,2013,95.58199,
+++,phl,2013,107.96626,
+++,png,2013,71.78527,
+++,pol,2013,105.13748,
+++,prk,2013,91.68026,
+++,prt,2013,109.47266,
+++,pry,2013,109.89989,
+++,pse,2013,96.15728,
+++,qat,2013,122.40373,
+++,rou,2013,101.34933,
+++,rus,2013,105.33626,
+++,rwa,2013,87.43719,
+++,sau,2013,75.83948,
+++,sdn,2013,73.80628,
+++,sen,2013,62.42038,
+++,sgp,2013,98.54121,
+++,slb,2013,86.90614,
+++,sle,2013,52.37069,
+++,slv,2013,98.01325,
+++,som,2013,50,
+++,srb,2013,103.59184,
+++,ssd,2013,35.78275,
+++,stp,2013,82.11382,
+++,sur,2013,100.8222,
+++,svk,2013,103.31325,
+++,svn,2013,105.61457,
+++,swe,2013,104.20463,
+++,swz,2013,102.65393,
+++,syc,2013,100.62389,
+++,syr,2013,83.59294,
+++,tcd,2013,33.33333,
+++,tgo,2013,54.75862,
+++,tha,2013,102.09205,
+++,tjk,2013,93.72453,
+++,tkm,2013,101.25461,
+++,tls,2013,83.4596,
+++,ton,2013,103.3913,
+++,tto,2013,106.21931,
+++,tun,2013,80.86876,
+++,tur,2013,84.13174,
+++,twn,2013,100.65789,
+++,tza,2013,87.6943,
+++,uga,2013,74.33628,
+++,ukr,2013,104.27227,
+++,ury,2013,109.88806,
+++,usa,2013,102.98819,
+++,uzb,2013,101.60256,
+++,vct,2013,108.2,
+++,ven,2013,109.08203,
+++,vnm,2013,98.93843,
+++,vut,2013,94.71947,
+++,wsm,2013,106.71642,
+++,yem,2013,29.16112,
+++,zaf,2013,103.8175,
+++,zmb,2013,84.29379,
+++,zwe,2013,91.21184,
+++,afg,2014,23.51485,
+++,ago,2014,72.85513,
+++,alb,2014,102.28233,
+++,and,2014,105.62984,
+++,are,2014,105.51053,
+++,arg,2014,108.07401,
+++,arm,2014,104.51977,
+++,atg,2014,109.80092,
+++,aus,2014,102.63721,
+++,aut,2014,101.0761,
+++,aze,2014,100.85271,
+++,bdi,2014,77.58945,
+++,bel,2014,104.42992,
+++,ben,2014,48.44607,
+++,bfa,2014,60,
+++,bgd,2014,77.3791,
+++,bgr,2014,106.55608,
+++,bhr,2014,107.45342,
+++,bhs,2014,106.97859,
+++,bih,2014,99.55277,
+++,blr,2014,105.06781,
+++,blz,2014,99.4824,
+++,bol,2014,91.07143,
+++,bra,2014,112.91866,
+++,brb,2014,108.28402,
+++,brn,2014,99.51624,
+++,btn,2014,48.23349,
+++,bwa,2014,113.41301,
+++,caf,2014,59.09091,
+++,can,2014,101.83486,
+++,che,2014,98.61878,
+++,chl,2014,104.11718,
+++,chn,2014,88.77645,
+++,civ,2014,59.93641,
+++,cmr,2014,79.68218,
+++,cod,2014,69.46652,
+++,cog,2014,85.7848,
+++,col,2014,107.04225,
+++,com,2014,79.8103,
+++,cpv,2014,87.84773,
+++,cri,2014,108.79676,
+++,cub,2014,105.50162,
+++,cyp,2014,103.56633,
+++,cze,2014,102.72206,
+++,deu,2014,101.7316,
+++,dji,2014,47.64208,
+++,dma,2014,110.99099,
+++,dnk,2014,103.9501,
+++,dom,2014,110.82996,
+++,dza,2014,90.45346,
+++,ecu,2014,104.92891,
+++,egy,2014,81.86004,
+++,eri,2014,61.44,
+++,esp,2014,105.03541,
+++,est,2014,108.06938,
+++,eth,2014,60.8985,
+++,fin,2014,105.74061,
+++,fji,2014,103.649,
+++,fra,2014,105.94512,
+++,fsm,2014,98.56916,
+++,gab,2014,99.40476,
+++,gbr,2014,102.21453,
+++,geo,2014,104.33526,
+++,gha,2014,77.72829,
+++,gin,2014,40.65041,
+++,gmb,2014,53.1348,
+++,gnb,2014,46.73469,
+++,gnq,2014,74.03946,
+++,grc,2014,103.85488,
+++,grd,2014,108.28402,
+++,gtm,2014,87.60108,
+++,guy,2014,105.21654,
+++,hnd,2014,108.22622,
+++,hrv,2014,106.51801,
+++,hti,2014,83.62283,
+++,hun,2014,104.00302,
+++,idn,2014,93.99399,
+++,ind,2014,67.38095,
+++,irl,2014,104.95627,
+++,irn,2014,87.71454,
+++,irq,2014,80.41667,
+++,isl,2014,106.81653,
+++,isr,2014,103.93858,
+++,ita,2014,103.66569,
+++,jam,2014,107.20339,
+++,jor,2014,99.674,
+++,jpn,2014,102.32713,
+++,kaz,2014,104.15094,
+++,ken,2014,90.26104,
+++,kgz,2014,104.43425,
+++,khm,2014,77.51397,
+++,kir,2014,103.90295,
+++,kor,2014,98.77217,
+++,kwt,2014,104.04722,
+++,lao,2014,83.14763,
+++,lbn,2014,105.44601,
+++,lbr,2014,60.28369,
+++,lby,2014,71.52859,
+++,lca,2014,109.17516,
+++,lka,2014,104,
+++,lso,2014,126.19048,
+++,ltu,2014,104.30906,
+++,lux,2014,102.65096,
+++,lva,2014,107.03593,
+++,mar,2014,70.19374,
+++,mda,2014,107.64381,
+++,mdg,2014,92.39766,
+++,mdv,2014,95.63543,
+++,mex,2014,99.34396,
+++,mhl,2014,103.01263,
+++,mkd,2014,103.19672,
+++,mli,2014,51.53584,
+++,mlt,2014,102.51121,
+++,mmr,2014,103.27422,
+++,mne,2014,101.09804,
+++,mng,2014,111.11111,
+++,moz,2014,56.50485,
+++,mrt,2014,67.5507,
+++,mus,2014,99.4152,
+++,mwi,2014,69.82759,
+++,mys,2014,101.72861,
+++,nam,2014,106.29834,
+++,ner,2014,48.58156,
+++,nga,2014,73.66667,
+++,nic,2014,112.40506,
+++,nld,2014,100.76125,
+++,nor,2014,103.37838,
+++,npl,2014,49.57507,
+++,nzl,2014,104.18994,
+++,omn,2014,84.26023,
+++,pak,2014,55.79515,
+++,pan,2014,108.84173,
+++,per,2014,95.96299,
+++,phl,2014,108.1557,
+++,png,2014,72.26994,
+++,pol,2014,105.24049,
+++,prk,2014,92.0904,
+++,prt,2014,109.63391,
+++,pry,2014,110.07667,
+++,pse,2014,96.46643,
+++,qat,2014,122.52874,
+++,rou,2014,101.56134,
+++,rus,2014,105.36232,
+++,rwa,2014,87.99342,
+++,sau,2014,76.49919,
+++,sdn,2014,74.46237,
+++,sen,2014,62.91667,
+++,sgp,2014,98.70036,
+++,slb,2014,87.47153,
+++,sle,2014,52.74262,
+++,slv,2014,98.36957,
+++,som,2014,50.13055,
+++,srb,2014,103.63196,
+++,ssd,2014,35.82555,
+++,stp,2014,82.55659,
+++,sur,2014,101.01317,
+++,svk,2014,103.4354,
+++,svn,2014,105.71429,
+++,swe,2014,104.31154,
+++,swz,2014,102.82427,
+++,syc,2014,100.79295,
+++,syr,2014,84.13511,
+++,tcd,2014,33.6887,
+++,tgo,2014,55.20974,
+++,tha,2014,102.37358,
+++,tjk,2014,94.02262,
+++,tkm,2014,101.46306,
+++,tls,2014,83.99504,
+++,ton,2014,103.5284,
+++,tto,2014,106.31579,
+++,tun,2014,81.4781,
+++,tur,2014,84.54724,
+++,twn,2014,100.8702,
+++,tza,2014,88.26531,
+++,uga,2014,74.87562,
+++,ukr,2014,104.30416,
+++,ury,2014,109.95392,
+++,usa,2014,103.10559,
+++,uzb,2014,101.8254,
+++,vct,2014,108.28402,
+++,ven,2014,109.15222,
+++,vnm,2014,99.26778,
+++,vut,2014,95.12459,
+++,wsm,2014,106.80886,
+++,yem,2014,29.50392,
+++,zaf,2014,104.13983,
+++,zmb,2014,84.63252,
+++,zwe,2014,91.6819,
+++,afg,2015,23.72881,
+++,ago,2015,73.34254,
+++,alb,2015,102.50836,
+++,and,2015,105.58269,
+++,are,2015,105.52442,
+++,arg,2015,108.24313,
+++,arm,2015,104.63259,
+++,atg,2015,109.78756,
+++,aus,2015,102.75618,
+++,aut,2015,101.21858,
+++,aze,2015,101.07527,
+++,bdi,2015,77.90055,
+++,bel,2015,104.46364,
+++,ben,2015,48.83721,
+++,bfa,2015,60.58632,
+++,bgd,2015,77.94793,
+++,bgr,2015,106.57277,
+++,bhr,2015,107.55873,
+++,bhs,2015,107.06436,
+++,bih,2015,99.82332,
+++,blr,2015,105.09194,
+++,blz,2015,99.89785,
+++,bol,2015,91.46568,
+++,bra,2015,113.0742,
+++,brb,2015,108.46304,
+++,brn,2015,99.72565,
+++,btn,2015,48.71795,
+++,bwa,2015,113.55932,
+++,caf,2015,59.5537,
+++,can,2015,101.9544,
+++,che,2015,98.83482,
+++,chl,2015,104.15361,
+++,chn,2015,89.19164,
+++,civ,2015,60.46875,
+++,cmr,2015,80.29115,
+++,cod,2015,70.02237,
+++,cog,2015,86.25731,
+++,col,2015,107.24206,
+++,com,2015,80.29294,
+++,cpv,2015,88.21839,
+++,cri,2015,108.87338,
+++,cub,2015,105.60448,
+++,cyp,2015,103.60934,
+++,cze,2015,102.84293,
+++,deu,2015,101.8598,
+++,dji,2015,48.21429,
+++,dma,2015,111.03203,
+++,dnk,2015,104.05777,
+++,dom,2015,110.97804,
+++,dza,2015,90.84507,
+++,ecu,2015,105.145,
+++,egy,2015,82.43858,
+++,eri,2015,61.91223,
+++,esp,2015,105.14019,
+++,est,2015,108.14649,
+++,eth,2015,61.27451,
+++,fin,2015,105.83685,
+++,fji,2015,103.86598,
+++,fra,2015,106.0423,
+++,fsm,2015,98.81983,
+++,gab,2015,99.60784,
+++,gbr,2015,102.33516,
+++,geo,2015,104.44444,
+++,gha,2015,78.15587,
+++,gin,2015,41.15308,
+++,gmb,2015,53.53846,
+++,gnb,2015,47.2,
+++,gnq,2015,74.51382,
+++,grc,2015,103.89222,
+++,grd,2015,108.46304,
+++,gtm,2015,88.07947,
+++,guy,2015,105.33981,
+++,hnd,2015,108.47029,
+++,hrv,2015,106.61578,
+++,hti,2015,84.14634,
+++,hun,2015,104.11677,
+++,idn,2015,94.4664,
+++,ind,2015,67.87808,
+++,irl,2015,104.98555,
+++,irn,2015,88.2248,
+++,irq,2015,80.98664,
+++,isl,2015,106.82962,
+++,isr,2015,103.97878,
+++,ita,2015,103.85455,
+++,jam,2015,107.37636,
+++,jor,2015,99.91935,
+++,jpn,2015,102.44386,
+++,kaz,2015,104.26647,
+++,ken,2015,90.58474,
+++,kgz,2015,104.4697,
+++,khm,2015,78.05213,
+++,kir,2015,104.16233,
+++,kor,2015,98.98443,
+++,kwt,2015,104.1632,
+++,lao,2015,83.58413,
+++,lbn,2015,105.5607,
+++,lbr,2015,60.86351,
+++,lby,2015,71.98622,
+++,lca,2015,109.24062,
+++,lka,2015,104.22282,
+++,lso,2015,126.10837,
+++,ltu,2015,104.42152,
+++,lux,2015,102.77372,
+++,lva,2015,107.12166,
+++,mar,2015,70.86384,
+++,mda,2015,107.64431,
+++,mdg,2015,92.81609,
+++,mdv,2015,95.9596,
+++,mex,2015,99.62997,
+++,mhl,2015,103.25983,
+++,mkd,2015,103.32522,
+++,mli,2015,52,
+++,mlt,2015,102.74823,
+++,mmr,2015,103.61446,
+++,mne,2015,101.31988,
+++,mng,2015,111.25461,
+++,moz,2015,56.84411,
+++,mrt,2015,67.99387,
+++,mus,2015,99.71126,
+++,mwi,2015,70.33898,
+++,mys,2015,101.96581,
+++,nam,2015,106.64488,
+++,ner,2015,48.78893,
+++,nga,2015,74.07002,
+++,nic,2015,112.43781,
+++,nld,2015,100.89286,
+++,nor,2015,103.48993,
+++,npl,2015,50.06954,
+++,nzl,2015,104.2273,
+++,omn,2015,84.69493,
+++,pak,2015,56.42384,
+++,pan,2015,108.91608,
+++,per,2015,96.25624,
+++,phl,2015,108.34097,
+++,png,2015,72.94686,
+++,pol,2015,105.19573,
+++,prk,2015,92.41214,
+++,prt,2015,109.69582,
+++,pry,2015,110.25918,
+++,pse,2015,96.76856,
+++,qat,2015,122.39819,
+++,rou,2015,101.69492,
+++,rus,2015,105.4637,
+++,rwa,2015,88.3871,
+++,sau,2015,77.06496,
+++,sdn,2015,75,
+++,sen,2015,63.46939,
+++,sgp,2015,98.92704,
+++,slb,2015,88.00448,
+++,sle,2015,53.19588,
+++,slv,2015,98.60814,
+++,som,2015,50.5102,
+++,srb,2015,103.83387,
+++,ssd,2015,36.17021,
+++,stp,2015,83.11518,
+++,sur,2015,101.2987,
+++,svk,2015,103.55556,
+++,svn,2015,105.7377,
+++,swe,2015,104.34783,
+++,swz,2015,103.09278,
+++,syc,2015,101.0453,
+++,syr,2015,84.66196,
+++,tcd,2015,34.02923,
+++,tgo,2015,55.71809,
+++,tha,2015,102.64496,
+++,tjk,2015,94.24,
+++,tkm,2015,101.59536,
+++,tls,2015,84.39024,
+++,ton,2015,103.74787,
+++,tto,2015,106.41026,
+++,tun,2015,81.98198,
+++,tur,2015,85.04854,
+++,twn,2015,100.93458,
+++,tza,2015,88.69347,
+++,uga,2015,75.3978,
+++,ukr,2015,104.40654,
+++,ury,2015,110.01821,
+++,usa,2015,103.15068,
+++,uzb,2015,101.96541,
+++,vct,2015,108.46304,
+++,ven,2015,109.31559,
+++,vnm,2015,99.5872,
+++,vut,2015,95.41089,
+++,wsm,2015,106.89376,
+++,yem,2015,30.12821,
+++,zaf,2015,104.26885,
+++,zmb,2015,85.07135,
+++,zwe,2015,92.05776,
