@@,geo,time,income_share_of_2nd_richest_20percent,changes(%)
+++,cri,2004,21.01,
+++,cri,2006,20.28,
+++,cri,2007,19.75,
+++,cri,2008,20.22,
+++,cri,2009,19.87,
+++,cri,2010,20.32,
+++,cri,2011,20.68,
+++,cri,2012,20.61,
+++,cri,2013,20.71,
->,bel->cri,2000->2014,20.83,
+++,civ,1986,21.63,
+++,civ,1992,22.33,
---,civ,1993,21.83,
+++,civ,2008,21.72,
+++,hrv,2000,22.28,
+++,hrv,2004,22.6,
+++,hrv,2008,21.28,
+++,hrv,2009,21.62,
+++,hrv,2010,22.42,
+++,hrv,2011,23.65,
+++,hrv,2012,23.67,
+++,cyp,2004,22.3,
+++,cyp,2005,21.96,
+++,cyp,2006,21.61,
+++,cyp,2007,21.9,
+++,cyp,2008,21.64,
+++,cyp,2009,21.89,
+++,cyp,2010,21.76,
+++,cyp,2011,21.65,
+++,cyp,2012,21.36,
+++,cze,2004,21.94,
+++,cze,2005,21.74,
+++,cze,2006,21.9,
+++,cze,2007,21.78,
+++,cze,2008,21.57,
+++,cze,2009,21.88,
+++,cze,2010,21.97,
+++,cze,2011,21.98,
+++,cze,2012,21.92,
+++,dnk,2004,22.82,
+++,dnk,2005,22.63,
+++,dnk,2006,22.5,
+++,dnk,2007,22.24,
+++,dnk,2008,23.14,
+++,dnk,2009,22.9,
+++,dnk,2010,22.66,
+++,dnk,2011,22.63,
+++,dnk,2012,22.26,
---,dnk,1997,22.92,
---,dji,1996,22.65,
+++,dji,2012,21.19,
+++,dji,2013,20.88,
+++,dom,1997,20.58,
+++,dom,2001,19.81,
+++,dom,2002,20.47,
+++,dom,2004,19.18,
+++,dom,2006,19.37,
+++,dom,2007,19.93,
+++,dom,2008,19.96,
+++,dom,2009,19.86,
+++,dom,2010,20.8,
+++,dom,2011,20.52,
+++,dom,2012,20.68,
+++,dom,2013,19.96,
+++,ecu,1995,19.5,
+++,ecu,1999,17.68,
+++,ecu,2000,18.08,
->,ecu,2003,15.86->18.88,19.04
+++,ecu,2004,19.35,
+++,ecu,2006,19.09,
+++,ecu,2008,20.08,
+++,ecu,2009,20.27,
+++,ecu,2010,20.15,
+++,ecu,2011,21.4,
+++,ecu,2012,21.23,
+++,ecu,2013,20.62,
+++,ecu,2014,20.91,
+++,slv,1991,20.07,
---,egy,1991,21.44,
---,egy,1996,21.17,
---,egy,2000,20.65,
---,egy,2005,20.89,
---,slv,1989,22.84,
+++,slv,1999,21.25,
+++,slv,2001,20.87,
+++,slv,2004,21.53,
+++,slv,2006,20.76,
+++,slv,2007,20.51,
+++,slv,2008,20.75,
+++,slv,2009,20.44,
+++,slv,2010,21.6,
+++,slv,2011,21.26,
+++,slv,2012,21.3,
+++,slv,2013,20.68,
+++,slv,2014,21.35,
+++,est,2001,22.14,
+++,est,2003,22.56,
+++,est,2005,22.3,
+++,est,2006,21.92,
+++,est,2007,22.97,
+++,est,2008,22.61,
+++,est,2009,22.54,
+++,est,2010,22.84,
+++,est,2011,22.81,
+++,est,2012,22.67,
->,eth,1982->1981,21.1,
+++,eth,1999,21.47,
+++,eth,2004,21.38,
+++,eth,2010,21.34,
+++,fji,2002,21.71,
+++,fji,2008,20.16,
+++,fin,2004,22.2,
+++,fin,2005,22.21,
+++,fin,2006,22.38,
+++,fin,2007,22.26,
+++,fin,2008,22.35,
+++,fin,2009,22.43,
+++,fin,2010,22.59,
+++,fin,2011,22.39,
+++,fin,2012,22.47,
+++,fra,2004,22.45,
+++,fra,2005,22.53,
+++,fra,2006,22.77,
+++,fra,2007,21.94,
+++,fra,2008,21.88,
+++,fra,2010,21.79,
+++,fra,2011,21.85,
+++,fra,2012,21.82,
---,eth,2000,21.52,
---,eth,2005,21.36,
---,fin,2000,22.14,
---,fra,1995,22.8,
+++,geo,1997,22.38,
+++,geo,1998,22.23,
+++,geo,2000,22.37,
+++,geo,2001,22.13,
+++,geo,2003,22.53,
+++,geo,2004,22.56,
+++,geo,2006,22.02,
+++,geo,2007,21.94,
+++,geo,2008,22.26,
+++,geo,2009,21.99,
+++,geo,2010,22.36,
+++,geo,2011,22.3,
+++,geo,2012,22.25,
+++,geo,2013,22.52,
+++,geo,2014,22.52,
+++,deu,2006,22.48,
+++,deu,2007,22.28,
+++,deu,2008,22.49,
+++,deu,2009,22.29,
+++,deu,2010,22.62,
+++,deu,2011,22.65,
+++,gha,1987,22.34,
---,deu,2000,23.09,
+++,gha,1991,21.66,
---,gha,1989,22.06,
---,gha,1992,21.67,
+++,gha,2005,21.65,
+++,grc,2004,23.07,
->,hrv->grc,2005,22.83,
+++,grc,2006,22.7,
+++,grc,2007,22.74,
+++,grc,2008,22.63,
+++,grc,2009,22.53,
+++,grc,2010,22.97,
+++,grc,2011,23.47,
+++,grc,2012,23.29,
+++,gtm,1986,18.35,
---,gha,2006,21.64,
---,grc,2000,23.04,
---,gtm,1987,18.34,
---,gtm,1998,18.65,
---,gtm,2002,19.61,
+++,gtm,2011,19.16,
+++,gtm,2014,20.06,
+++,gin,2002,20.94,
+++,gin,2007,21.96,
+++,gin,2012,22.38,
---,gin,2003,20.79,
---,gnb,1991,20.59,
+++,gnb,2010,18.29,
---,guy,1993,18.37,
+++,hti,2012,18.26,
+++,hnd,1986,19.35,
+++,hnd,1989,17.82,
+++,hnd,1991,19.53,
+++,hnd,1993,19.28,
+++,hnd,1995,18.97,
+++,hnd,1996,19.36,
+++,hnd,1998,19.28,
+++,hnd,2001,20.47,
+++,hnd,2002,19.9,
+++,hnd,2004,19.14,
+++,hnd,2007,19.18,
+++,hnd,2008,19.25,
+++,hnd,2009,20.65,
+++,hnd,2010,20.18,
+++,hnd,2011,18.56,
+++,hnd,2012,18.56,
+++,hnd,2013,19.94,
+++,hnd,2014,20.68,
---,hkg,1996,20.75,
+++,hun,2000,22.13,
+++,hun,2001,22.49,
+++,hun,2003,22.43,
+++,hun,2005,22.31,
+++,hun,2007,22.84,
+++,hun,2008,22.8,
+++,hun,2009,22.96,
+++,hun,2010,22.89,
+++,hun,2011,22.6,
+++,hun,2012,22.68,
+++,isl,2004,21.78,
+++,isl,2005,21.7,
+++,isl,2006,21.53,
+++,isl,2007,21.67,
+++,isl,2008,21.19,
+++,isl,2009,21.8,
+++,isl,2010,22.16,
+++,isl,2011,22.43,
+++,isl,2012,22.37,
+++,irn,2009,22.21,
+++,irn,2013,21.95,
+++,irl,2004,22.31,
+++,irl,2005,21.92,
+++,irl,2006,22.53,
+++,irl,2007,22.26,
+++,irl,2008,22.57,
+++,irl,2009,22.3,
+++,irl,2010,22.55,
+++,irl,2011,22.44,
+++,irl,2012,22.28,
+++,isr,1986,23.3,
+++,isr,1992,22.93,
+++,isr,1997,22.86,
---,irl,2000,21.93,
+++,isr,2005,23.27,
+++,isr,2007,23.36,
+++,isr,2010,22.89,
+++,ita,2004,22.68,
+++,ita,2005,23.05,
+++,ita,2006,22.96,
+++,ita,2007,23.09,
+++,ita,2008,22.93,
+++,ita,2009,23.05,
+++,ita,2010,22.94,
+++,ita,2011,22.85,
+++,ita,2012,22.84,
---,ita,2000,22.75,
---,jor,1987,22.26,
---,jor,1992,20.48,
---,jor,1997,21.33,
---,jor,2006,21.1,
+++,kaz,2004,22.59,
+++,kaz,2005,22.74,
+++,kaz,2006,21.88,
+++,kaz,2007,22.17,
+++,kaz,2008,21.95,
+++,kaz,2009,22.19,
+++,kaz,2010,22.05,
+++,kaz,2011,22.44,
+++,kaz,2012,22.54,
+++,kaz,2013,22.4,
+++,kir,2006,22.32,
+++,kos,2003,22.63,
+++,kos,2005,22.69,
+++,kos,2006,22.47,
+++,kos,2009,22.28,
+++,kos,2010,22.37,
+++,kos,2011,22.76,
+++,kos,2012,22.37,
+++,kos,2013,22.37,
+++,kgz,2000,22.06,
+++,kgz,2001,22.53,
+++,kgz,2003,22.55,
+++,kgz,2005,21.91,
+++,kgz,2006,21.74,
+++,kgz,2007,22.36,
->,kgz,1999->2008,22.26,
+++,kgz,2009,21.95,
+++,kgz,2010,22,
+++,kgz,2011,21.96,
+++,kgz,2012,21.9,
+++,kgz,2013,22.13,
+++,kgz,2014,21.98,
+++,lao,2007,20.86,
+++,lao,2012,20.77,
---,lao,2003,21.61,
+++,lva,1995,22.11,
+++,lva,1997,22.24,
+++,lva,2003,21.88,
+++,lva,2005,22.08,
+++,lva,2006,22.76,
+++,lva,2007,22.55,
+++,lva,2008,22.93,
+++,lva,2009,22.73,
+++,lva,2010,22.77,
+++,lva,2011,22.22,
+++,lva,2012,22.57,
->,lso,1987->1986,19.49,
+++,lso,1994,18.8,
+++,lso,2002,21.31,
+++,lso,2010,20.28,
---,lso,1993,19.51,
---,lso,1995,18.64,
---,lso,2003,20.95,
+++,ltu,1999,22.46,
+++,ltu,2000,22.68,
+++,ltu,2001,22.75,
+++,ltu,2003,21.91,
->,chn->ltu,2005,22,
+++,ltu,2006,22.09,
+++,ltu,2007,22.36,
+++,ltu,2008,22.11,
+++,ltu,2009,22.73,
+++,ltu,2010,23.24,
+++,ltu,2011,22.98,
+++,ltu,2012,22.62,
+++,lux,2004,22.62,
+++,lux,2005,22.34,
+++,lux,2006,22.38,
+++,lux,2007,22.2,
+++,lux,2008,22.16,
+++,lux,2009,22.99,
+++,lux,2010,22.93,
+++,lux,2011,23.01,
+++,lux,2012,22.76,
---,lux,2000,22.69,
+++,mkd,2004,22.48,
+++,mkd,2005,22.88,
+++,mkd,2006,21.62,
+++,mkd,2008,21.03,
---,mdg,1980,20.38,
+++,mdg,1997,21.9,
->,mdg,2005,17.73->20.51,15.68
+++,mdg,2010,20.31,
+++,mdg,2012,20.7,
+++,mwi,1997,11.75,
---,mwi,1998,18.43,
+++,mwi,2010,19.75,
+++,mys,2007,21.56,
+++,mys,2009,21.75,
+++,mdv,2002,19.43,
+++,mdv,2009,21.86,
+++,mli,2009,22.5,
+++,mrt,1995,22.35,
---,mrt,1996,22.4,
+++,mrt,2004,20.65,
+++,mrt,2008,23.36,
+++,mrt,2014,23.07,
+++,mus,2006,21.35,
+++,mus,2012,21.23,
+++,mex,2008,19.48,
+++,mex,2010,19.79,
+++,mex,2012,19.45,
+++,mex,2014,18.91,
+++,fsm,2000,18.4,
+++,fsm,2005,21.2,
+++,fsm,2013,22.16,
+++,mda,1998,22.03,
+++,mda,2000,21.99,
+++,mda,2001,21.71,
->,jor->mda,2003,21.79,
+++,mda,2005,21.92,
+++,mda,2006,22.49,
+++,mda,2007,22.39,
+++,mda,2008,22.21,
+++,mda,2009,23,
+++,mda,2010,22.42,
+++,mda,2011,22.38,
+++,mda,2012,22.33,
+++,mda,2013,22.45,
+++,mda,2014,22.53,
+++,mng,2007,22.17,
+++,mng,2010,22.52,
+++,mng,2011,22.17,
+++,mng,2012,22.42,
+++,mng,2014,22.32,
+++,mne,2005,22.43,
+++,mne,2006,22.88,
+++,mne,2007,23.06,
+++,mne,2008,22.34,
+++,mne,2009,22.1,
+++,mne,2010,23.26,
+++,mne,2011,22.35,
+++,mne,2012,23.03,
+++,mne,2013,22.8,
+++,mne,2014,22.15,
+++,mar,1984,20.89,
+++,mar,1990,21.7,
+++,mar,1998,21.46,
+++,mar,2000,21.02,
+++,mar,2006,20.47,
+++,moz,1996,20.03,
+++,moz,2002,18.73,
+++,moz,2008,20.14,
+++,nam,2003,14.51,
+++,nam,2009,15.69,
+++,npl,1984,21.83,
+++,npl,1995,21.01,
+++,npl,2003,19.22,
+++,npl,2010,21.85,
+++,nld,2004,22.76,
+++,nld,2005,22.62,
+++,nld,2006,22.09,
+++,nld,2007,22.28,
+++,nld,2008,22.49,
+++,nld,2009,22.79,
+++,nld,2010,22.79,
+++,nld,2011,22.57,
+++,nld,2012,22.5,
---,mng,2005,23.06,
---,mar,1985,20.85,
---,mar,1991,21.48,
---,mar,1999,21.76,
---,mar,2001,21.38,
---,mar,2007,20.61,
---,moz,1997,20.2,
---,moz,2003,19.02,
---,nam,1993,11.98,
---,npl,1996,20.63,
---,npl,2004,18.36,
---,nld,1999,23.26,
---,nzl,1997,22.61,
->,nic,2001,19.92->17.87,10.29
->,nic,2005,19.36->21.68,11.98
+++,nic,2009,21.13,
+++,nic,2014,19.78,
+++,ner,2007,20.43,
+++,ner,2011,21.38,
+++,ner,2014,22.05,
->,nga,1986->1985,23.04,
+++,nga,1992,23.41,
---,nga,1993,23.26,
+++,nga,2003,22.53,
+++,nga,2009,21.58,
+++,nor,2004,21.05,
+++,nor,2005,21.45,
->,kor->nor,1998->2006,23.13,
+++,nor,2007,22.75,
+++,nor,2008,22.79,
+++,nor,2009,22.8,
+++,nor,2010,22.81,
+++,nor,2011,23.07,
+++,nor,2012,22.9,
---,nga,2004,21.91,
---,nor,2000,21.98,
+++,pak,1990,21.6,
+++,pak,1996,21.07,
+++,pak,1998,20.61,
+++,pak,2001,21.11,
+++,pak,2004,20.91,
---,pak,1991,21.68,
---,pak,1993,21.09,
---,pak,1997,21.09,
---,pak,1999,20.84,
---,pak,2002,21.17,
+++,pak,2007,20.88,
+++,pak,2010,21.19,
+++,pak,2011,20.95,
+++,pak,2013,21.27,
+++,pan,1989,20.94,
---,pan,1979,21.67,
---,pan,1996,20.14,
->,pan,1997,22.41->19.74,11.91
+++,pan,1998,19.84,
+++,pan,1999,20.09,
+++,pan,2001,20.11,
+++,pan,2003,19.62,
+++,pan,2005,20.58,
+++,pan,2007,20.56,
+++,pan,2008,20.05,
+++,pan,2009,19.93,
+++,pan,2010,20.07,
+++,pan,2011,20.24,
+++,pan,2012,20.16,
+++,pan,2013,20.1,
+++,pan,2014,20.48,
+++,png,2009,22.1,
+++,pry,1997,20.36,
---,pry,1998,20.57,
+++,pry,2001,19.07,
+++,pry,2003,18.65,
+++,pry,2004,19.11,
+++,pry,2006,19.18,
+++,pry,2008,19.7,
+++,pry,2009,20.7,
+++,pry,2010,19.52,
+++,pry,2011,19.68,
+++,pry,2012,20.64,
+++,pry,2013,20.79,
+++,pry,2014,19.19,
+++,per,1985,21.03,
---,per,1986,21.07,
+++,per,1997,20.28,
+++,per,1998,18.84,
+++,per,1999,18.85,
+++,per,2000,20.86,
+++,per,2001,20.53,
---,per,1996,21.42,
+++,per,2003,19.1,
->,per,1990->2004,20.47,
+++,per,2007,20.68,
+++,per,2008,21.54,
+++,per,2009,21.48,
+++,per,2010,21.59,
+++,per,2011,21.82,
+++,per,2012,21.87,
+++,per,2013,21.92,
+++,per,2014,22,
+++,phl,2009,21.09,
+++,phl,2012,21.18,
+++,pol,1998,22.15,
+++,pol,2000,22.28,
+++,pol,2001,22.45,
+++,pol,2003,22.43,
+++,pol,2004,22.63,
+++,pol,2006,22.74,
+++,pol,2007,22.23,
+++,pol,2008,22.09,
+++,pol,2009,22.14,
+++,pol,2010,22.61,
+++,pol,2011,22.35,
+++,pol,2012,22.32,
+++,pol,2013,22.46,
+++,pol,2014,22.55,
+++,prt,2004,21.06,
+++,prt,2005,21,
+++,prt,2006,21.68,
+++,prt,2007,21.72,
+++,prt,2008,21.58,
+++,prt,2009,22.04,
+++,prt,2010,21.88,
+++,prt,2011,21.64,
+++,prt,2012,22.09,
---,prt,1997,21.91,
+++,rou,1999,22.71,
+++,rou,2001,22.78,
+++,rou,2003,22.67,
+++,rou,2004,22.87,
+++,rou,2006,22.73,
+++,rou,2008,23.53,
+++,rou,2009,23.85,
+++,rou,2010,24.18,
+++,rou,2012,24.43,
+++,rou,2013,23.1,
+++,rus,1997,22.15,
+++,rus,1998,22.61,
+++,rus,2000,22.86,
+++,rus,2001,21.95,
+++,rus,2003,21.95,
+++,rus,2004,22.1,
+++,rus,2006,21.72,
+++,rus,2007,21.16,
+++,rus,2008,20.99,
+++,rus,2009,21.21,
+++,rus,2010,21.85,
+++,rus,2011,21.46,
+++,rus,2012,21.24,
+++,rwa,1984,21.63,
---,rwa,1985,21.64,
+++,rwa,2005,17.64,
+++,rwa,2010,17.05,
+++,rwa,2013,17.45,
+++,wsm,2008,20.27,
+++,stp,2000,22.96,
+++,stp,2010,22.56,
+++,sen,1994,20.37,
---,sen,1995,20.3,
+++,sen,2011,21.7,
+++,srb,2002,22.24,
+++,srb,2003,22.27,
+++,srb,2004,22.44,
+++,srb,2005,22.36,
+++,srb,2006,22.63,
+++,srb,2007,22.66,
+++,srb,2008,22.53,
+++,srb,2009,22.82,
+++,srb,2010,22.81,
+++,srb,2013,22.72,
+++,syc,1999,20.89,
+++,syc,2006,21.05,
+++,syc,2013,18.44,
---,sle,1990,23.12,
+++,sle,2011,21.94,
---,sgp,1998,22.02,
+++,svk,2004,21.92,
+++,svk,2005,21.5,
+++,svk,2006,21.74,
+++,svk,2007,22.31,
+++,svk,2008,22.42,
+++,svk,2009,22,
+++,svk,2010,22.72,
+++,svk,2011,23,
+++,svk,2012,23.2,
+++,svn,2003,23.01,
+++,svn,2005,22.69,
+++,svn,2006,22.7,
+++,svn,2007,22.63,
+++,svn,2008,22.58,
+++,svn,2009,22.67,
+++,svn,2010,22.67,
+++,svn,2011,22.55,
+++,svn,2012,22.59,
+++,slb,2005,20.63,
+++,zaf,1996,17.55,
---,zaf,1995,18.38,
+++,zaf,2006,14.16,
+++,zaf,2008,15.79,
+++,zaf,2011,15.9,
+++,ssd,2009,22.78,
+++,esp,2004,23.25,
+++,esp,2005,23.21,
+++,esp,2006,23.26,
+++,esp,2007,23.44,
+++,esp,2008,23.25,
+++,esp,2009,23.24,
+++,esp,2010,23.29,
+++,esp,2011,23.58,
+++,esp,2012,23.45,
---,esp,2000,22.51,
+++,lka,1990,21,
+++,lka,1995,21.12,
---,lka,1991,21.21,
---,lka,1996,21.13,
+++,lka,2006,20.5,
+++,lka,2009,20.93,
+++,lka,2012,20.52,
+++,sdn,2009,22.87,
+++,swz,1994,17.4,
+++,swz,2000,17.53,
+++,swz,2009,19.89,
+++,swe,2004,22.94,
+++,swe,2005,23.19,
+++,swe,2006,22.9,
+++,swe,2007,22.94,
+++,swe,2008,22.97,
+++,swe,2009,22.94,
+++,swe,2010,22.78,
+++,swe,2011,22.93,
+++,swe,2012,22.96,
+++,che,2007,22.49,
+++,che,2008,22.68,
+++,che,2009,22.73,
+++,che,2010,22.66,
+++,che,2011,22.74,
+++,che,2012,22.54,
---,sur,1999,20.85,
---,swz,1995,17.2,
---,swz,2001,19.36,
---,swe,2000,22.7,
---,che,2000,22.63,
+++,tjk,2007,22.7,
+++,tjk,2009,22.56,
+++,tjk,2012,21.56,
+++,tjk,2013,21.8,
+++,tjk,2014,21.77,
+++,tza,1991,22.07,
---,tza,1992,22.23,
+++,tza,2007,21.11,
+++,tza,2011,20.72,
+++,tha,1990,19.84,
+++,tha,1994,20.4,
+++,tha,1998,21.26,
+++,tha,2000,20.87,
+++,tha,2006,21.36,
+++,tha,2007,21.72,
+++,tha,2008,21.68,
+++,tha,2009,21.76,
+++,tha,2010,21.66,
+++,tha,2011,21.44,
+++,tha,2012,21.75,
+++,tha,2013,22.07,
+++,tls,2007,21.34,
+++,tgo,2011,21.47,
+++,ton,2001,22.59,
+++,ton,2009,21.96,
+++,tun,2005,22.08,
+++,tun,2010,22.62,
+++,tur,2003,21.55,
+++,tur,2004,22.42,
+++,tur,2006,22.53,
+++,tur,2007,22.73,
+++,tur,2008,22.39,
+++,tur,2009,22.25,
+++,tur,2010,22.34,
+++,tur,2011,21.94,
+++,tur,2012,22,
+++,tur,2013,21.95,
+++,tuv,2010,21.27,
+++,uga,2009,19.56,
+++,uga,2012,20.62,
+++,ukr,1993,22.7,
+++,ukr,1995,21.92,
+++,ukr,2003,22.34,
+++,ukr,2004,22.67,
