@@,geo,time,urban_poverty_percent_urban_people_below_national_urban,changes(%)
+++,kaz,2001,36,
+++,kaz,2002,33,
+++,kaz,2003,24.7,
+++,kaz,2004,23.4,
->,ury->kaz,1994->2005,20.2,
+++,kaz,2006,13.6,
+++,kaz,2007,6.9,
+++,kaz,2008,8.1,
+++,kaz,2009,4.1,
+++,kaz,2010,3.7,
+++,kaz,2011,2.4,
+++,kaz,2012,1.9,
+++,kaz,2013,1.3,
+++,kaz,2014,1.3,
+++,kaz,2015,1.3,
+++,ken,2005,33.7,
+++,kos,2003,46.6,
+++,kos,2004,42.1,
+++,kos,2005,30.3,
+++,kos,2006,37.4,
+++,kos,2009,33.1,
+++,kos,2010,26.7,
+++,kos,2011,26.7,
+++,kgz,2006,26.7,
+++,kgz,2007,23.2,
+++,kgz,2008,22.6,
+++,kgz,2009,21.9,
+++,kgz,2010,23.6,
+++,kgz,2011,30.7,
+++,kgz,2012,35.4,
+++,kgz,2013,28.5,
+++,kgz,2014,26.9,
+++,kgz,2015,29.3,
+++,lao,1997,22.1,
+++,lao,2002,19.7,
+++,lao,2007,17.4,
+++,lao,2012,10,
+++,lso,1994,36.7,
+++,lso,2002,41.5,
+++,lso,2010,39.6,
+++,lbr,2007,55.1,
+++,mdg,2001,45.6,
+++,mdg,2005,55.2,
+++,mdg,2010,51.1,
->,mwi,1998->1997,54.9,
+++,mwi,2004,25.4,
+++,mwi,2010,17.3,
+++,mys,2002,2.3,
+++,mys,2004,2.5,
+++,mys,2007,2,
+++,mys,2009,1.7,
+++,mys,2012,1,
+++,mys,2014,0.3,
+++,mdv,2002,17.5,
+++,mdv,2009,18.2,
+++,mli,2001,27.7,
+++,mli,2006,18.5,
+++,mli,2009,18.9,
->,mrt,2000,25.4->28.5,12.20
+++,mrt,2004,28.9,
->,cri->mrt,2004->2008,20.8,
+++,mex,2008,44.8,
+++,mex,2010,47.8,
+++,mex,2012,48.3,
+++,mex,2014,50.5,
+++,mda,2006,24.8,
+++,mda,2007,18.4,
+++,mda,2008,15.2,
+++,mda,2009,12.6,
+++,mda,2010,10.4,
+++,mda,2011,7.4,
+++,mda,2012,8.2,
+++,mng,2010,33.2,
+++,mng,2011,28.7,
->,ben->mng,1999->2012,23.3,
+++,mng,2014,18.8,
+++,mne,2005,8.1,
+++,mne,2006,7.4,
+++,mne,2007,5.5,
+++,mne,2008,2.4,
+++,mne,2009,2.6,
+++,mne,2010,4,
+++,mne,2011,4.4,
+++,mne,2012,8.1,
+++,mne,2013,7.9,
+++,mar,1998,9.5,
->,mar,1991->2000,7.6,
+++,mar,2007,4.8,
->,moz,1997->1996,62,
->,moz,2003->2002,51.5,
+++,moz,2008,49.6,
+++,nam,1993,39,
+++,nam,2003,17,
+++,nam,2009,14.6,
+++,npl,2010,15.5,
+++,nic,2005,30.9,
+++,nic,2009,26.8,
+++,nic,2014,14.8,
->,ner,1993->2011,52->18.6,64.23
+++,nga,2003,37.9,
+++,nga,2009,34.1,
+++,pak,2013,18.24,
->,png,1996->2009,16.1->29.3,81.99
+++,pry,2002,39.7,
+++,pry,2003,37.4,
+++,pry,2004,35.5,
+++,pry,2005,34.4,
+++,pry,2007,33.6,
+++,pry,2008,30.2,
+++,pry,2009,24.7,
+++,pry,2010,24.7,
+++,pry,2011,23.9,
+++,pry,2012,16.4,
+++,pry,2013,17,
+++,pry,2014,16.2,
->,per,2004,42.9->48.2,12.35
+++,per,2005,44.5,
->,eth->per,2000->2006,37,
+++,per,2007,30.1,
+++,per,2008,25.4,
+++,per,2009,21.3,
+++,per,2010,20,
->,khm->per,2004->2011,18,
+++,per,2012,16.6,
+++,per,2013,16.1,
+++,per,2014,15.3,
+++,phl,2006,12.62633,
+++,phl,2009,12.58961,
+++,phl,2012,13.03002,
+++,rwa,2005,28.5,
+++,rwa,2010,22.1,
+++,stp,2009,63.8,
->,kgz->sen,2001->2000,41.2,
+++,sen,2005,33.6,
+++,sen,2010,33.1,
+++,syc,2006,39,
+++,sle,2003,46.9,
+++,sle,2011,31.2,
+++,zaf,2005,52,
+++,zaf,2010,39.2,
+++,ssd,2009,24.4,
->,lka,2002,24.7->7.9,68.02
+++,lka,2006,6.7,
+++,lka,2009,5.3,
+++,lka,2012,2.1,
+++,sdn,2009,26.5,
+++,swz,2000,35.5,
+++,swz,2009,31.1,
+++,syr,2004,28.5,
+++,syr,2007,30.8,
->,lso->tjk,1993->2013,27.8,
+++,tjk,2014,23.5,
+++,tjk,2015,23.2,
+++,tza,2011,15.5,
+++,tha,2000,22.2,
+++,tha,2002,17,
+++,tha,2004,14.6,
+++,tha,2006,11.8,
->,mex->tha,2004->2007,11.3,
+++,tha,2008,10.7,
+++,tha,2009,10.2,
+++,tha,2010,8.7,
+++,tha,2011,9,
+++,tha,2012,8.8,
+++,tha,2013,7.7,
+++,tls,2001,25.2,
+++,tls,2007,45.2,
+++,tgo,2006,37.2,
+++,tgo,2011,34.6,
+++,tgo,2015,35.9,
->,tur,2002,21.95->24.6,12.07
+++,tur,2003,18.3,
+++,tur,2004,13.5,
+++,tur,2005,10.1,
+++,tur,2006,6.1,
+++,tur,2007,4.4,
+++,tur,2008,3.1,
+++,tur,2009,1,
+++,tur,2010,1,
+++,tur,2011,0.9,
+++,tur,2012,0.6,
+++,tur,2013,0.6,
+++,tuv,2010,24.8,
+++,uga,1992,28.8,
+++,uga,1996,16.7,
+++,uga,1999,9.6,
+++,uga,2002,14.4,
+++,uga,2005,13.7,
+++,uga,2009,9.1,
+++,uga,2012,9.6,
+++,ury,2002,35.2,
->,mng->ury,1998->2003,39.4,
+++,ury,2004,39.9,
+++,ury,2005,36.6,
+++,ury,2006,32.6,
+++,ury,2007,30,
+++,ury,2008,24.4,
+++,ury,2009,21.5,
+++,ury,2010,18.7,
->,rwa->ury,2000->2011,14.3,
+++,ury,2012,13.1,
->,mar->ury,1999->2013,12,
+++,ury,2014,10.1,
+++,vnm,2010,6,
+++,vnm,2012,5.4,
+++,vnm,2014,3.8,
+++,pse,2003,32,
+++,pse,2005,24.9,
+++,pse,2006,29.3,
+++,pse,2009,26.2,
+++,pse,2010,25.8,
+++,pse,2011,26.1,
---,vnm,2002,6.6,
->,yem,1998->2005,30.8->20.7,32.79
+++,zmb,2010,27.5,
+++,zwe,2011,46.5,
---,zmb,1998,56,
---,zmb,2004,53,
---,zwe,1991,3.4,
---,zwe,1996,7.9,
