@@,geo,time,mean_years_in_school_men_25_to_34_years,changes(%)
->,mli,1971,0.8->0.95,18.75
+++,mlt,1971,6.78,
->,mne,1971,8.1->6.94,14.32
->,mng,1971,6.8->5.6,17.65
->,mrt,1971,1.4->2.46,75.71
->,nam,1971,3.4->3.95,16.18
->,ner,1971,0.4->0.93,132.50
->,nga,1971,3.3->3.79,14.85
->,npl,1971,1.8->2.75,52.78
->,omn,1971,3.1->4.24,36.77
->,pak,1971,2.2->2.59,17.73
->,per,1971,5.6->6.45,15.18
->,png,1971,2.6->3.44,32.31
+++,prk,1971,6.55,
->,rwa,1971,2.1->2.34,11.43
->,sau,1971,5.3->6.36,20.00
->,sdn,1971,2.9->3.87,33.45
->,sen,1971,1.5->1.79,19.33
->,sgp,1971,5.9->6.72,13.90
->,som,1971,1.1->1.34,21.82
+++,ssd,1971,1.09,
->,swz,1971,3.2->3.79,18.44
->,tcd,1971,1.1->1.66,50.91
->,tgo,1971,2.3->2.86,24.35
->,tha,1971,5.2->4.66,10.38
->,tls,1971,1.5->3.18,112.00
->,tun,1971,4.4->3.82,13.18
->,tur,1971,3.9->4.86,24.62
->,twn,1971,6.5->7.75,19.23
->,ukr,1971,9.3->7.71,17.10
+++,vct,1971,4.71,
->,vnm,1971,5.9->4.61,21.86
->,yem,1971,1.3->2.3,76.92
->,zaf,1971,4.4->5.77,31.14
->,zmb,1971,4.8->4.06,15.42
->,afg,1972,1.1->1.43,30.00
->,ago,1972,2.5->2.91,16.40
+++,and,1972,8.62,
->,arm,1972,8.1->7.23,10.74
->,atg,1972,8.4->7.35,12.50
->,aus,1972,10.2->9.04,11.37
->,bdi,1972,1.6->1.94,21.25
->,ben,1972,1.8->2.08,15.56
->,bfa,1972,0.7->1.01,44.29
->,blr,1972,8.9->7.89,11.35
->,blz,1972,5.8->4.56,21.38
+++,brb,1972,4.81,
+++,brn,1972,8.93,
+++,btn,1972,2.58,
->,caf,1972,2.4->2.98,24.17
->,che,1972,10.1->8.98,11.09
->,chn,1972,4.8->5.59,16.46
->,civ,1972,2.1->2.55,21.43
->,cod,1972,4.7->3.97,15.53
