@@,geo,time,mean_years_in_school_men_25_to_34_years,changes(%)
->,eth,1978,1.3->2.69,106.92
->,fji,1978,8.4->7.34,12.62
+++,fsm,1978,7.83,
->,gbr,1978,11.1->9.76,12.07
->,gha,1978,5.9->4.72,20.00
->,gin,1978,1.8->2.05,13.89
->,gmb,1978,2.3->2.85,23.91
->,gnb,1978,1.7->1.97,15.88
+++,grd,1978,5.45,
->,guy,1978,7.3->5.54,24.11
->,hti,1978,2.6->3.62,39.23
->,ind,1978,4.4->3.93,10.68
->,irq,1978,6.4->4.21,34.22
+++,isl,1978,9.05,
->,jam,1978,8->6.59,17.62
->,kir,1978,6.7->5.83,12.99
->,kwt,1978,5.1->5.73,12.35
->,lbr,1978,3.3->2.81,14.85
+++,lby,1978,4.26,
->,lca,1978,6.9->6.11,11.45
->,mda,1978,9.5->8.03,15.47
->,mdv,1978,4.6->4.01,12.83
->,mhl,1978,7.4->5.61,24.19
+++,mlt,1978,7.51,
->,mne,1978,9.2->7.85,14.67
->,mng,1978,7.8->6.41,17.82
->,mrt,1978,1.9->2.93,54.21
->,ner,1978,0.6->1.12,86.67
->,npl,1978,2.5->3.26,30.40
->,omn,1978,4.2->4.94,17.62
->,png,1978,3.4->4.03,18.53
+++,prk,1978,7.45,
->,pry,1978,5.7->4.96,12.98
->,pse,1978,7.5->6.68,10.93
->,qat,1978,5.1->4.47,12.35
->,sau,1978,6.4->7.27,13.59
->,sdn,1978,3.8->4.44,16.84
->,sgp,1978,7->7.71,10.14
->,slv,1978,4.8->4.26,11.25
+++,ssd,1978,1.31,
->,sur,1978,5.9->5.21,11.69
->,tcd,1978,1.6->1.99,24.37
->,tha,1978,6->5.39,10.17
->,tls,1978,2->3.75,87.50
->,ton,1978,8.8->7.7,12.50
->,tun,1978,5.7->4.77,16.32
->,ukr,1978,10.4->8.7,16.35
+++,vct,1978,5.45,
->,vnm,1978,6.8->5.34,21.47
->,yem,1978,1.9->2.82,48.42
->,zaf,1978,5.7->6.51,14.21
->,zmb,1978,5.8->4.78,17.59
+++,and,1979,9.59,
->,are,1979,6.6->5.72,13.33
->,arm,1979,9.1->8.15,10.44
->,atg,1979,9.6->8.28,13.75
->,bfa,1979,1->1.21,21.00
->,bgd,1979,3.4->3,11.76
->,bhr,1979,6->5.14,14.33
->,blr,1979,10.1->8.84,12.48
->,blz,1979,6.8->5.28,22.35
+++,brb,1979,5.57,
+++,brn,1979,9.91,
+++,btn,1979,3.06,
->,che,1979,11.5->9.99,13.13
->,cod,1979,5.8->4.64,20.00
->,cog,1979,6.6->5.76,12.73
->,com,1979,2.6->3.48,33.85
->,cri,1979,6.5->5.59,14.00
->,cub,1979,8.4->7.43,11.55
->,cze,1979,12.1->9.94,17.85
->,deu,1979,10.4->9.15,12.02
+++,dma,1979,6.38,
->,dnk,1979,11.3->10.14,10.27
->,dza,1979,2.9->3.4,17.24
->,eri,1979,2->2.8,40.00
->,esp,1979,6.3->7.67,21.75
->,eth,1979,1.4->2.76,97.14
->,fji,1979,8.6->7.45,13.37
+++,fsm,1979,7.96,
->,gbr,1979,11.2->9.91,11.52
->,gha,1979,6.1->4.83,20.82
->,gin,1979,1.9->2.1,10.53
->,gmb,1979,2.4->2.92,21.67
->,gnb,1979,1.8->2.02,12.22
+++,grd,1979,5.57,
->,guy,1979,7.4->5.65,23.65
->,hrv,1979,8.3->7.41,10.72
->,hti,1979,2.7->3.71,37.41
->,ind,1979,4.6->4.03,12.39
->,irq,1979,6.5->4.35,33.08
+++,isl,1979,9.19,
->,jam,1979,8.1->6.72,17.04
->,kir,1979,6.9->5.93,14.06
->,kor,1979,11.3->10.13,10.35
->,kwt,1979,5.2->5.86,12.69
->,lbr,1979,3.4->2.9,14.71
+++,lby,1979,4.35,
->,lca,1979,7->6.23,11.00
->,mda,1979,9.7->8.16,15.88
->,mdv,1979,4.7->4.1,12.77
->,mhl,1979,7.6->5.72,24.74
+++,mlt,1979,7.61,
->,mne,1979,9.3->7.99,14.09
->,mng,1979,7.9->6.53,17.34
->,mrt,1979,2->3,50.00
->,ner,1979,0.7->1.15,64.29
->,npl,1979,2.6->3.34,28.46
->,omn,1979,4.4->5.05,14.77
->,png,1979,3.5->4.12,17.71
+++,prk,1979,7.58,
->,pry,1979,5.8->5.06,12.76
->,pse,1979,7.7->6.81,11.56
->,qat,1979,5.3->4.57,13.77
->,sau,1979,6.6->7.41,12.27
->,sdn,1979,3.9->4.52,15.90
->,slb,1979,4.4->3.94,10.45
->,slv,1979,4.9->4.38,10.61
+++,ssd,1979,1.34,
->,sur,1979,6->5.32,11.33
->,tcd,1979,1.6->2.04,27.50
->,tls,1979,2.1->3.84,82.86
->,ton,1979,8.9->7.82,12.13
->,tun,1979,5.9->4.93,16.44
->,ukr,1979,10.5->8.84,15.81
+++,vct,1979,5.57,
->,vnm,1979,6.9->5.45,21.01
->,yem,1979,2->2.9,45.00
->,zaf,1979,5.9->6.62,12.20
->,zmb,1979,5.9->4.88,17.29
+++,and,1980,9.73,
->,are,1980,6.8->5.88,13.53
->,atg,1980,9.8->8.42,14.08
->,bfa,1980,1->1.25,25.00
->,bgd,1980,3.5->3.07,12.29
->,bhr,1980,6.3->5.27,16.35
->,blr,1980,10.2->8.98,11.96
->,blz,1980,7->5.39,23.00
+++,brb,1980,5.68,
+++,brn,1980,10.05,
+++,btn,1980,3.13,
->,che,1980,11.7->10.14,13.33
->,cod,1980,6->4.74,21.00
->,cog,1980,6.8->5.88,13.53
->,com,1980,2.7->3.57,32.22
->,cri,1980,6.7->5.7,14.93
->,cub,1980,8.6->7.58,11.86
->,cze,1980,12.2->10.08,17.38
->,deu,1980,10.5->9.3,11.43
+++,dma,1980,6.5,
->,dza,1980,3.1->3.5,12.90
->,eri,1980,2.1->2.87,36.67
->,esp,1980,6.5->7.81,20.15
->,eth,1980,1.5->2.84,89.33
->,fji,1980,8.7->7.56,13.10
+++,fsm,1980,8.09,
->,gbr,1980,11.4->10.05,11.84
->,gha,1980,6.2->4.94,20.32
->,gmb,1980,2.5->2.99,19.60
->,gnq,1980,5.9->5.27,10.68
+++,grd,1980,5.68,
->,guy,1980,7.6->5.76,24.21
->,hrv,1980,8.4->7.54,10.24
->,hti,1980,2.8->3.81,36.07
->,ind,1980,4.7->4.13,12.13
->,irq,1980,6.6->4.48,32.12
+++,isl,1980,9.33,
->,jam,1980,8.3->6.86,17.35
->,kir,1980,7->6.03,13.86
->,kor,1980,11.5->10.27,10.70
->,kwt,1980,5.3->6,13.21
->,lbr,1980,3.6->2.98,17.22
+++,lby,1980,4.45,
->,lca,1980,7.2->6.35,11.81
->,mda,1980,9.9->8.29,16.26
->,mdv,1980,4.7->4.18,11.06
->,mhl,1980,7.8->5.84,25.13
+++,mlt,1980,7.71,
->,mmr,1980,4.1->3.65,10.98
->,mne,1980,9.5->8.12,14.53
->,mng,1980,8->6.65,16.87
->,mrt,1980,2->3.08,54.00
->,ner,1980,0.7->1.18,68.57
->,npl,1980,2.8->3.42,22.14
->,omn,1980,4.6->5.15,11.96
->,png,1980,3.6->4.21,16.94
+++,prk,1980,7.71,
->,pry,1980,5.9->5.17,12.37
->,pse,1980,7.9->6.93,12.28
->,qat,1980,5.4->4.67,13.52
->,sau,1980,6.8->7.55,11.03
->,sdn,1980,4.1->4.6,12.20
->,slb,1980,4.5->4.04,10.22
->,sle,1980,2.1->1.86,11.43
+++,ssd,1980,1.38,
->,sur,1980,6.1->5.43,10.98
->,tcd,1980,1.7->2.09,22.94
->,tls,1980,2.1->3.93,87.14
->,ton,1980,9.1->7.94,12.75
->,tun,1980,6.1->5.09,16.56
->,tza,1980,4.8->4.28,10.83
->,ukr,1980,10.7->8.99,15.98
+++,vct,1980,5.68,
->,vnm,1980,7->5.55,20.71
->,yem,1980,2.2->2.99,35.91
->,zaf,1980,6->6.72,12.00
->,zmb,1980,6.1->4.99,18.20
->,alb,1981,8.3->7.46,10.12
+++,and,1981,9.87,
->,are,1981,7.1->6.04,14.93
->,arm,1981,9.4->8.41,10.53
->,atg,1981,10->8.56,14.40
->,bfa,1981,1.1->1.28,16.36
->,bgd,1981,3.6->3.15,12.50
->,bhr,1981,6.5->5.4,16.92
->,blr,1981,10.4->9.12,12.31
->,blz,1981,7.1->5.5,22.54
+++,brb,1981,5.79,
+++,brn,1981,10.19,
+++,btn,1981,3.21,
->,che,1981,11.8->10.28,12.88
->,cod,1981,6.1->4.85,20.49
->,cog,1981,7->6,14.29
->,com,1981,2.8->3.65,30.36
->,cri,1981,6.8->5.81,14.56
->,cub,1981,8.8->7.72,12.27
->,cze,1981,12.3->10.21,16.99
->,deu,1981,10.6->9.45,10.85
+++,dma,1981,6.62,
->,eri,1981,2.2->2.95,34.09
->,esp,1981,6.7->7.96,18.81
->,eth,1981,1.5->2.91,94.00
->,fji,1981,8.8->7.67,12.84
+++,fsm,1981,8.22,
->,gbr,1981,11.5->10.19,11.39
->,gha,1981,6.4->5.05,21.09
->,gmb,1981,2.6->3.07,18.08
->,gnq,1981,6->5.38,10.33
+++,grd,1981,5.79,
->,guy,1981,7.7->5.88,23.64
->,hrv,1981,8.6->7.67,10.81
->,hti,1981,2.9->3.91,34.83
->,ind,1981,4.9->4.24,13.47
->,irq,1981,6.7->4.63,30.90
+++,isl,1981,9.47,
->,jam,1981,8.4->7,16.67
->,ken,1981,6.2->5.54,10.65
->,kir,1981,7.2->6.14,14.72
->,kor,1981,11.7->10.4,11.11
->,kwt,1981,5.5->6.14,11.64
->,lbr,1981,3.7->3.07,17.03
+++,lby,1981,4.55,
->,lca,1981,7.3->6.47,11.37
->,mda,1981,10->8.43,15.70
->,mhl,1981,8->5.95,25.62
+++,mlt,1981,7.81,
->,mmr,1981,4.2->3.73,11.19
->,mne,1981,9.6->8.25,14.06
->,mng,1981,8.1->6.77,16.42
->,mrt,1981,2.1->3.15,50.00
->,ner,1981,0.8->1.21,51.25
->,npl,1981,2.9->3.51,21.03
->,png,1981,3.8->4.31,13.42
+++,prk,1981,7.84,
->,pry,1981,6->5.28,12.00
->,pse,1981,8.1->7.06,12.84
->,qat,1981,5.6->4.77,14.82
->,sau,1981,6.9->7.68,11.30
->,sdn,1981,4.2->4.69,11.67
->,sgp,1981,7.4->8.17,10.41
->,slb,1981,4.7->4.15,11.70
->,sle,1981,2.2->1.92,12.73
->,slv,1981,5.2->4.63,10.96
+++,ssd,1981,1.41,
->,sur,1981,6.3->5.54,12.06
->,tcd,1981,1.8->2.15,19.44
->,tls,1981,2.2->4.02,82.73
->,ton,1981,9.2->8.07,12.28
->,tun,1981,6.3->5.26,16.51
->,tza,1981,4.9->4.37,10.82
->,ukr,1981,10.8->9.13,15.46
+++,vct,1981,5.79,
->,vnm,1981,7.1->5.66,20.28
->,yem,1981,2.3->3.08,33.91
->,zaf,1981,6.2->6.83,10.16
->,zmb,1981,6.2->5.1,17.74
+++,and,1982,10.01,
->,are,1982,7.3->6.2,15.07
->,arm,1982,9.5->8.54,10.11
->,atg,1982,10.2->8.69,14.80
->,bfa,1982,1.2->1.32,10.00
->,bgd,1982,3.7->3.22,12.97
->,bhr,1982,6.7->5.53,17.46
->,blr,1982,10.5->9.26,11.81
->,blz,1982,7.2->5.61,22.08
+++,brb,1982,5.91,
+++,brn,1982,10.32,
+++,btn,1982,3.28,
->,che,1982,12->10.43,13.08
->,cod,1982,6.3->4.95,21.43
->,cog,1982,7.2->6.12,15.00
->,com,1982,2.9->3.74,28.97
->,cri,1982,7->5.92,15.43
->,cub,1982,8.9->7.87,11.57
->,cze,1982,12.4->10.35,16.53
->,deu,1982,10.7->9.6,10.28
+++,dma,1982,6.75,
->,dom,1982,6.4->5.75,10.16
->,eri,1982,2.3->3.02,31.30
->,esp,1982,6.9->8.1,17.39
->,eth,1982,1.6->2.99,86.88
->,fji,1982,8.9->7.77,12.70
+++,fsm,1982,8.36,
->,gbr,1982,11.6->10.33,10.95
->,gha,1982,6.5->5.16,20.62
->,gmb,1982,2.8->3.15,12.50
->,gnq,1982,6.2->5.49,11.45
+++,grd,1982,5.91,
->,guy,1982,7.8->5.99,23.21
->,hnd,1982,4.4->3.93,10.68
->,hrv,1982,8.8->7.79,11.48
->,hti,1982,3.1->4.02,29.68
->,ind,1982,5->4.34,13.20
->,irq,1982,6.8->4.77,29.85
+++,isl,1982,9.62,
->,jam,1982,8.6->7.14,16.98
->,ken,1982,6.4->5.68,11.25
->,khm,1982,4.2->3.77,10.24
->,kir,1982,7.3->6.24,14.52
->,kor,1982,11.8->10.54,10.68
->,kwt,1982,5.6->6.29,12.32
->,lbr,1982,3.9->3.17,18.72
+++,lby,1982,4.65,
->,lca,1982,7.4->6.59,10.95
->,mda,1982,10.2->8.56,16.08
->,mhl,1982,8.1->6.07,25.06
+++,mlt,1982,7.9,
->,mmr,1982,4.3->3.82,11.16
->,mne,1982,9.7->8.39,13.51
->,mng,1982,8.2->6.89,15.98
->,moz,1982,2.7->2.41,10.74
->,mrt,1982,2.2->3.23,46.82
->,ner,1982,0.8->1.25,56.25
->,npl,1982,3->3.59,19.67
->,png,1982,3.9->4.4,12.82
+++,prk,1982,7.98,
->,pry,1982,6.1->5.38,11.80
->,pse,1982,8.3->7.19,13.37
->,qat,1982,5.7->4.87,14.56
->,sau,1982,7.1->7.82,10.14
->,slb,1982,4.8->4.25,11.46
->,sle,1982,2.2->1.98,10.00
->,slv,1982,5.3->4.76,10.19
+++,ssd,1982,1.45,
->,sur,1982,6.4->5.65,11.72
->,tcd,1982,1.9->2.2,15.79
->,tls,1982,2.3->4.11,78.70
->,ton,1982,9.4->8.19,12.87
->,tun,1982,6.5->5.43,16.46
->,tza,1982,5->4.47,10.60
->,ukr,1982,10.9->9.28,14.86
+++,vct,1982,5.91,
->,vnm,1982,7.2->5.77,19.86
->,yem,1982,2.5->3.17,26.80
->,zmb,1982,6.3->5.22,17.14
+++,and,1983,10.15,
->,are,1983,7.5->6.37,15.07
->,atg,1983,10.4->8.83,15.10
->,bfa,1983,1.2->1.35,12.50
->,bgd,1983,3.8->3.3,13.16
->,bhr,1983,6.9->5.67,17.83
->,blr,1983,10.7->9.4,12.15
->,blz,1983,7.4->5.73,22.57
+++,brb,1983,6.03,
+++,brn,1983,10.46,
+++,btn,1983,3.36,
->,che,1983,12.1->10.57,12.64
->,cod,1983,6.4->5.06,20.94
->,cog,1983,7.4->6.24,15.68
->,com,1983,3.1->3.83,23.55
->,cri,1983,7.1->6.04,14.93
->,cub,1983,9.1->8.01,11.98
->,cze,1983,12.5->10.49,16.08
->,deu,1983,10.9->9.75,10.55
+++,dma,1983,6.88,
->,eri,1983,2.5->3.1,24.00
->,esp,1983,7.1->8.24,16.06
->,eth,1983,1.7->3.07,80.59
->,fji,1983,9->7.88,12.44
+++,fsm,1983,8.49,
->,gbr,1983,11.7->10.47,10.51
->,gha,1983,6.6->5.27,20.15
->,gmb,1983,2.9->3.22,11.03
->,gnq,1983,6.4->5.6,12.50
+++,grd,1983,6.03,
->,guy,1983,8->6.11,23.62
->,hnd,1983,4.5->4.03,10.44
->,hrv,1983,8.9->7.92,11.01
->,hti,1983,3.2->4.12,28.75
->,ind,1983,5.1->4.45,12.75
->,irq,1983,6.9->4.93,28.55
+++,isl,1983,9.76,
->,jam,1983,8.7->7.28,16.32
->,ken,1983,6.5->5.82,10.46
->,khm,1983,4.3->3.86,10.23
->,kir,1983,7.5->6.34,15.47
->,kor,1983,12->10.67,11.08
->,kwt,1983,5.7->6.43,12.81
->,lbr,1983,4->3.26,18.50
+++,lby,1983,4.75,
->,lca,1983,7.6->6.71,11.71
->,mda,1983,10.3->8.69,15.63
->,mhl,1983,8.3->6.19,25.42
+++,mlt,1983,8,
->,mmr,1983,4.4->3.9,11.36
->,mne,1983,9.9->8.53,13.84
->,mng,1983,8.3->7.01,15.54
->,moz,1983,2.8->2.47,11.79
->,mrt,1983,2.3->3.31,43.91
->,ner,1983,0.9->1.28,42.22
->,npl,1983,3.2->3.68,15.00
->,pan,1983,8.2->7.36,10.24
+++,prk,1983,8.11,
->,pry,1983,6.2->5.49,11.45
->,pse,1983,8.5->7.32,13.88
->,qat,1983,5.9->4.98,15.59
->,sgp,1983,7.7->8.49,10.26
->,slb,1983,5->4.36,12.80
->,sle,1983,2.3->2.05,10.87
->,slv,1983,5.5->4.89,11.09
+++,ssd,1983,1.49,
->,sur,1983,6.5->5.77,11.23
->,tcd,1983,2->2.26,13.00
->,tls,1983,2.4->4.21,75.42
->,ton,1983,9.5->8.31,12.53
->,tun,1983,6.7->5.61,16.27
->,tza,1983,5.1->4.57,10.39
->,ukr,1983,11.1->9.42,15.14
+++,vct,1983,6.03,
->,vnm,1983,7.3->5.88,19.45
->,yem,1983,2.7->3.26,20.74
->,zmb,1983,6.5->5.33,18.00
+++,and,1984,10.3,
->,are,1984,7.7->6.55,14.94
->,atg,1984,10.6->8.97,15.38
->,bgd,1984,3.9->3.38,13.33
->,bhr,1984,7.1->5.8,18.31
->,blr,1984,10.8->9.54,11.67
->,blz,1984,7.5->5.84,22.13
+++,brb,1984,6.15,
+++,brn,1984,10.6,
+++,btn,1984,3.44,
->,che,1984,12.2->10.72,12.13
->,cod,1984,6.6->5.17,21.67
->,cog,1984,7.6->6.36,16.32
->,com,1984,3.2->3.92,22.50
->,cri,1984,7.3->6.15,15.75
->,cub,1984,9.2->8.16,11.30
->,cze,1984,12.6->10.62,15.71
+++,dma,1984,7,
->,dom,1984,6.7->6,10.45
->,eri,1984,2.6->3.17,21.92
->,esp,1984,7.3->8.39,14.93
->,eth,1984,1.7->3.14,84.71
->,fji,1984,9.1->7.98,12.31
+++,fsm,1984,8.62,
->,gbr,1984,11.8->10.61,10.08
->,gha,1984,6.8->5.39,20.74
->,gnq,1984,6.5->5.72,12.00
+++,grd,1984,6.15,
->,guy,1984,8.1->6.23,23.09
->,hnd,1984,4.7->4.14,11.91
->,hrv,1984,9->8.04,10.67
->,hti,1984,3.3->4.23,28.18
->,ind,1984,5.2->4.57,12.12
->,irq,1984,7->5.08,27.43
+++,isl,1984,9.9,
->,jam,1984,8.9->7.42,16.63
->,ken,1984,6.7->5.96,11.04
->,khm,1984,4.4->3.94,10.45
->,kir,1984,7.6->6.44,15.26
->,kor,1984,12.2->10.81,11.39
->,kwt,1984,5.8->6.58,13.45
->,lbr,1984,4.2->3.36,20.00
+++,lby,1984,4.86,
->,lca,1984,7.7->6.84,11.17
->,mda,1984,10.5->8.82,16.00
->,mhl,1984,8.5->6.31,25.76
+++,mlt,1984,8.09,
->,mmr,1984,4.5->3.99,11.33
->,mne,1984,10->8.66,13.40
->,mng,1984,8.4->7.13,15.12
->,mrt,1984,2.4->3.39,41.25
->,ner,1984,0.9->1.32,46.67
->,npl,1984,3.3->3.76,13.94
+++,prk,1984,8.25,
->,pry,1984,6.3->5.6,11.11
->,pse,1984,8.7->7.45,14.37
->,qat,1984,6->5.08,15.33
->,sgp,1984,7.8->8.66,11.03
->,slb,1984,5.2->4.47,14.04
->,sle,1984,2.4->2.12,11.67
->,slv,1984,5.6->5.02,10.36
+++,ssd,1984,1.53,
->,sur,1984,6.7->5.88,12.24
->,tcd,1984,2->2.32,16.00
->,tls,1984,2.5->4.31,72.40
->,ton,1984,9.7->8.43,13.09
->,tun,1984,7->5.8,17.14
->,tza,1984,5.2->4.66,10.38
->,uga,1984,5.1->4.56,10.59
->,ukr,1984,11.2->9.57,14.55
+++,vct,1984,6.15,
->,vnm,1984,7.4->5.99,19.05
->,yem,1984,2.9->3.36,15.86
->,zmb,1984,6.6->5.44,17.58
+++,and,1985,10.44,
->,are,1985,8->6.73,15.87
->,atg,1985,10.7->9.11,14.86
->,bgd,1985,4->3.46,13.50
->,bhr,1985,7.3->5.94,18.63
->,blr,1985,10.9->9.68,11.19
->,blz,1985,7.6->5.96,21.58
+++,brb,1985,6.27,
+++,brn,1985,10.74,
+++,btn,1985,3.52,
->,che,1985,12.3->10.86,11.71
->,cod,1985,6.7->5.27,21.34
->,cog,1985,7.8->6.48,16.92
->,com,1985,3.4->4.01,17.94
->,cri,1985,7.5->6.26,16.53
->,cub,1985,9.4->8.31,11.60
->,cze,1985,12.6->10.76,14.60
+++,dma,1985,7.13,
->,eri,1985,2.7->3.25,20.37
->,esp,1985,7.5->8.54,13.87
->,eth,1985,1.8->3.23,79.44
->,fji,1985,9.3->8.08,13.12
+++,fsm,1985,8.76,
->,gha,1985,6.9->5.5,20.29
->,gnq,1985,6.6->5.83,11.67
+++,grd,1985,6.27,
->,guy,1985,8.2->6.35,22.56
->,hnd,1985,4.8->4.25,11.46
->,hrv,1985,9.2->8.17,11.20
->,hti,1985,3.5->4.34,24.00
->,ind,1985,5.4->4.68,13.33
->,irq,1985,7.1->5.24,26.20
+++,isl,1985,10.04,
->,jam,1985,9->7.57,15.89
->,ken,1985,6.8->6.1,10.29
->,kir,1985,7.8->6.54,16.15
->,kor,1985,12.3->10.94,11.06
->,kwt,1985,5.9->6.74,14.24
->,lbr,1985,4.3->3.47,19.30
+++,lby,1985,4.96,
->,lca,1985,7.8->6.96,10.77
->,mar,1985,4.1->3.61,11.95
->,mda,1985,10.6->8.95,15.57
->,mdg,1985,4.2->3.78,10.00
->,mhl,1985,8.6->6.43,25.23
->,mli,1985,1.6->1.4,12.50
+++,mlt,1985,8.17,
->,mmr,1985,4.6->4.08,11.30
->,mne,1985,10.1->8.8,12.87
->,mng,1985,8.4->7.25,13.69
->,moz,1985,2.9->2.6,10.34
->,mrt,1985,2.5->3.47,38.80
->,ner,1985,1->1.35,35.00
->,npl,1985,3.4->3.85,13.24
->,pan,1985,8.5->7.62,10.35
+++,prk,1985,8.39,
->,pse,1985,8.9->7.58,14.83
->,qat,1985,6.1->5.19,14.92
->,sgp,1985,8->8.83,10.38
->,slb,1985,5.3->4.59,13.40
->,sle,1985,2.5->2.19,12.40
+++,ssd,1985,1.57,
->,sur,1985,6.8->6,11.76
->,tcd,1985,2.1->2.38,13.33
->,tls,1985,2.7->4.4,62.96
->,ton,1985,9.8->8.55,12.76
->,tun,1985,7.2->5.99,16.81
->,tza,1985,5.4->4.76,11.85
->,uga,1985,5.2->4.66,10.38
->,ukr,1985,11.3->9.72,13.98
+++,vct,1985,6.27,
->,vnm,1985,7.5->6.11,18.53
->,yem,1985,3.1->3.46,11.61
->,zmb,1985,6.7->5.56,17.01
+++,and,1986,10.57,
->,are,1986,8.2->6.92,15.61
->,atg,1986,10.9->9.25,15.14
->,bgd,1986,4->3.54,11.50
->,bhr,1986,7.5->6.08,18.93
->,blr,1986,11->9.82,10.73
->,blz,1986,7.7->6.07,21.17
+++,brb,1986,6.39,
+++,brn,1986,10.88,
+++,btn,1986,3.6,
->,che,1986,12.4->11,11.29
->,cod,1986,6.8->5.38,20.88
->,cog,1986,7.9->6.6,16.46
->,com,1986,3.5->4.11,17.43
->,cri,1986,7.6->6.38,16.05
->,cub,1986,9.5->8.46,10.95
->,cze,1986,12.7->10.89,14.25
+++,dma,1986,7.26,
->,eri,1986,2.8->3.33,18.93
->,esp,1986,7.7->8.68,12.73
->,eth,1986,1.9->3.31,74.21
->,fji,1986,9.4->8.18,12.98
+++,fsm,1986,8.89,
->,gha,1986,7->5.62,19.71
->,gnq,1986,6.8->5.95,12.50
+++,grd,1986,6.39,
->,guy,1986,8.3->6.47,22.05
->,hnd,1986,4.9->4.36,11.02
->,hrv,1986,9.3->8.29,10.86
->,hti,1986,3.6->4.45,23.61
->,ind,1986,5.5->4.8,12.73
->,irq,1986,7.1->5.41,23.80
+++,isl,1986,10.18,
->,jam,1986,9.1->7.71,15.27
->,ken,1986,7->6.25,10.71
->,kir,1986,7.9->6.63,16.08
->,kor,1986,12.5->11.08,11.36
->,kwt,1986,6->6.9,15.00
->,lbr,1986,4.4->3.57,18.86
+++,lby,1986,5.07,
->,lca,1986,7.9->7.08,10.38
->,mar,1986,4.2->3.7,11.90
->,mda,1986,10.8->9.08,15.93
->,mdg,1986,4.3->3.86,10.23
->,mhl,1986,8.7->6.55,24.71
->,mli,1986,1.6->1.43,10.63
+++,mlt,1986,8.25,
->,mmr,1986,4.7->4.17,11.28
->,mne,1986,10.2->8.94,12.35
->,mng,1986,8.5->7.36,13.41
->,moz,1986,3->2.67,11.00
->,mrt,1986,2.6->3.56,36.92
->,ner,1986,1->1.39,39.00
+++,prk,1986,8.52,
->,pse,1986,9->7.71,14.33
->,qat,1986,6.2->5.3,14.52
->,sgp,1986,8.1->9,11.11
->,slb,1986,5.5->4.71,14.36
->,slv,1986,5.9->5.3,10.17
+++,ssd,1986,1.61,
->,sur,1986,6.9->6.12,11.30
->,tcd,1986,2.2->2.44,10.91
->,tls,1986,2.8->4.5,60.71
->,ton,1986,9.9->8.66,12.53
->,tun,1986,7.4->6.19,16.35
->,tza,1986,5.5->4.86,11.64
->,uga,1986,5.3->4.76,10.19
->,ukr,1986,11.4->9.86,13.51
+++,vct,1986,6.39,
->,vnm,1986,7.5->6.22,17.07
->,yem,1986,3.2->3.57,11.56
->,zmb,1986,6.8->5.68,16.47
+++,and,1987,10.71,
->,are,1987,8.4->7.12,15.24
->,atg,1987,11->9.39,14.64
->,bgd,1987,4.1->3.62,11.71
->,bhr,1987,7.7->6.22,19.22
->,blr,1987,11.1->9.96,10.27
->,blz,1987,7.8->6.19,20.64
+++,brb,1987,6.51,
+++,brn,1987,11.02,
+++,btn,1987,3.69,
->,che,1987,12.5->11.14,10.88
->,cod,1987,6.9->5.5,20.29
->,cog,1987,8.1->6.72,17.04
->,com,1987,3.7->4.2,13.51
->,cri,1987,7.8->6.49,16.79
->,cub,1987,9.7->8.6,11.34
->,cze,1987,12.8->11.02,13.91
+++,dma,1987,7.39,
->,eri,1987,2.9->3.42,17.93
->,esp,1987,7.9->8.83,11.77
->,eth,1987,2->3.39,69.50
->,fji,1987,9.5->8.28,12.84
+++,fsm,1987,9.02,
->,gha,1987,7.1->5.74,19.15
->,gnq,1987,6.9->6.07,12.03
+++,grd,1987,6.51,
->,guy,1987,8.4->6.59,21.55
->,hnd,1987,5.1->4.47,12.35
->,hrv,1987,9.4->8.41,10.53
->,hti,1987,3.8->4.57,20.26
->,ind,1987,5.6->4.91,12.32
->,irq,1987,7.1->5.58,21.41
+++,isl,1987,10.32,
->,jam,1987,9.3->7.86,15.48
->,kir,1987,8.1->6.73,16.91
->,kor,1987,12.6->11.21,11.03
->,kwt,1987,6.1->7.06,15.74
->,lbr,1987,4.6->3.69,19.78
+++,lby,1987,5.18,
->,mar,1987,4.3->3.78,12.09
->,mda,1987,10.9->9.2,15.60
->,mhl,1987,8.8->6.67,24.20
->,mli,1987,1.7->1.47,13.53
+++,mlt,1987,8.33,
->,mmr,1987,4.8->4.26,11.25
->,mne,1987,10.3->9.07,11.94
->,mng,1987,8.6->7.48,13.02
->,moz,1987,3.1->2.73,11.94
->,mrt,1987,2.7->3.64,34.81
->,ner,1987,1.1->1.43,30.00
+++,prk,1987,8.66,
->,pse,1987,9.2->7.84,14.78
->,qat,1987,6.3->5.41,14.13
->,sgp,1987,8.2->9.17,11.83
->,slb,1987,5.6->4.83,13.75
->,sle,1987,2.6->2.34,10.00
+++,ssd,1987,1.65,
->,sur,1987,7->6.24,10.86
->,tls,1987,2.9->4.61,58.97
->,ton,1987,10->8.78,12.20
->,tun,1987,7.6->6.39,15.92
->,tza,1987,5.6->4.96,11.43
->,ukr,1987,11.5->10.01,12.96
+++,vct,1987,6.51,
->,vnm,1987,7.6->6.33,16.71
->,zmb,1987,6.9->5.79,16.09
+++,and,1988,10.85,
->,are,1988,8.6->7.32,14.88
->,atg,1988,11.2->9.53,14.91
->,bgd,1988,4.2->3.7,11.90
->,bhr,1988,7.8->6.37,18.33
->,blz,1988,7.9->6.31,20.13
+++,brb,1988,6.64,
