geo,municipal_water_withdrawal_percent_of_total,time
tza,10.1,2002
usa,26.4,1992
usa,12,2002
ury,6,1967
ury,2,2002
uzb,3.4,1977
uzb,3,1982
uzb,3,1987
uzb,3.2,1992
uzb,4.4,1997
uzb,4,2002
ven,43,1972
ven,45,2002
vnm,3,1982
vnm,3,1987
vnm,7,2002
yem,6.8,1992
yem,8,2002
zmb,17.2,1992
zmb,15,1997
zmb,16,2002
zwe,14,1987
zwe,14,2002
