alternative_gdp_per_capita_ppp_wb,geo,time
21140,bhr,1980
19260,bhr,1981
17260,bhr,1982
17870,bhr,1983
18270,bhr,1984
16900,bhr,1985
16550,bhr,1986
17640,bhr,1987
18220,bhr,1988
17680,bhr,1989
17910,bhr,1990
19380,bhr,1991
20160,bhr,1992
22210,bhr,1993
21630,bhr,1994
21930,bhr,1995
22200,bhr,1996
22190,bhr,1997
22560,bhr,1998
22940,bhr,1999
23730,bhr,2000
24650,bhr,2001
25960,bhr,2002
27610,bhr,2003
28090,bhr,2004
28070,bhr,2005
26750,bhr,2006
25400,bhr,2007
23760,bhr,2008
22040,bhr,2009
21350,bhr,2010
676.8,bgd,1980
683.4,bgd,1981
681,bgd,1982
689.7,bgd,1983
706.3,bgd,1984
709.6,bgd,1985
719.9,bgd,1986
726.9,bgd,1987
723,bgd,1988
723,bgd,1989
747.2,bgd,1990
754.1,bgd,1991
774.5,bgd,1992
792.5,bgd,1993
807.6,bgd,1994
829.8,bgd,1995
850.5,bgd,1996
878.5,bgd,1997
906.4,bgd,1998
932.5,bgd,1999
969.8,bgd,2000
1003,bgd,2001
1029,bgd,2002
1065,bgd,2003
1115,bgd,2004
1165,bgd,2005
1226,bgd,2006
1291,bgd,2007
1356,bgd,2008
1419,bgd,2009
1488,bgd,2010
1568,bgd,2011
14940,brb,1980
14410,brb,1981
13630,brb,1982
13580,brb,1983
13970,brb,1984
13980,brb,1985
15230,brb,1986
15320,brb,1987
16220,brb,1988
16970,brb,1989
16100,brb,1990
15580,brb,1991
14760,brb,1992
14860,brb,1993
15410,brb,1994
15590,brb,1995
15830,brb,1996
16780,brb,1997
17420,brb,1998
17820,brb,1999
18180,brb,2000
17210,brb,2001
16560,brb,2002
16860,brb,2003
17450,brb,2004
17960,brb,2005
18540,brb,2006
18590,brb,2007
18590,brb,2008
17560,brb,2009
6434,blr,1990
6354,blr,1991
5731,blr,1992
5284,blr,1993
4671,blr,1994
4199,blr,1995
4331,blr,1996
4845,blr,1997
5277,blr,1998
5475,blr,1999
5810,blr,2000
6106,blr,2001
6443,blr,2002
6933,blr,2003
7765,blr,2004
8541,blr,2005
9436,blr,2006
10280,blr,2007
11460,blr,2008
11590,blr,2009
12500,blr,2010
13190,blr,2011
20790,bel,1980
20740,bel,1981
20860,bel,1982
20930,bel,1983
21450,bel,1984
21800,bel,1985
22180,bel,1986
22680,bel,1987
23670,bel,1988
24410,bel,1989
25100,bel,1990
25460,bel,1991
25750,bel,1992
25400,bel,1993
26140,bel,1994
26710,bel,1995
27030,bel,1996
27980,bel,1997
28450,bel,1998
29390,bel,1999
30400,bel,2000
30540,bel,2001
30820,bel,2002
30930,bel,2003
31810,bel,2004
32190,bel,2005
32850,bel,2006
33560,bel,2007
33620,bel,2008
32410,bel,2009
32840,bel,2010
33130,bel,2011
3342,blz,1980
3297,blz,1981
3203,blz,1982
3073,blz,1983
3037,blz,1984
2991,blz,1985
3051,blz,1986
3300,blz,1987
3513,blz,1988
3899,blz,1989
4181,blz,1990
4501,blz,1991
4916,blz,1992
5071,blz,1993
4935,blz,1994
4841,blz,1995
4788,blz,1996
4785,blz,1997
4788,blz,1998
5109,blz,1999
5621,blz,2000
5727,blz,2001
5840,blz,2002
6186,blz,2003
6268,blz,2004
6254,blz,2005
6337,blz,2006
6214,blz,2007
6219,blz,2008
6012,blz,2009
5980,blz,2010
5896,blz,2011
1134,ben,1980
1214,ben,1981
1208,ben,1982
1124,ben,1983
1180,ben,1984
1234,ben,1985
1227,ben,1986
1176,ben,1987
1183,ben,1988
1116,ben,1989
1117,ben,1990
1132,ben,1991
1137,ben,1992
1136,ben,1993
1146,ben,1994
1161,ben,1995
1190,ben,1996
1228,ben,1997
1249,ben,1998
1272,ben,1999
1306,ben,2000
1330,ben,2001
1347,ben,2002
1355,ben,2003
1353,ben,2004
1349,ben,2005
1362,ben,2006
1382,ben,2007
1411,ben,2008
1422,ben,2009
1424,ben,2010
1428,ben,2011
938.8,btn,1981
990.8,btn,1982
1038,btn,1983
1089,btn,1984
1105,btn,1985
1155,btn,1986
1342,btn,1987
1496,btn,1988
1554,btn,1989
1679,btn,1990
1770,btn,1991
1838,btn,1992
1941,btn,1993
2049,btn,1994
2193,btn,1995
2320,btn,1996
2410,btn,1997
2486,btn,1998
2586,btn,1999
2703,btn,2000
2809,btn,2001
2969,btn,2002
3129,btn,2003
3284,btn,2004
3480,btn,2005
3634,btn,2006
4199,btn,2007
4315,btn,2008
4525,btn,2009
4780,btn,2010
5096,btn,2011
3779,bol,1980
3707,bol,1981
3486,bol,1982
3275,bol,1983
3200,bol,1984
3080,bol,1985
2936,bol,1986
2943,bol,1987
2962,bol,1988
3006,bol,1989
3074,bol,1990
3162,bol,1991
3140,bol,1992
3199,bol,1993
3272,bol,1994
3349,bol,1995
3419,bol,1996
3512,bol,1997
3611,bol,1998
3552,bol,1999
3567,bol,2000
3555,bol,2001
3571,bol,2002
3598,bol,2003
3678,bol,2004
3772,bol,2005
3885,bol,2006
3995,bol,2007
4172,bol,2008
4244,bol,2009
4350,bol,2010
