internet_users_total_number,geo,time
708100,ind,1997
1416000,ind,1998
2831000,ind,1999
5560000,ind,2000
7073000,ind,2001
16740000,ind,2002
18650000,ind,2003
22190000,ind,2004
27230000,ind,2005
32460000,ind,2006
46370000,ind,2007
52160000,ind,2008
61840000,ind,2009
91850000,ind,2010
0,idn,1990
2082,idn,1994
52060,idn,1995
114500,idn,1996
399700,idn,1997
530600,idn,1998
936000,idn,1999
1975000,idn,2000
4364000,idn,2001
4674000,idn,2002
5295000,idn,2003
5840000,idn,2004
8188000,idn,2005
10960000,idn,2006
13450000,idn,2007
18600000,idn,2008
20650000,idn,2009
23750000,idn,2010
0,irn,1990
240.1,irn,1994
2498,irn,1995
9625,irn,1996
28970,irn,1997
63020,irn,1998
243300,irn,1999
610400,irn,2000
984200,irn,2001
3109000,irn,2002
4719000,irn,2003
5160000,irn,2004
5648000,irn,2005
6183000,irn,2006
6765000,irn,2007
7402000,irn,2008
8096000,irn,2009
9617000,irn,2010
0,irq,1990
24550,irq,2001
126200,irq,2002
155500,irq,2003
239600,irq,2004
246200,irq,2005
268000,irq,2006
269300,irq,2007
298200,irq,2008
325700,irq,2009
791800,irq,2010
0,irl,1990
2009,irl,1991
6023,irl,1992
10030,irl,1993
20030,irl,1994
40020,irl,1995
80020,irl,1996
150000,irl,1997
300100,irl,1998
410100,irl,1999
679000,irl,2000
894500,irl,2001
1017000,irl,2002
1376000,irl,2003
1511000,irl,2004
1730000,irl,2005
2317000,irl,2006
2598000,irl,2007
2844000,irl,2008
2973000,irl,2009
3122000,irl,2010
4985,isr,1990
9964,isr,1991
14930,isr,1992
19890,isr,1993
29800,isr,1994
49610,isr,1995
119000,isr,1996
247700,isr,1997
594200,isr,1998
791700,isr,1999
1256000,isr,2000
1066000,isr,2001
1109000,isr,2002
1245000,isr,2003
1474000,isr,2004
1664000,isr,2005
1883000,isr,2006
3331000,isr,2007
4212000,isr,2008
4583000,isr,2009
4985000,isr,2010
9971,ita,1990
19940,ita,1991
39860,ita,1992
69730,ita,1993
109500,ita,1994
298700,ita,1995
582600,ita,1996
1295000,ita,1997
2592000,ita,1998
8178000,ita,1999
13170000,ita,2000
15570000,ita,2001
16120000,ita,2002
16800000,ita,2003
19370000,ita,2004
20530000,ita,2005
22450000,ita,2006
24270000,ita,2007
26670000,ita,2008
29420000,ita,2009
32500000,ita,2010
0,jam,1990
898.1,jam,1994
2695,jam,1995
14690,jam,1996
20020,jam,1997
50130,jam,1998
60260,jam,1999
80440,jam,2000
100600,jam,2001
160200,jam,2002
206400,jam,2003
266500,jam,2004
343300,jam,2005
442200,jam,2006
571600,jam,2007
642000,jam,2008
663600,jam,2009
715400,jam,2010
24810,jpn,1990
49620,jpn,1991
119100,jpn,1992
496200,jpn,1993
992400,jpn,1994
1985000,jpn,1995
5458000,jpn,1996
11460000,jpn,1997
16810000,jpn,1998
26850000,jpn,1999
37700000,jpn,2000
48510000,jpn,2001
58730000,jpn,2002
61120000,jpn,2003
78800000,jpn,2004
84580000,jpn,2005
86860000,jpn,2006
94000000,jpn,2007
95410000,jpn,2008
98710000,jpn,2009
98950000,jpn,2010
0,jor,1990
1018,jor,1995
2027,jor,1996
27610,jor,1997
61140,jor,1998
120100,jor,1999
126600,jor,2000
231100,jor,2001
301200,jor,2002
431500,jor,2003
607500,jor,2004
690900,jor,2005
762000,jor,2006
1133000,jor,2007
1345000,jor,2008
1567000,jor,2009
2351000,jor,2010
0,kaz,1990
84,kaz,1994
1800,kaz,1995
5000,kaz,1996
10000,kaz,1997
20010,kaz,1998
70020,kaz,1999
100000,kaz,2000
149900,kaz,2001
249600,kaz,2002
299200,kaz,2003
399000,kaz,2004
449300,kaz,2005
500500,kaz,2006
622100,kaz,2007
1722000,kaz,2008
2883000,kaz,2009
5449000,kaz,2010
0,ken,1990
199.5,ken,1995
2492,ken,1996
9959,ken,1997
14930,ken,1998
34800,ken,1999
99410,ken,2000
198800,ken,2001
397700,ken,2002
994500,ken,2003
1049000,ken,2004
1105000,ken,2005
2753000,ken,2006
2980000,ken,2007
3334000,ken,2008
3962000,ken,2009
10490000,ken,2010
0,kir,1990
499.9,kir,1998
999.8,kir,1999
1500,kir,2000
2000,kir,2001
2179,kir,2002
2663,kir,2003
3164,kir,2004
3680,kir,2005
4209,kir,2006
5703,kir,2007
6757,kir,2008
7842,kir,2009
8959,kir,2010
0,prk,1990
0,prk,1997
0,prk,1998
0,prk,1999
0,prk,2000
0,prk,2001
0,prk,2002
0,prk,2003
0,prk,2004
0,prk,2005
0,prk,2006
0,prk,2007
0,prk,2008
0,prk,2009
9999,kor,1990
20010,kor,1991
43030,kor,1992
110100,kor,1993
138100,kor,1994
366100,kor,1995
730100,kor,1996
1629000,kor,1997
3085000,kor,1998
10770000,kor,1999
20560000,kor,2000
26160000,kor,2001
27570000,kor,2002
30540000,kor,2003
34050000,kor,2004
34580000,kor,2005
36920000,kor,2006
37430000,kor,2007
38660000,kor,2008
39140000,kor,2009
40330000,kor,2010
0,kwt,1990
1636,kwt,1993
2483,kwt,1994
3303,kwt,1995
13930,kwt,1996
36510,kwt,1997
53830,kwt,1998
88330,kwt,1999
130600,kwt,2000
171900,kwt,2001
212100,kwt,2002
476500,kwt,2003
502000,kwt,2004
587000,kwt,2005
677000,kwt,2006
772700,kwt,2007
873000,kwt,2008
975200,kwt,2009
1047000,kwt,2010
0,kgz,1990
3512,kgz,1998
10030,kgz,1999
51600,kgz,2000
149800,kgz,2001
150000,kgz,2002
195800,kgz,2003
255500,kgz,2004
531200,kgz,2005
625600,kgz,2006
721000,kgz,2007
817000,kgz,2008
1067000,kgz,2010
0,lao,1990
494.6,lao,1998
1973,lao,1999
5904,lao,2000
9826,lao,2001
14730,lao,2002
18640,lao,2003
20480,lao,2004
48920,lao,2005
68340,lao,2006
97270,lao,2007
213800,lao,2008
366700,lao,2009
434100,lao,2010
0,lva,1990
20010,lva,1996
50080,lva,1997
80220,lva,1998
105400,lva,1999
150700,lva,2000
170900,lva,2001
515700,lva,2002
629800,lva,2003
894800,lva,2004
1061000,lva,2005
1230000,lva,2006
1350000,lva,2007
1508000,lva,2008
1549000,lva,2009
1601000,lva,2010
0,lbn,1990
2480,lbn,1995
4961,lbn,1996
44650,lbn,1997
99210,lbn,1998
198400,lbn,1999
297600,lbn,2000
258000,lbn,2001
270800,lbn,2002
314800,lbn,2003
359800,lbn,2004
410900,lbn,2005
614600,lbn,2006
774900,lbn,2007
938800,lbn,2008
993800,lbn,2009
1311000,lbn,2010
0,lso,1990
52.06,lso,1996
104.2,lso,1997
208.3,lso,1998
1041,lso,1999
4160,lso,2000
5194,lso,2001
21790,lso,2002
31090,lso,2003
44530,lso,2004
53300,lso,2005
62140,lso,2006
72570,lso,2007
76160,lso,2008
79950,lso,2009
83810,lso,2010
0,lbr,1990
106,lbr,1997
104.2,lbr,1998
307.1,lbr,1999
504,lbr,2000
993.8,lbr,2001
980.1,lbr,2002
968,lbr,2003
959.1,lbr,2004
19170,lbr,2007
19390,lbr,2008
19560,lbr,2009
279600,lbr,2010
0,lby,1990
6860,lby,1999
9785,lby,2000
19540,lby,2001
122000,lby,2002
156000,lby,2003
199700,lby,2004
226000,lby,2005
253500,lby,2006
284400,lby,2007
553500,lby,2008
676400,lby,2009
889700,lby,2010
0,lie,1990
12000,lie,2000
15000,lie,2001
20000,lie,2002
20000,lie,2003
22000,lie,2004
21990,lie,2005
22470,lie,2006
22950,lie,2007
24860,lie,2008
26830,lie,2009
28830,lie,2010
0,ltu,1990
9998,ltu,1996
35000,ltu,1997
70000,ltu,1998
103000,ltu,1999
224900,ltu,2000
249800,ltu,2001
612500,ltu,2002
893200,ltu,2003
1072000,ltu,2004
1237000,ltu,2005
1492000,ltu,2006
1686000,ltu,2007
1855000,ltu,2008
1997000,ltu,2009
2065000,ltu,2010
0,lux,1990
598.7,lux,1992
1197,lux,1993
1995,lux,1994
6483,lux,1995
22950,lux,1996
29950,lux,1997
49940,lux,1998
74880,lux,1999
99670,lux,2000
158900,lux,2001
176400,lux,2002
243500,lux,2003
297000,lux,2004
320000,lux,2005
337600,lux,2006
375400,lux,2007
400300,lux,2008
434500,lux,2009
456700,lux,2010
0,mac,1990
145,mac,1994
1116,mac,1995
2944,mac,1996
9718,mac,1997
29230,mac,1998
39090,mac,1999
58770,mac,2000
99150,mac,2001
113100,mac,2002
118300,mac,2003
148000,mac,2004
167800,mac,2005
228900,mac,2006
239300,mac,2007
255300,mac,2008
286800,mac,2009
308800,mac,2010
0,mkd,1990
800,mkd,1995
1500,mkd,1996
9994,mkd,1997
19980,mkd,1998
29960,mkd,1999
49940,mkd,2000
69920,mkd,2001
350500,mkd,2002
386700,mkd,2003
496900,mkd,2004
539100,mkd,2005
584700,mkd,2006
743400,mkd,2007
945000,mkd,2008
1065000,mkd,2009
1069000,mkd,2010
0,mdg,1990
500.6,mdg,1996
2004,mdg,1997
9028,mdg,1998
25110,mdg,1999
30170,mdg,2000
35260,mdg,2001
55510,mdg,2002
71290,mdg,2003
91190,mdg,2004
101500,mdg,2005
112000,mdg,2006
123400,mdg,2007
322500,mdg,2008
328000,mdg,2009
352100,mdg,2010
0,mwi,1990
481.8,mwi,1997
1916,mwi,1998
9533,mwi,1999
14240,mwi,2000
18910,mwi,2001
25450,mwi,2002
33860,mwi,2003
43340,mwi,2004
49300,mwi,2005
56100,mwi,2006
131300,mwi,2007
98040,mwi,2008
154500,mwi,2009
336800,mwi,2010
0,mys,1990
201.2,mys,1992
5031,mys,1993
20130,mys,1994
30180,mys,1995
181000,mys,1996
502600,mys,1997
1507000,mys,1998
2814000,mys,1999
5007000,mys,2000
6398000,mys,2001
7928000,mys,2002
8764000,mys,2003
10810000,mys,2004
12690000,mys,2005
13730000,mys,2006
15070000,mys,2007
15350000,mys,2008
15620000,mys,2009
15990000,mys,2010
0,mdv,1990
0,mdv,1991
0,mdv,1992
0,mdv,1993
0,mdv,1994
0,mdv,1995
576.3,mdv,1996
801.5,mdv,1997
1503,mdv,1998
3008,mdv,1999
6022,mdv,2000
10050,mdv,2001
15090,mdv,2002
17130,mdv,2003
19170,mdv,2004
20280,mdv,2005
33040,mdv,2006
49480,mdv,2007
71370,mdv,2008
77310,mdv,2009
89400,mdv,2010
0,mli,1990
207.4,mli,1996
1046,mli,1997
2111,mli,1998
6682,mli,1999
16100,mli,2000
21640,mli,2001
27250,mli,2002
38420,mli,2003
55280,mli,2004
66810,mli,2005
99180,mli,2006
113600,mli,2007
227000,mli,2008
286300,mli,2009
415000,mli,2010
0,mlt,1990
869.8,mlt,1995
4093,mlt,1996
15350,mlt,1997
25580,mlt,1998
30680,mlt,1999
52120,mlt,2000
71470,mlt,2001
116300,mlt,2002
128100,mlt,2003
141000,mlt,2004
168800,mlt,2005
166100,mlt,2006
193500,mlt,2007
207300,mlt,2008
244400,mlt,2009
262400,mlt,2010
0,mhl,1990
0,mhl,1991
0,mhl,1992
0,mhl,1993
0,mhl,1994
0,mhl,1995
19.04,mhl,1996
503.1,mhl,1999
800,mhl,2000
889.7,mhl,2001
1216,mhl,2002
1336,mhl,2003
1871,mhl,2004
2018,mhl,2005
1982,mhl,2006
1948,mhl,2007
1918,mhl,2008
1893,mhl,2009
0,mrt,1990
101.2,mrt,1997
1013,mrt,1998
3042,mrt,1999
5075,mrt,2000
7112,mrt,2001
10170,mrt,2002
12220,mrt,2003
14270,mrt,2004
20420,mrt,2005
30660,mrt,2006
46060,mrt,2007
61620,mrt,2008
77010,mrt,2009
103800,mrt,2010
0,mus,1990
2114,mus,1996
5529,mus,1997
30100,mus,1998
55100,mus,1999
87090,mus,2000
106100,mus,2001
125200,mus,2002
150300,mus,2003
170500,mus,2004
190700,mus,2005
211500,mus,2006
257900,mus,2007
280000,mus,2008
290700,mus,2009
368100,mus,2010
0,mex,1990
5053,mex,1991
15150,mex,1992
25220,mex,1993
39300,mex,1994
94640,mex,1995
188100,mex,1996
598700,mex,1997
1228000,mex,1998
1830000,mex,1999
5079000,mex,2000
7132000,mex,2001
12210000,mex,2002
13400000,mex,2003
14830000,mex,2004
18330000,mex,2005
21050000,mex,2006
22730000,mex,2007
24020000,mex,2008
29510000,mex,2009
35220000,mex,2010
0,fsm,1990
300,fsm,1996
616,fsm,1997
2000,fsm,1998
3000,fsm,1999
4000,fsm,2000
5000,fsm,2001
6001,fsm,2002
10000,fsm,2003
12000,fsm,2004
13000,fsm,2005
14000,fsm,2006
15000,fsm,2007
15990,fsm,2008
16990,fsm,2009
22210,fsm,2010
0,mda,1990
36,mda,1994
150,mda,1995
200,mda,1996
1201,mda,1997
11010,mda,1998
25030,mda,1999
52680,mda,2000
60110,mda,2001
150300,mda,2002
288600,mda,2003
406900,mda,2004
551100,mda,2005
728900,mda,2006
750800,mda,2007
850200,mda,2008
1333000,mda,2009
1429000,mda,2010
0,mng,1990
203.2,mng,1995
422.3,mng,1996
2645,mng,1997
3451,mng,1998
12150,mng,1999
30280,mng,2000
40250,mng,2001
50150,mng,2002
333200,mng,2008
341700,mng,2009
355500,mng,2010
158900,mne,2004
180600,mne,2005
201800,mne,2006
232600,mne,2007
257800,mne,2008
282800,mne,2009
328400,mne,2010
0,mar,1990
999.2,mar,1995
1551,mar,1996
5995,mar,1997
39960,mar,1998
49950,mar,1999
199800,mar,2000
399500,mar,2001
699000,mar,2002
998300,mar,2003
3492000,mar,2004
4585000,mar,2005
6070000,mar,2006
6667000,mar,2007
10370000,mar,2008
13070000,mar,2009
15660000,mar,2010
0,moz,1990
499.4,moz,1996
1997,moz,1997
3493,moz,1998
9977,moz,1999
19950,moz,2000
29910,moz,2001
49850,moz,2002
82740,moz,2003
137600,moz,2004
177500,moz,2005
179500,moz,2006
198500,moz,2007
348400,moz,2008
612600,moz,2009
975400,moz,2010
0,mmr,1990
67.51,mmr,1999
131.1,mmr,2001
194.5,mmr,2002
11030,mmr,2003
11210,mmr,2004
30220,mmr,2005
84840,mmr,2006
101900,mmr,2007
104000,mmr,2008
104700,mmr,2009
0,nam,1990
101.9,nam,1995
153.6,nam,1996
1029,nam,1997
5169,nam,1998
6224,nam,1999
31180,nam,2000
46800,nam,2001
51970,nam,2002
67480,nam,2003
77740,nam,2004
83410,nam,2005
93200,nam,2006
104400,nam,2007
117300,nam,2008
131700,nam,2009
148400,nam,2010
0,npl,1990
0,npl,1991
0,npl,1992
0,npl,1993
0,npl,1994
199.7,npl,1995
998.5,npl,1996
4992,npl,1997
14970,npl,1998
34940,npl,1999
49940,npl,2000
59960,npl,2001
80000,npl,2002
100100,npl,2003
120200,npl,2004
225500,npl,2005
317700,npl,2006
400100,npl,2007
500100,npl,2008
579800,npl,2009
2376000,npl,2010
49800,nld,1990
79700,nld,1991
199400,nld,1992
299200,nld,1993
499000,nld,1994
998300,nld,1995
1497000,nld,1996
2195000,nld,1997
3490000,nld,1998
6180000,nld,1999
6977000,nld,2000
7877000,nld,2001
9835000,nld,2002
10380000,nld,2003
11120000,nld,2004
13210000,nld,2005
13710000,nld,2006
14110000,nld,2007
14430000,nld,2008
14840000,nld,2009
15070000,nld,2010
0,ncl,1990
9.879,ncl,1995
493.6,ncl,1996
1973,ncl,1997
3944,ncl,1998
11820,ncl,1999
29550,ncl,2000
39380,ncl,2001
49200,ncl,2002
59020,ncl,2003
68850,ncl,2004
74780,ncl,2005
78750,ncl,2006
83740,ncl,2007
83830,ncl,2008
83920,ncl,2009
0,nzl,1990
10020,nzl,1992
22500,nzl,1993
114800,nzl,1994
179500,nzl,1995
298900,nzl,1996
547900,nzl,1997
1197000,nzl,1998
1584000,nzl,1999
1828000,nzl,2000
2080000,nzl,2001
2341000,nzl,2002
2451000,nzl,2003
2523000,nzl,2004
2593000,nzl,2005
2888000,nzl,2006
2953000,nzl,2007
3081000,nzl,2008
3445000,nzl,2009
3626000,nzl,2010
0,nic,1990
597.2,nic,1994
1393,nic,1995
3980,nic,1996
9950,nic,1997
14920,nic,1998
24870,nic,1999
49730,nic,2000
74590,nic,2001
89500,nic,2002
99440,nic,2003
124300,nic,2004
139200,nic,2005
154100,nic,2006
217000,nic,2007
298700,nic,2008
416800,nic,2009
578800,nic,2010
0,ner,1990
98.73,ner,1996
197.6,ner,1997
296.6,ner,1998
2968,ner,1999
3961,ner,2000
11890,ner,2001
14880,ner,2002
18870,ner,2003
23830,ner,2004
28760,ner,2005
39580,ner,2006
54440,ner,2007
101200,ner,2008
113800,ner,2009
128700,ner,2010
0,nga,1990
9948,nga,1996
19870,nga,1997
29770,nga,1998
49570,nga,1999
79260,nga,2000
113900,nga,2001
416100,nga,2002
743300,nga,2003
1754000,nga,2004
4963000,nga,2005
7948000,nga,2006
9949000,nga,2007
23900000,nga,2008
43920000,nga,2009
45040000,nga,2010
0,mnp,1990
30000,nor,1990
60000,nor,1991
94990,nor,1992
120000,nor,1993
180000,nor,1994
280000,nor,1995
800300,nor,1996
900900,nor,1997
1001000,nor,1998
1102000,nor,1999
1202000,nor,2000
1320000,nor,2001
3304000,nor,2002
3562000,nor,2003
3564000,nor,2004
3791000,nor,2005
3854000,nor,2006
4105000,nor,2007
4328000,nor,2008
4451000,nor,2009
4560000,nor,2010
0,omn,1990
0,omn,1996
9968,omn,1997
19520,omn,1998
56840,omn,1999
79710,omn,2000
134300,omn,2001
158300,omn,2002
169500,omn,2003
160700,omn,2004
162400,omn,2005
206700,omn,2006
427200,omn,2007
527400,omn,2008
1397000,omn,2009
1725000,omn,2010
0,pak,1990
156.3,pak,1995
3911,pak,1996
36990,pak,1997
60560,pak,1998
78200,pak,1999
1946000,pak,2001
3877000,pak,2002
7720000,pak,2003
9608000,pak,2004
10050000,pak,2005
11440000,pak,2006
16620000,pak,2007
26410000,pak,2008
28290000,pak,2009
29130000,pak,2010
0,plw,1990
3962,plw,2002
4255,plw,2003
5341,plw,2004
0,pan,1990
200.3,pan,1994
1502,pan,1995
6010,pan,1996
15020,pan,1997
78210,pan,1998
111300,pan,1999
193800,pan,2000
219000,pan,2001
261400,pan,2002
312200,pan,2003
354500,pan,2004
371900,pan,2005
571600,pan,2006
746900,pan,2007
1152000,pan,2008
1353000,pan,2009
1503000,pan,2010
0,png,1990
100.1,png,1996
5000,png,1997
11990,png,1998
34960,png,1999
44930,png,2000
49890,png,2001
74810,png,2002
79760,png,2003
89690,png,2004
104600,png,2005
109600,png,2006
114500,png,2007
75320,png,2008
107900,png,2009
87790,png,2010
0,pry,1990
998.7,pry,1996
4993,pry,1997
9987,pry,1998
19970,pry,1999
39950,pry,2000
59930,pry,2001
99880,pry,2002
119900,pry,2003
199800,pry,2004
466300,pry,2005
478400,pry,2006
686000,pry,2007
889100,pry,2008
1199000,pry,2009
1278000,pry,2010
0,per,1990
1990,per,1994
7961,per,1995
59710,per,1996
99520,per,1997
298500,per,1998
497500,per,1999
795600,per,2000
1988000,per,2001
2383000,per,2002
3122000,per,2003
3841000,per,2004
4713000,per,2005
5768000,per,2006
7098000,per,2007
8701000,per,2008
9032000,per,2009
9973000,per,2010
0,phl,1990
3957,phl,1994
19800,phl,1995
39630,phl,1996
99160,phl,1997
817000,phl,1998
1083000,phl,1999
1532000,phl,2000
1993000,phl,2001
3493000,phl,2002
3998000,phl,2003
4401000,phl,2004
4617000,phl,2005
5001000,phl,2006
5293000,phl,2007
5609000,phl,2008
8253000,phl,2009
23320000,phl,2010
0,pol,1990
1996,pol,1991
19940,pol,1992
49800,pol,1993
149300,pol,1994
248700,pol,1995
497300,pol,1996
796000,pol,1997
1574000,pol,1998
2092000,pol,1999
2790000,pol,2000
3789000,pol,2001
8086000,pol,2002
9500000,pol,2003
12420000,pol,2004
14810000,pol,2005
17020000,pol,2006
18560000,pol,2007
20310000,pol,2008
22560000,pol,2009
23850000,pol,2010
0,prt,1990
9969,prt,1991
25000,prt,1992
45140,prt,1993
72450,prt,1994
151300,prt,1995
303100,prt,1996
505800,prt,1997
1012000,prt,1998
1518000,prt,1999
1698000,prt,2000
1877000,prt,2001
2019000,prt,2002
3105000,prt,2003
3339000,prt,2004
3689000,prt,2005
4021000,prt,2006
4465000,prt,2007
4456000,prt,2008
4956000,prt,2009
5455000,prt,2010
0,pri,1990
999.9,pri,1994
5001,pri,1995
10010,pri,1996
50090,pri,1997
100200,pri,1998
200300,pri,1999
399500,pri,2000
596600,pri,2001
669100,pri,2002
749600,pri,2003
839300,pri,2004
885000,pri,2005
960000,pri,2006
1049000,pri,2007
1428000,pri,2008
1558000,pri,2009
1698000,pri,2010
0,qat,1990
953.7,qat,1995
4766,qat,1996
16310,qat,1997
19320,qat,1998
23200,qat,1999
28740,qat,2000
37520,qat,2001
63830,qat,2002
125700,qat,2003
148000,qat,2004
203100,qat,2005
283500,qat,2006
435900,qat,2007
942300,qat,2008
1435000,qat,2010
0,rou,1990
849.9,rou,1993
5999,rou,1994
17000,rou,1995
50010,rou,1996
100100,rou,1997
500600,rou,1998
601100,rou,1999
801900,rou,2000
1003000,rou,2001
1448000,rou,2002
1951000,rou,2003
3277000,rou,2004
4681000,rou,2005
5352000,rou,2006
6126000,rou,2007
6999000,rou,2008
7883000,rou,2009
8580000,rou,2010
0,rus,1990
1001,rus,1992
20030,rus,1993
80120,rus,1994
220300,rus,1995
400500,rus,1996
700600,rus,1997
1201000,rus,1998
1501000,rus,1999
2902000,rus,2000
4304000,rus,2001
6007000,rus,2002
12020000,rus,2003
18560000,rus,2004
21900000,rus,2005
25870000,rus,2006
35340000,rus,2007
38410000,rus,2008
41490000,rus,2009
61470000,rus,2010
0,rwa,1990
51.27,rwa,1996
102.4,rwa,1997
816.9,rwa,1998
5094,rwa,1999
5088,rwa,2000
20350,rwa,2001
25460,rwa,2002
31620,rwa,2003
38820,rwa,2004
51170,rwa,2005
205400,rwa,2007
450200,rwa,2008
794000,rwa,2009
1381000,rwa,2010
0,kna,1990
850.5,kna,1996
1001,kna,1997
1501,kna,1998
2001,kna,1999
2702,kna,2000
3602,kna,2001
10010,kna,2002
11010,kna,2003
12010,kna,2004
16720,kna,2005
24410,kna,2006
26240,kna,2007
30660,kna,2008
35710,kna,2009
39830,kna,2010
0,lca,1990
449.5,lca,1995
999.1,lca,1996
1499,lca,1997
1999,lca,1998
2999,lca,1999
7998,lca,2000
13000,lca,2001
23500,lca,2002
34000,lca,2003
35010,lca,2004
35650,lca,2005
40920,lca,2006
47090,lca,2007
54600,lca,2008
62080,lca,2009
69710,lca,2010
0,vct,1990
139,vct,1995
522.1,vct,1996
1000,vct,1997
2001,vct,1998
3001,vct,1999
3501,vct,2000
5502,vct,2001
6002,vct,2002
7002,vct,2003
8003,vct,2004
10000,vct,2005
35010,vct,2006
57030,vct,2007
66040,vct,2008
76040,vct,2009
0,wsm,1990
299.9,wsm,1997
399.8,wsm,1998
499.8,wsm,1999
1000,wsm,2000
3002,wsm,2001
4007,wsm,2002
5015,wsm,2003
5527,wsm,2004
6043,wsm,2005
8079,wsm,2006
8611,wsm,2007
9148,wsm,2008
10940,wsm,2009
12820,wsm,2010
0,smr,1990
349.8,smr,1995
369.8,smr,1996
369.9,smr,1997
370,smr,1998
11360,smr,1999
13160,smr,2000
13870,smr,2001
14360,smr,2002
14510,smr,2003
15030,smr,2004
15230,smr,2005
15420,smr,2006
15620,smr,2007
17010,smr,2008
17000,smr,2009
0,stp,1990
401.9,stp,1998
502.9,stp,1999
6541,stp,2000
9052,stp,2001
11050,stp,2002
15040,stp,2003
20030,stp,2004
21000,stp,2005
21980,stp,2006
22960,stp,2007
24750,stp,2008
26670,stp,2009
31010,stp,2010
0,sau,1990
2026,sau,1995
5022,sau,1996
9910,sau,1997
19530,sau,1998
96640,sau,1999
443100,sau,2000
968100,sau,2001
1370000,sau,2002
1787000,sau,2003
2376000,sau,2004
3054000,sau,2005
4826000,sau,2006
7651000,sau,2007
9420000,sau,2008
10190000,sau,2009
11250000,sau,2010
0,sen,1990
57.99,sen,1995
965.6,sen,1996
2410,sen,1997
7217,sen,1998
28820,sen,1999
38400,sen,2000
96010,sen,2001
100900,sen,2002
216400,sen,2003
464100,sen,2004
520400,sen,2005
626800,sen,2006
883500,sen,2007
1249000,sen,2008
1755000,sen,2009
1989000,sen,2010
2325000,srb,2004
2019000,srb,2005
2082000,srb,2006
2536000,srb,2007
2727000,srb,2008
2922000,srb,2009
3139000,srb,2010
0,syc,1990
491.8,syc,1996
978.1,syc,1997
1945,syc,1998
4847,syc,1999
5819,syc,2000
8772,syc,2001
11530,syc,2002
11920,syc,2003
20060,syc,2004
21220,syc,2005
29460,syc,2006
32610,syc,2007
34600,syc,2008
35470,syc,2010
0,sle,1990
0,sle,1993
0,sle,1994
0,sle,1995
97.69,sle,1996
195.2,sle,1997
585.3,sle,1998
1953,sle,1999
4899,sle,2000
6898,sle,2001
7939,sle,2002
8995,sle,2003
10050,sle,2004
11100,sle,2005
12130,sle,2006
13140,sle,2007
14030,sle,2008
14920,sle,2009
0,sgp,1990
5006,sgp,1991
15040,sgp,1992
25090,sgp,1993
40120,sgp,1994
100000,sgp,1995
298600,sgp,1996
494500,sgp,1997
736900,sgp,1998
928700,sgp,1999
1411000,sgp,2000
1659000,sgp,2001
1895000,sgp,2002
2200000,sgp,2003
2579000,sgp,2004
2602000,sgp,2005
2602000,sgp,2006
3118000,sgp,2007
3293000,sgp,2008
3412000,sgp,2009
3611000,sgp,2010
0,svk,1990
6820,svk,1993
17050,svk,1994
28090,svk,1995
42150,svk,1996
63240,svk,1997
145200,svk,1998
293700,svk,1999
509500,svk,2000
677400,svk,2001
2171000,svk,2002
2328000,svk,2003
2862000,svk,2004
2989000,svk,2005
3041000,svk,2006
3356000,svk,2007
3880000,svk,2008
4098000,svk,2009
4338000,svk,2010
0,svn,1990
8000,svn,1993
21000,svn,1994
57000,svn,1995
100000,svn,1996
150000,svn,1997
200000,svn,1998
250000,svn,1999
300000,svn,2000
600000,svn,2001
554400,svn,2002
635300,svn,2003
815400,svn,2004
937200,svn,2005
1084000,svn,2006
1142000,svn,2007
1171000,svn,2008
1295000,svn,2009
1421000,svn,2010
0,slb,1990
88.64,slb,1995
984.4,slb,1996
1476,slb,1997
1967,slb,1998
1966,slb,1999
1967,slb,2000
1969,slb,2001
2169,slb,2002
2469,slb,2003
2968,slb,2004
3967,slb,2005
7952,slb,2006
9930,slb,2007
15310,slb,2008
20960,slb,2009
26910,slb,2010
0,som,1990
0,som,1995
100.1,som,1996
200.1,som,1997
500.3,som,1998
1001,som,1999
1480,som,2000
6005,som,2001
9008,som,2002
30030,som,2003
86080,som,2004
90060,som,2005
94040,som,2006
98010,som,2007
102000,som,2008
105800,som,2009
0,zaf,1990
5007,zaf,1991
15020,zaf,1992
45050,zaf,1993
100100,zaf,1994
280200,zaf,1995
355100,zaf,1996
699700,zaf,1997
1265000,zaf,1998
1817000,zaf,1999
2394000,zaf,2000
2881000,zaf,2001
3088000,zaf,2002
3268000,zaf,2003
3979000,zaf,2004
3579000,zaf,2005
3677000,zaf,2006
3939000,zaf,2007
4158000,zaf,2008
4975000,zaf,2009
6166000,zaf,2010
5006,esp,1990
10010,esp,1991
30040,esp,1992
50060,esp,1993
110100,esp,1994
150100,esp,1995
526300,esp,1996
1110000,esp,1997
1733000,esp,1998
2830000,esp,1999
5489000,esp,2000
7399000,esp,2001
8434000,esp,2002
16790000,esp,2003
18810000,esp,2004
20780000,esp,2005
22170000,esp,2006
24580000,esp,2007
26910000,esp,2008
28480000,esp,2009
30320000,esp,2010
0,lka,1990
500.3,lka,1994
999.8,lka,1995
9989,lka,1996
29940,lka,1997
54850,lka,1998
64840,lka,1999
121400,lka,2000
150200,lka,2001
201000,lka,2002
282500,lka,2003
283600,lka,2004
355600,lka,2005
509100,lka,2006
786600,lka,2007
1187000,lka,2008
1815000,lka,2009
2503000,lka,2010
0,sdn,1990
0,sdn,1994
