internet_users_total_number,geo,time
6229000,bel,2005
6723000,bel,2006
7300000,bel,2007
6997000,bel,2008
7463000,bel,2009
8034000,bel,2010
0,blz,1990
100,blz,1995
1999,blz,1996
2995,blz,1997
4987,blz,1998
9966,blz,1999
14940,blz,2000
14930,blz,2002
15920,blz,2004
25880,blz,2005
29860,blz,2006
31830,blz,2007
33840,blz,2008
35820,blz,2009
43630,blz,2010
0,ben,1990
98.57,ben,1996
1476,ben,1997
2947,ben,1998
9805,ben,1999
14680,ben,2000
24430,ben,2001
48770,ben,2002
68160,ben,2003
87480,ben,2004
97030,ben,2005
121100,ben,2006
145200,ben,2007
154600,ben,2008
192700,ben,2009
277000,ben,2010
0,bmu,1990
4199,bmu,1995
9997,bmu,1996
14990,bmu,1997
19990,bmu,1998
24990,bmu,1999
26990,bmu,2000
29980,bmu,2001
32980,bmu,2002
35980,bmu,2003
38980,bmu,2004
41970,bmu,2005
44970,bmu,2006
47960,bmu,2007
53210,bmu,2008
53950,bmu,2009
54690,bmu,2010
0,btn,1990
764,btn,1999
2290,btn,2000
5084,btn,2001
10160,btn,2002
15220,btn,2003
20280,btn,2004
25360,btn,2005
30480,btn,2006
40760,btn,2007
45940,btn,2008
51170,btn,2009
98730,btn,2010
0,bol,1990
4991,bol,1995
14980,bol,1996
34950,bol,1997
49940,bol,1998
79910,bol,1999
119900,bol,2000
179700,bol,2001
269500,bol,2002
309300,bol,2003
398800,bol,2004
478100,bol,2005
577100,bol,2006
993600,bol,2007
1042000,bol,2008
1398000,bol,2009
1986000,bol,2010
0,bih,1990
500,bih,1996
2000,bih,1997
5000,bih,1998
7000,bih,1999
40000,bih,2000
45000,bih,2001
100000,bih,2002
150000,bih,2003
584900,bih,2004
806400,bih,2005
950000,bih,2006
1055000,bih,2007
1308000,bih,2008
1422000,bih,2009
1955000,bih,2010
0,bwa,1990
0,bwa,1991
1023,bwa,1995
2557,bwa,1996
5110,bwa,1997
10210,bwa,1998
19400,bwa,1999
51030,bwa,2000
61220,bwa,2001
61220,bwa,2002
61220,bwa,2003
61210,bwa,2004
61190,bwa,2005
81550,bwa,2006
101800,bwa,2007
122200,bwa,2008
121900,bwa,2009
120400,bwa,2010
0,bra,1990
5003,bra,1991
20010,bra,1992
40030,bra,1993
60050,bra,1994
170200,bra,1995
740800,bra,1996
1312000,bra,1997
2504000,bra,1998
3505000,bra,1999
5007000,bra,2000
8010000,bra,2001
16400000,bra,2002
23990000,bra,2003
35070000,bra,2004
39100000,bra,2005
52960000,bra,2006
58610000,bra,2007
64800000,bra,2008
75790000,bra,2009
79250000,bra,2010
0,brn,1990
2946,brn,1995
9817,brn,1996
14720,brn,1997
19620,brn,1998
24520,brn,1999
29420,brn,2000
43190,brn,2001
52360,brn,2002
68340,brn,2003
105800,brn,2004
132400,brn,2005
156200,brn,2006
168700,brn,2007
177000,brn,2008
192000,brn,2009
199500,brn,2010
0,bgr,1990
200,bgr,1993
1650,bgr,1994
10000,bgr,1995
60000,bgr,1996
100000,bgr,1997
150000,bgr,1998
234600,bgr,1999
430000,bgr,2000
605000,bgr,2001
716700,bgr,2002
944000,bgr,2003
1412000,bgr,2004
1546000,bgr,2005
2083000,bgr,2006
2570000,bgr,2007
3011000,bgr,2008
3394000,bgr,2009
3465000,bgr,2010
0,bfa,1990
105.6,bfa,1996
2112,bfa,1997
5279,bfa,1998
7384,bfa,1999
9476,bfa,2000
19950,bfa,2001
26160,bfa,2002
50020,bfa,2003
55200,bfa,2004
66720,bfa,2005
92520,bfa,2006
113000,bfa,2007
142700,bfa,2008
180600,bfa,2009
230600,bfa,2010
0,bdi,1990
0,bdi,1991
0,bdi,1992
0,bdi,1993
0,bdi,1994
0,bdi,1995
49.34,bdi,1996
493.2,bdi,1997
986,bdi,1998
2463,bdi,1999
4924,bdi,2000
6890,bdi,2001
7869,bdi,2002
13760,bdi,2003
24570,bdi,2004
39310,bdi,2005
49150,bdi,2006
53950,bdi,2007
64340,bdi,2008
155200,bdi,2009
176000,bdi,2010
0,khm,1990
685.7,khm,1997
1957,khm,1998
3908,khm,1999
5853,khm,2000
9738,khm,2001
29160,khm,2002
33940,khm,2003
39640,khm,2004
42390,khm,2005
63300,khm,2006
66980,khm,2007
70500,khm,2008
74080,khm,2009
178100,khm,2010
0,cmr,1990
990.4,cmr,1997
1979,cmr,1998
19780,cmr,1999
39530,cmr,2000
44440,cmr,2001
59210,cmr,2002
98620,cmr,2003
167500,cmr,2004
246200,cmr,2005
364100,cmr,2006
537700,cmr,2007
637800,cmr,2008
736300,cmr,2009
784000,cmr,2010
100000,can,1990
160000,can,1991
260000,can,1992
340000,can,1993
690000,can,1994
1220000,can,1995
2000000,can,1996
4499000,can,1997
7498000,can,1998
10990000,can,1999
15730000,can,2000
18640000,can,2001
19270000,can,2002
20290000,can,2003
21070000,can,2004
23130000,can,2005
23620000,can,2006
24140000,can,2007
25560000,can,2008
27040000,can,2009
27760000,can,2010
0,cpv,1990
994.9,cpv,1997
1991,cpv,1998
4980,cpv,1999
7968,cpv,2000
11950,cpv,2001
15930,cpv,2002
19900,cpv,2003
24830,cpv,2004
28720,cpv,2005
32560,cpv,2006
40010,cpv,2007
97470,cpv,2008
122900,cpv,2009
148800,cpv,2010
0,cym,1990
0,cym,1993
0,cym,1994
1295,cym,1995
19880,cym,2005
23900,cym,2006
28430,cym,2007
33730,cym,2008
35970,cym,2009
37110,cym,2010
0,caf,1990
199.3,caf,1996
497.2,caf,1997
992.4,caf,1998
1485,caf,1999
1976,caf,2000
2959,caf,2001
4922,caf,2002
5896,caf,2003
8829,caf,2004
10780,caf,2005
12720,caf,2006
15640,caf,2007
42380,caf,2008
77730,caf,2009
101200,caf,2010
0,tcd,1990
49.02,tcd,1997
328.2,tcd,1998
979.2,tcd,1999
2936,tcd,2000
3913,tcd,2001
14670,tcd,2002
29320,tcd,2003
34200,tcd,2004
39070,tcd,2005
58590,tcd,2006
87870,tcd,2007
126800,tcd,2008
164100,tcd,2009
190900,tcd,2010
0,chl,1990
4999,chl,1992
9999,chl,1993
20000,chl,1994
50000,chl,1995
100000,chl,1996
156900,chl,1997
250000,chl,1998
625000,chl,1999
2560000,chl,2000
2980000,chl,2001
3488000,chl,2002
4066000,chl,2003
4546000,chl,2004
5082000,chl,2005
5681000,chl,2006
5971000,chl,2007
6265000,chl,2008
6579000,chl,2009
7701000,chl,2010
0,chn,1990
2005,chn,1993
14040,chn,1994
60150,chn,1995
160400,chn,1996
401000,chn,1997
2105000,chn,1998
8919000,chn,1999
22540000,chn,2000
33730000,chn,2001
59100000,chn,2002
80190000,chn,2003
94940000,chn,2004
111400000,chn,2005
138300000,chn,2006
211400000,chn,2007
300200000,chn,2008
385800000,chn,2009
460100000,chn,2010
0,col,1990
38370,col,1994
68550,col,1995
122500,col,1996
208000,col,1997
432900,col,1998
663900,col,1999
877800,col,2000
1154000,col,2001
1890000,col,2002
3084000,col,2003
3865000,col,2004
4738000,col,2005
6704000,col,2006
9669000,col,2007
11520000,col,2008
13700000,col,2009
16900000,col,2010
0,com,1990
0,com,1997
202.1,com,1998
811.7,com,1999
1528,com,2000
2559,com,2001
3291,com,2002
5168,com,2003
8307,com,2004
20860,com,2005
21990,com,2006
23230,com,2007
24260,com,2008
25730,com,2009
37470,com,2010
0,cod,1990
49.01,cod,1996
97.94,cod,1997
195.7,cod,1998
488.7,cod,1999
2929,cod,2000
5851,cod,2001
48710,cod,2002
72990,cod,2003
109400,cod,2004
136700,cod,2005
174900,cod,2006
224900,cod,2007
274900,cod,2008
359500,cod,2009
475000,cod,2010
0,cog,1990
99.11,cog,1996
100.3,cog,1997
101.5,cog,1998
513,cog,1999
826.4,cog,2000
1035,cog,2001
5172,cog,2002
15480,cog,2003
37130,cog,2004
51710,cog,2005
72860,cog,2006
103000,cog,2007
164500,cog,2008
177400,cog,2009
202100,cog,2010
0,cri,1990
35.9,cri,1992
2693,cri,1993
9474,cri,1994
14460,cri,1995
29920,cri,1996
59840,cri,1997
99740,cri,1998
149600,cri,1999
227300,cri,2000
382700,cri,2001
812300,cri,2002
846000,cri,2003
880700,cri,2004
951100,cri,2005
1100000,cri,2006
1265000,cri,2007
1460000,cri,2008
1576000,cri,2009
1700000,cri,2010
0,civ,1990
29.39,civ,1995
1269,civ,1996
2917,civ,1997
9682,civ,1998
19280,civ,1999
38380,civ,2000
66850,civ,2001
85550,civ,2002
132400,civ,2003
150600,civ,2004
187300,civ,2005
279500,civ,2006
335600,civ,2007
379700,civ,2008
445100,civ,2009
513200,civ,2010
0,hrv,1990
4500,hrv,1993
12500,hrv,1994
24000,hrv,1995
40000,hrv,1996
80000,hrv,1997
150000,hrv,1998
200000,hrv,1999
299400,hrv,2000
518000,hrv,2001
793200,hrv,2002
1014000,hrv,2003
1375000,hrv,2004
1472000,hrv,2005
1684000,hrv,2006
1834000,hrv,2007
2236000,hrv,2008
2482000,hrv,2009
2656000,hrv,2010
0,cub,1990
9.991,cub,1995
3498,cub,1996
7499,cub,1997
25010,cub,1998
34830,cub,1999
60090,cub,2000
120300,cub,2001
421400,cub,2002
587400,cub,2003
944600,cub,2004
1096000,cub,2005
1257000,cub,2006
1317000,cub,2007
1458000,cub,2008
1614000,cub,2009
1790000,cub,2010
0,cyp,1990
400.8,cyp,1992
461.6,cyp,1993
929.6,cyp,1994
3508,cyp,1995
5880,cyp,1996
39000,cyp,1997
80730,cyp,1998
105000,cyp,1999
143900,cyp,2000
180900,cyp,2001
277500,cyp,2002
300300,cyp,2003
343600,cyp,2004
338800,cyp,2005
375600,cyp,2006
433400,cyp,2007
455700,cyp,2008
543200,cyp,2009
584900,cyp,2010
0,cze,1990
59990,cze,1993
130000,cze,1994
150000,cze,1995
200100,cze,1996
300200,cze,1997
400400,cze,1998
701100,cze,1999
1002000,cze,2000
1503000,cze,2001
2443000,cze,2002
3498000,cze,2003
3622000,cze,2004
3605000,cze,2005
4917000,cze,2006
5356000,cze,2007
6535000,cze,2008
6726000,cze,2009
7221000,cze,2010
5001,dnk,1990
10000,dnk,1991
20010,dnk,1992
30020,dnk,1993
70070,dnk,1994
200200,dnk,1995
300300,dnk,1996
600700,dnk,1997
1201000,dnk,1998
1628000,dnk,1999
2092000,dnk,2000
2301000,dnk,2001
3451000,dnk,2002
4106000,dnk,2003
4370000,dnk,2004
4484000,dnk,2005
4716000,dnk,2006
4650000,dnk,2007
4674000,dnk,2008
4798000,dnk,2009
4924000,dnk,2010
0,dji,1990
100.4,dji,1995
200.8,dji,1996
552.2,dji,1997
652.4,dji,1998
752.6,dji,1999
1424,dji,2000
2575,dji,2001
3727,dji,2002
4880,dji,2003
6202,dji,2004
7709,dji,2005
10460,dji,2006
13600,dji,2007
19340,dji,2008
34880,dji,2009
57770,dji,2010
0,dma,1990
391.6,dma,1995
829.7,dma,1996
2060,dma,1998
2053,dma,1999
6141,dma,2000
9198,dma,2001
12770,dma,2002
16350,dma,2003
20950,dma,2004
26570,dma,2005
27070,dma,2006
27560,dma,2007
28050,dma,2008
28540,dma,2009
32150,dma,2010
0,dom,1990
1364,dom,1995
6040,dom,1996
11690,dom,1997
19470,dom,1998
93440,dom,1999
318300,dom,2000
386500,dom,2001
604600,dom,2002
710500,dom,2003
809400,dom,2004
1064000,dom,2005
1395000,dom,2006
1683000,dom,2007
2012000,dom,2008
2716000,dom,2009
3924000,dom,2010
0,ecu,1990
548.9,ecu,1992
1796,ecu,1993
3892,ecu,1994
4990,ecu,1995
9981,ecu,1996
12980,ecu,1997
14980,ecu,1998
100000,ecu,1999
180500,ecu,2000
335200,ecu,2001
544000,ecu,2002
579300,ecu,2003
638600,ecu,2004
804800,ecu,2005
982100,ecu,2006
1496000,ecu,2007
2643000,ecu,2008
3508000,ecu,2009
4195000,ecu,2010
0,egy,1990
585.7,egy,1993
3896,egy,1994
19440,egy,1995
38800,egy,1996
58090,egy,1997
96650,egy,1998
193000,egy,1999
433800,egy,2000
577900,egy,2001
1909000,egy,2002
2887000,egy,2003
3752000,egy,2004
8681000,egy,2005
9486000,egy,2006
12350000,egy,2007
14110000,egy,2008
19360000,egy,2009
21690000,egy,2010
0,slv,1990
