geo,electricity_generation_per_person,time
rou,2789,1990
rou,2493,1991
rou,2377,1992
rou,2437,1993
rou,2425,1994
rou,2612,1995
rou,2711,1996
rou,2533,1997
rou,2376,1998
rou,2256,1999
rou,2313,2000
rou,2402,2001
rou,2452,2002
rou,2531,2003
rou,2527,2004
rou,2661,2005
rou,2811,2006
rou,2769,2007
rou,2905,2008
rus,7313,1990
rus,7202,1991
rus,6792,1992
rus,6442,1993
rus,5904,1994
rus,5806,1995
rus,5711,1996
rus,5632,1997
rus,5588,1998
rus,5742,1999
rus,5982,2000
rus,6104,2001
rus,6135,2002
rus,6308,2003
rus,6473,2004
rus,6646,2005
rus,6970,2006
rus,7125,2007
rus,7305,2008
sau,4366,1990
sau,4573,1991
sau,4699,1992
sau,4869,1993
sau,5071,1994
sau,5001,1995
sau,5012,1996
sau,5054,1997
sau,5159,1998
sau,5337,1999
sau,5450,2000
sau,5609,2001
sau,5785,2002
sau,6082,2003
sau,6180,2004
sau,6623,2005
sau,6654,2006
sau,6735,2007
sau,6878,2008
sgp,5126,1990
sgp,5278,1991
sgp,5421,1992
sgp,5697,1993
sgp,6032,1994
sgp,6226,1995
sgp,6388,1996
sgp,6887,1997
sgp,7244,1998
sgp,7440,1999
sgp,7844,2000
sgp,8031,2001
sgp,8258,2002
sgp,8261,2003
sgp,8455,2004
sgp,8634,2005
sgp,8780,2006
sgp,9035,2007
sgp,9053,2008
svk,4564,1990
svk,4304,1991
svk,4197,1992
svk,4589,1993
svk,4628,1994
svk,4832,1995
svk,4701,1996
svk,4505,1997
svk,4638,1998
svk,5142,1999
svk,5682,2000
svk,5929,2001
svk,5994,2002
svk,5756,2003
svk,5636,2004
svk,5791,2005
svk,5776,2006
svk,5150,2007
svk,5405,2008
zaf,4308,1990
zaf,4296,1991
zaf,4199,1992
zaf,4296,1993
zaf,4427,1994
zaf,4503,1995
zaf,4729,1996
zaf,4911,1997
zaf,4739,1998
zaf,4643,1999
zaf,4781,2000
zaf,4743,2001
zaf,4900,2002
zaf,5266,2003
zaf,5503,2004
zaf,5523,2005
