geo,electricity_generation_per_person,time
dza,641.8,1990
dza,675.2,1991
dza,695.3,1992
dza,721.4,1993
dza,722.6,1994
dza,702,1995
dza,722.3,1996
dza,727.5,1997
dza,799.9,1998
dza,826.3,1999
dza,822.4,2000
dza,851,2001
dza,875.9,2002
dza,920.5,2003
dza,962.5,2004
dza,1033,2005
dza,1063,2006
dza,1109,2007
dza,1185,2008
arg,1543,1990
arg,1614,1991
arg,1657,1992
arg,1817,1993
arg,1882,1994
arg,1902,1995
arg,1951,1996
arg,2002,1997
arg,2024,1998
arg,2178,1999
arg,2373,2000
arg,2377,2001
arg,2207,2002
arg,2376,2003
arg,2561,2004
arg,2669,2005
arg,2934,2006
arg,2998,2007
arg,3074,2008
aus,9162,1990
aus,9170,1991
aus,9249,1992
aus,9364,1993
aus,9526,1994
aus,9688,1995
aus,9832,1996
aus,10210,1997
aus,10640,1998
aus,10840,1999
aus,11080,2000
aus,11450,2001
aus,11630,2002
aus,11570,2003
aus,11920,2004
aus,12390,2005
aus,12570,2006
aus,12750,2007
aus,13220,2008
aut,6528,1990
aut,6585,1991
aut,6466,1992
aut,6594,1993
aut,6641,1994
aut,7032,1995
aut,6803,1996
aut,7045,1997
aut,7110,1998
aut,7458,1999
aut,7617,2000
aut,7600,2001
aut,7691,2002
aut,7377,2003
aut,7864,2004
aut,7408,2005
aut,7738,2006
aut,7773,2007
aut,8262,2008
aze,3222,1990
aze,3196,1991
aze,2654,1992
aze,2548,1993
aze,2320,1994
aze,2234,1995
aze,2228,1996
aze,2183,1997
aze,2320,1998
aze,2342,1999
aze,2413,2000
aze,2441,2001
aze,2398,2002
aze,2718,2003
aze,2763,2004
aze,2891,2005
aze,3083,2006
aze,2725,2007
aze,2679,2008
bgd,75.76,1990
bgd,82.57,1991
bgd,85.4,1992
bgd,87.97,1993
bgd,94.74,1994
bgd,101.7,1995
bgd,105.7,1996
bgd,106,1997
bgd,111.8,1998
bgd,118.6,1999
bgd,120.9,2000
bgd,128.5,2001
bgd,137.5,2002
bgd,142.4,2003
bgd,151.9,2004
bgd,156.9,2005
bgd,165.1,2006
bgd,172.1,2007
bgd,179.1,2008
blr,3869,1990
blr,3781,1991
blr,3648,1992
blr,3221,1993
blr,3022,1994
blr,2395,1995
blr,2280,1996
blr,2509,1997
blr,2261,1998
blr,2552,1999
blr,2518,2000
blr,2419,2001
blr,2560,2002
blr,2580,2003
blr,3027,2004
blr,3006,2005
blr,3091,2006
blr,3092,2007
blr,3393,2008
bra,1475,1990
bra,1527,1991
bra,1550,1992
bra,1590,1993
bra,1615,1994
bra,1685,1995
bra,1754,1996
bra,1827,1997
bra,1882,1998
bra,1931,1999
bra,1987,2000
bra,1848,2001
bra,1921,2002
bra,2002,2003
bra,2105,2004
bra,2165,2005
bra,2230,2006
bra,2340,2007
bra,2368,2008
bgr,4738,1990
bgr,4436,1991
bgr,4113,1992
bgr,4501,1993
bgr,4565,1994
bgr,5062,1995
bgr,5234,1996
bgr,5296,1997
bgr,5227,1998
bgr,4837,1999
bgr,5235,2000
bgr,5682,2001
bgr,5573,2002
bgr,5614,2003
bgr,5536,2004
bgr,5955,2005
bgr,6207,2006
bgr,5891,2007
bgr,6194,2008
can,17340,1990
can,18060,1991
can,18260,1992
can,18400,1993
can,18990,1994
can,18890,1995
can,19110,1996
can,18930,1997
can,18340,1998
can,18640,1999
can,19340,2000
can,18430,2001
can,18210,2002
can,17630,2003
can,17730,2004
can,18210,2005
can,17890,2006
can,18080,2007
can,17780,2008
chl,1399,1990
chl,1483,1991
chl,1633,1992
chl,1692,1993
chl,1805,1994
chl,1883,1995
chl,2101,1996
chl,2229,1997
chl,2400,1998
chl,2563,1999
chl,2645,2000
chl,2775,2001
chl,2818,2002
chl,3114,2003
chl,3340,2004
chl,3409,2005
chl,3567,2006
chl,3693,2007
chl,3685,2008
chn,547.2,1990
chn,588.8,1991
chn,647.2,1992
chn,688.7,1993
chn,778.5,1994
chn,835.4,1995
chn,888.1,1996
chn,897.9,1997
chn,936.8,1998
chn,955.9,1999
chn,1074,2000
chn,1164,2001
chn,1292,2002
chn,1483,2003
chn,1700,2004
chn,1919,2005
chn,2186,2006
chn,2489,2007
chn,2588,2008
col,1077,1990
col,1094,1991
col,1052,1992
col,1155,1993
col,1218,1994
col,1249,1995
col,1214,1996
col,1219,1997
col,1201,1998
col,1138,1999
col,1066,2000
col,1073,2001
col,1117,2002
col,1131,2003
col,1148,2004
col,1148,2005
col,1201,2006
col,1212,2007
col,1213,2008
cze,6068,1990
cze,5874,1991
cze,5748,1992
cze,5702,1993
cze,5683,1994
cze,5894,1995
cze,6231,1996
cze,6271,1997
cze,6309,1998
cze,6293,1999
cze,7153,2000
cze,7274,2001
cze,7444,2002
cze,8119,2003
cze,8231,2004
cze,8063,2005
cze,8235,2006
cze,8611,2007
cze,8364,2008
dnk,5010,1990
dnk,7048,1991
dnk,5965,1992
dnk,6503,1993
dnk,7790,1994
dnk,6995,1995
dnk,10180,1996
dnk,8276,1997
dnk,7729,1998
dnk,7306,1999
dnk,6714,2000
dnk,7021,2001
dnk,7265,2002
dnk,8526,2003
dnk,7437,2004
dnk,6632,2005
dnk,8364,2006
dnk,7174,2007
dnk,6639,2008
ecu,615.3,1990
ecu,640.7,1991
ecu,669.5,1992
ecu,675,1993
ecu,726.6,1994
ecu,736.9,1995
ecu,828.5,1996
ecu,869.9,1997
ecu,897.1,1998
ecu,836.8,1999
ecu,848.6,2000
ecu,871.7,2001
ecu,924.4,2002
ecu,968.8,2003
ecu,1077,2004
ecu,1132,2005
ecu,1187,2006
ecu,1323,2007
ecu,1402,2008
egy,756,1990
egy,771.9,1991
egy,786.8,1992
egy,796.4,1993
egy,813.9,1994
egy,843.3,1995
egy,874.1,1996
egy,922.4,1997
egy,963.9,1998
egy,1024,1999
egy,1035,2000
egy,1116,2001
egy,1169,2002
egy,1225,2003
egy,1278,2004
egy,1342,2005
egy,1403,2006
egy,1482,2007
egy,1566,2008
fin,10830,1990
fin,11470,1991
fin,11360,1992
fin,11960,1993
fin,12790,1994
fin,12380,1995
fin,13550,1996
fin,13400,1997
fin,13610,1998
fin,13470,1999
fin,13530,2000
fin,14350,2001
fin,14490,2002
fin,16120,2003
fin,16430,2004
fin,13450,2005
fin,15700,2006
fin,15510,2007
fin,14710,2008
fra,7406,1990
fra,7970,1991
fra,8072,1992
fra,8196,1993
fra,8236,1994
fra,8494,1995
fra,8788,1996
fra,8600,1997
fra,8679,1998
fra,8856,1999
fra,9107,2000
fra,9216,2001
fra,9332,2002
fra,9420,2003
fra,9504,2004
fra,9499,2005
fra,9439,2006
fra,9328,2007
fra,9373,2008
deu,6927,1990
deu,6744,1991
deu,6664,1992
deu,6480,1993
deu,6488,1994
deu,6549,1995
deu,6720,1996
deu,6703,1997
deu,6747,1998
deu,6761,1999
deu,6868,2000
deu,7123,2001
deu,7124,2002
deu,7373,2003
deu,7473,2004
deu,7525,2005
deu,7726,2006
deu,7738,2007
deu,7759,2008
grc,3456,1990
grc,3494,1991
grc,3623,1992
grc,3698,1993
grc,3895,1994
grc,3973,1995
grc,4061,1996
grc,4142,1997
grc,4404,1998
grc,4709,1999
grc,5099,2000
grc,5075,2001
grc,5150,2002
grc,5503,2003
grc,5574,2004
grc,5626,2005
grc,5688,2006
grc,5907,2007
grc,5795,2008
hkg,5091,1990
hkg,5544,1991
hkg,6017,1992
hkg,6057,1993
hkg,4407,1994
hkg,4484,1995
hkg,4450,1996
hkg,4456,1997
hkg,4757,1998
hkg,4470,1999
hkg,4705,2000
hkg,4831,2001
hkg,5074,2002
hkg,5214,2003
hkg,5416,2004
hkg,5573,2005
hkg,5563,2006
hkg,5580,2007
hkg,5413,2008
hun,2739,1990
hun,2892,1991
hun,3055,1992
hun,3174,1993
hun,3250,1994
hun,3304,1995
hun,3417,1996
hun,3455,1997
hun,3642,1998
hun,3652,1999
hun,3471,2000
hun,3602,2001
hun,3586,2002
hun,3395,2003
hun,3360,2004
hun,3573,2005
hun,3593,2006
hun,4014,2007
hun,4028,2008
isl,17710,1990
isl,17500,1991
isl,17550,1992
isl,18090,1993
isl,17960,1994
isl,18600,1995
isl,19010,1996
isl,20580,1997
isl,22900,1998
isl,25910,1999
isl,27320,2000
isl,28190,2001
isl,29200,2002
isl,29190,2003
isl,29320,2004
isl,29250,2005
isl,31890,2006
isl,39660,2007
isl,54100,2008
ind,352.8,1990
ind,373.7,1991
ind,388.3,1992
ind,408.1,1993
ind,433.6,1994
ind,456,1995
ind,470.8,1996
ind,493.8,1997
ind,519.8,1998
ind,547.1,1999
ind,561.1,2000
ind,570,2001
ind,585.7,2002
ind,611.1,2003
ind,632.6,2004
ind,656,2005
ind,693.6,2006
ind,728.4,2007
ind,741.3,2008
idn,186.8,1990
idn,207.4,1991
idn,221.9,1992
idn,236.2,1993
idn,270.2,1994
idn,302.4,1995
idn,338.7,1996
idn,383.8,1997
idn,383.3,1998
idn,413.3,1999
idn,449.1,2000
idn,487.2,2001
idn,512.7,2002
idn,526.5,2003
idn,556.4,2004
idn,583,2005
idn,602.3,2006
idn,637.1,2007
idn,668.4,2008
irn,1011,1990
irn,1063,1991
irn,1112,1992
irn,1230,1993
irn,1331,1994
irn,1369,1995
irn,1421,1996
irn,1531,1997
irn,1596,1998
irn,1696,1999
irn,1818,2000
irn,1929,2001
irn,2066,2002
irn,2169,2003
irn,2317,2004
irn,2494,2005
irn,2683,2006
irn,2823,2007
irn,2937,2008
irl,4137,1990
irl,4290,1991
irl,4500,1992
irl,4582,1993
irl,4763,1994
irl,4947,1995
irl,5275,1996
irl,5442,1997
irl,5685,1998
irl,5877,1999
irl,6324,2000
irl,6601,2001
irl,6350,2002
irl,6448,2003
irl,6441,2004
irl,6467,2005
irl,6656,2006
irl,6869,2007
irl,7158,2008
ita,3822,1990
ita,3913,1991
ita,3980,1992
ita,3907,1993
ita,4054,1994
ita,4216,1995
ita,4262,1996
ita,4375,1997
ita,4514,1998
ita,4612,1999
ita,4793,2000
ita,4823,2001
ita,4910,2002
ita,5067,2003
ita,5224,2004
ita,5226,2005
ita,5403,2006
ita,5398,2007
ita,5467,2008
jpn,6808,1990
jpn,7026,1991
jpn,7049,1992
jpn,7117,1993
jpn,7549,1994
jpn,7728,1995
jpn,7874,1996
jpn,8055,1997
jpn,8078,1998
jpn,8196,1999
jpn,8350,2000
jpn,8194,2001
jpn,8329,2002
jpn,8510,2003
jpn,8700,2004
jpn,8897,2005
jpn,8942,2006
jpn,9101,2007
jpn,9059,2008
kaz,5329,1990
kaz,5210,1991
kaz,5028,1992
kaz,4734,1993
kaz,4127,1994
kaz,4203,1995
kaz,3743,1996
kaz,3358,1997
kaz,3266,1998
kaz,3136,1999
kaz,3435,2000
kaz,3694,2001
kaz,3893,2002
kaz,4227,2003
kaz,4420,2004
kaz,4473,2005
kaz,4705,2006
kaz,5013,2007
kaz,5214,2008
kor,2770,1990
kor,3052,1991
kor,3375,1992
kor,3690,1993
kor,4130,1994
kor,4531,1995
kor,4976,1996
kor,5385,1997
kor,5164,1998
kor,5680,1999
kor,6233,2000
kor,6582,2001
kor,7009,2002
kor,7310,2003
kor,7685,2004
kor,8154,2005
kor,8515,2006
kor,8971,2007
kor,9402,2008
kwt,8626,1990
kwt,11300,1991
kwt,11910,1992
kwt,13600,1993
kwt,14700,1994
kwt,14640,1995
kwt,15050,1996
kwt,15140,1997
kwt,16330,1998
kwt,16570,1999
kwt,16650,2000
kwt,17060,2001
kwt,17470,2002
kwt,18230,2003
kwt,18270,2004
kwt,18720,2005
kwt,19690,2006
kwt,19680,2007
kwt,20040,2008
ltu,7688,1990
ltu,7931,1991
ltu,5056,1992
ltu,3824,1993
ltu,2717,1994
ltu,3767,1995
ltu,4577,1996
ltu,4056,1997
ltu,4815,1998
ltu,3700,1999
ltu,3126,2000
ltu,4042,2001
ltu,4877,2002
ltu,5383,2003
ltu,5342,2004
ltu,4111,2005
ltu,3481,2006
ltu,3918,2007
ltu,3930,2008
mys,1443,1990
mys,1582,1991
mys,1741,1992
mys,1898,1993
mys,2088,1994
mys,2378,1995
mys,2635,1996
mys,2865,1997
mys,2892,1998
mys,2929,1999
mys,3060,2000
mys,3252,2001
mys,3324,2002
mys,3638,2003
mys,3854,2004
mys,4017,2005
mys,4135,2006
mys,4228,2007
mys,4211,2008
mex,1442,1990
mex,1466,1991
mex,1477,1992
mex,1504,1993
mex,1598,1994
mex,1642,1995
mex,1722,1996
mex,1826,1997
mex,1868,1998
mex,1950,1999
mex,2045,2000
mex,2071,2001
mex,2089,2002
mex,2092,2003
mex,2115,2004
mex,2195,2005
mex,2279,2006
mex,2334,2007
mex,2335,2008
nld,4807,1990
nld,4928,1991
nld,5088,1992
nld,5040,1993
nld,5178,1994
nld,5243,1995
nld,5477,1996
nld,5548,1997
nld,5786,1998
nld,5485,1999
nld,5624,2000
nld,5851,2001
nld,5972,2002
nld,5961,2003
nld,6278,2004
nld,6121,2005
nld,5993,2006
nld,6346,2007
nld,6464,2008
nzl,9569,1990
nzl,9818,1991
nzl,9520,1992
nzl,9810,1993
nzl,9929,1994
nzl,10090,1995
nzl,10050,1996
nzl,10110,1997
nzl,10020,1998
nzl,10020,1999
nzl,10280,2000
nzl,10270,2001
nzl,10400,2002
nzl,10330,2003
nzl,10640,2004
nzl,10650,2005
nzl,10700,2006
nzl,10630,2007
nzl,10530,2008
nor,28720,1990
nor,26050,1991
nor,27410,1992
nor,27850,1993
nor,26170,1994
nor,28260,1995
nor,23910,1996
nor,25340,1997
nor,26390,1998
nor,27480,1999
nor,31830,2000
nor,27000,2001
nor,28790,2002
nor,23550,2003
nor,24180,2004
nor,30060,2005
nor,26390,2006
nor,29760,2007
nor,30720,2008
pak,401.3,1990
pak,426.8,1991
pak,446.2,1992
pak,465.5,1993
pak,461.6,1994
pak,495.4,1995
pak,511.3,1996
pak,460.9,1997
pak,477.6,1998
pak,458.4,1999
pak,441.8,2000
pak,499.7,2001
pak,532.2,2002
pak,541.1,2003
pak,556.9,2004
pak,536.3,2005
pak,580.4,2006
pak,583.6,2007
pak,550.6,2008
per,641.9,1990
per,659.3,1991
per,585,1992
per,646.6,1993
per,678.8,1994
per,677,1995
per,711,1996
per,725.4,1997
per,738.2,1998
per,744.7,1999
per,766.8,2000
per,788,2001
per,821.2,2002
per,844,2003
per,881,2004
per,913.5,2005
per,967,2006
per,1044,2007
per,1123,2008
phl,409.3,1990
phl,389.9,1991
phl,385.1,1992
phl,387.4,1993
phl,434.4,1994
phl,467.9,1995
phl,500.2,1996
phl,530.5,1997
phl,543,1998
phl,530.3,1999
phl,568,2000
phl,578.2,2001
phl,584,2002
phl,625.6,2003
phl,648.8,2004
phl,643.9,2005
phl,634.7,2006
phl,654.5,2007
phl,643.2,2008
pol,3577,1990
pol,3522,1991
pol,3459,1992
pol,3480,1993
pol,3511,1994
pol,3601,1995
pol,3706,1996
pol,3693,1997
pol,3692,1998
pol,3676,1999
pol,3756,2000
pol,3769,2001
pol,3731,2002
pol,3928,2003
pol,3996,2004
pol,4070,2005
pol,4197,2006
pol,4137,2007
pol,4016,2008
prt,2872,1990
prt,3011,1991
prt,3031,1992
prt,3131,1993
prt,3129,1994
prt,3305,1995
prt,3418,1996
prt,3368,1997
prt,3813,1998
prt,4209,1999
prt,4234,2000
prt,4478,2001
prt,4419,2002
prt,4471,2003
prt,4286,2004
prt,4409,2005
prt,4624,2006
prt,4458,2007
prt,4319,2008
qat,10060,1990
qat,9254,1991
qat,9790,1992
qat,9982,1993
qat,9994,1994
qat,9807,1995
qat,10330,1996
qat,10350,1997
qat,11770,1998
qat,12430,1999
qat,12270,2000
qat,12940,2001
qat,13790,2002
qat,14700,2003
qat,15750,2004
qat,16680,2005
qat,17310,2006
qat,19290,2007
qat,21220,2008
