new_births_total_number_estimated,geo,time
17590,btn,1994
17170,btn,1995
16800,btn,1996
16460,btn,1997
16150,btn,1998
15870,btn,1999
15620,btn,2000
15430,btn,2001
15290,btn,2002
15200,btn,2003
15150,btn,2004
15100,btn,2005
15040,btn,2006
14930,btn,2007
14770,btn,2008
14560,btn,2009
14310,btn,2010
14070,btn,2011
13850,btn,2012
13680,btn,2013
13560,btn,2014
13490,btn,2015
49320,bol,1800
49320,bol,1801
49320,bol,1802
49320,bol,1803
49320,bol,1804
49320,bol,1805
49320,bol,1806
49320,bol,1807
49320,bol,1808
49320,bol,1809
49320,bol,1810
49340,bol,1811
49370,bol,1812
49430,bol,1813
49500,bol,1814
49580,bol,1815
49690,bol,1816
49820,bol,1817
49960,bol,1818
50120,bol,1819
50300,bol,1820
50500,bol,1821
50720,bol,1822
50960,bol,1823
51220,bol,1824
51490,bol,1825
51790,bol,1826
52100,bol,1827
52440,bol,1828
52790,bol,1829
53170,bol,1830
53560,bol,1831
53960,bol,1832
54360,bol,1833
54770,bol,1834
55180,bol,1835
55590,bol,1836
56000,bol,1837
56420,bol,1838
56840,bol,1839
57260,bol,1840
57680,bol,1841
58090,bol,1842
58490,bol,1843
58890,bol,1844
59280,bol,1845
59660,bol,1846
60040,bol,1847
60410,bol,1848
60780,bol,1849
61130,bol,1850
61570,bol,1851
62000,bol,1852
62420,bol,1853
62840,bol,1854
63250,bol,1855
63650,bol,1856
64050,bol,1857
64440,bol,1858
64820,bol,1859
65200,bol,1860
65560,bol,1861
65930,bol,1862
66300,bol,1863
66680,bol,1864
67050,bol,1865
67430,bol,1866
67810,bol,1867
68190,bol,1868
68570,bol,1869
68960,bol,1870
69350,bol,1871
69730,bol,1872
70120,bol,1873
70510,bol,1874
70910,bol,1875
71310,bol,1876
71700,bol,1877
72100,bol,1878
72500,bol,1879
72910,bol,1880
73310,bol,1881
73720,bol,1882
74140,bol,1883
74540,bol,1884
74960,bol,1885
75380,bol,1886
75800,bol,1887
76220,bol,1888
76640,bol,1889
77070,bol,1890
77500,bol,1891
77930,bol,1892
78360,bol,1893
78800,bol,1894
79240,bol,1895
79710,bol,1896
80200,bol,1897
80740,bol,1898
81300,bol,1899
82190,bol,1900
82820,bol,1901
83410,bol,1902
84120,bol,1903
84870,bol,1904
85660,bol,1905
86460,bol,1906
87250,bol,1907
88070,bol,1908
88890,bol,1909
89720,bol,1910
90540,bol,1911
91380,bol,1912
92550,bol,1913
94060,bol,1914
95900,bol,1915
97800,bol,1916
99720,bol,1917
101500,bol,1918
103400,bol,1919
105000,bol,1920
106500,bol,1921
107700,bol,1922
109000,bol,1923
110200,bol,1924
111500,bol,1925
112800,bol,1926
114100,bol,1927
115400,bol,1928
116800,bol,1929
118200,bol,1930
119700,bol,1931
121100,bol,1932
122600,bol,1933
124000,bol,1934
125500,bol,1935
126900,bol,1936
128400,bol,1937
129900,bol,1938
131300,bol,1939
132800,bol,1940
134200,bol,1941
135700,bol,1942
137100,bol,1943
138600,bol,1944
140000,bol,1945
141500,bol,1946
142900,bol,1947
144400,bol,1948
145800,bol,1949
147300,bol,1950
148100,bol,1951
149600,bol,1952
151300,bol,1953
153000,bol,1954
154800,bol,1955
156600,bol,1956
158500,bol,1957
160500,bol,1958
162600,bol,1959
164700,bol,1960
166900,bol,1961
169200,bol,1962
171600,bol,1963
174000,bol,1964
176500,bol,1965
179200,bol,1966
181900,bol,1967
184700,bol,1968
187600,bol,1969
190700,bol,1970
194000,bol,1971
197500,bol,1972
201100,bol,1973
204900,bol,1974
208700,bol,1975
212500,bol,1976
216100,bol,1977
219600,bol,1978
222800,bol,1979
225700,bol,1980
228200,bol,1981
230400,bol,1982
232300,bol,1983
234000,bol,1984
235600,bol,1985
237000,bol,1986
238500,bol,1987
239900,bol,1988
241400,bol,1989
243100,bol,1990
244900,bol,1991
246800,bol,1992
248700,bol,1993
250600,bol,1994
252400,bol,1995
254100,bol,1996
255500,bol,1997
256600,bol,1998
257300,bol,1999
257800,bol,2000
258000,bol,2001
257900,bol,2002
257600,bol,2003
257300,bol,2004
256800,bol,2005
256200,bol,2006
255400,bol,2007
254600,bol,2008
253700,bol,2009
253000,bol,2010
252400,bol,2011
252200,bol,2012
252200,bol,2013
252600,bol,2014
253200,bol,2015
35110,bih,1800
35110,bih,1801
35110,bih,1802
35110,bih,1803
35110,bih,1804
35110,bih,1805
35110,bih,1806
35110,bih,1807
35110,bih,1808
35110,bih,1809
35110,bih,1810
35130,bih,1811
35160,bih,1812
35200,bih,1813
35260,bih,1814
35340,bih,1815
35420,bih,1816
35530,bih,1817
35650,bih,1818
35790,bih,1819
35940,bih,1820
36110,bih,1821
36300,bih,1822
36500,bih,1823
36720,bih,1824
36950,bih,1825
37200,bih,1826
37470,bih,1827
37760,bih,1828
38060,bih,1829
38380,bih,1830
38720,bih,1831
39060,bih,1832
39400,bih,1833
39750,bih,1834
40100,bih,1835
40450,bih,1836
40810,bih,1837
41170,bih,1838
41530,bih,1839
41900,bih,1840
42260,bih,1841
42640,bih,1842
43010,bih,1843
43390,bih,1844
43770,bih,1845
44160,bih,1846
44550,bih,1847
44940,bih,1848
45330,bih,1849
45730,bih,1850
45850,bih,1851
45960,bih,1852
46000,bih,1853
46110,bih,1854
46220,bih,1855
46330,bih,1856
46360,bih,1857
46460,bih,1858
46560,bih,1859
46660,bih,1860
46680,bih,1861
46780,bih,1862
47190,bih,1863
47520,bih,1864
47930,bih,1865
48270,bih,1866
48690,bih,1867
49120,bih,1868
49460,bih,1869
49900,bih,1870
50250,bih,1871
50690,bih,1872
51030,bih,1873
51480,bih,1874
51930,bih,1875
52290,bih,1876
52740,bih,1877
53110,bih,1878
53570,bih,1879
54040,bih,1880
54410,bih,1881
54880,bih,1882
55270,bih,1883
55740,bih,1884
56130,bih,1885
56620,bih,1886
57110,bih,1887
57510,bih,1888
58010,bih,1889
58420,bih,1890
58930,bih,1891
59440,bih,1892
59860,bih,1893
60380,bih,1894
60810,bih,1895
61340,bih,1896
61770,bih,1897
62310,bih,1898
62850,bih,1899
63290,bih,1900
63840,bih,1901
64280,bih,1902
64840,bih,1903
65410,bih,1904
65870,bih,1905
66440,bih,1906
66900,bih,1907
67480,bih,1908
67950,bih,1909
68550,bih,1910
69140,bih,1911
69620,bih,1912
70230,bih,1913
70850,bih,1914
71340,bih,1915
71960,bih,1916
72590,bih,1917
73110,bih,1918
73750,bih,1919
74400,bih,1920
74920,bih,1921
75580,bih,1922
76250,bih,1923
76780,bih,1924
77460,bih,1925
78010,bih,1926
78690,bih,1927
79380,bih,1928
79940,bih,1929
81300,bih,1930
82660,bih,1931
84020,bih,1932
85380,bih,1933
86740,bih,1934
88100,bih,1935
89460,bih,1936
90820,bih,1937
92180,bih,1938
93530,bih,1939
94890,bih,1940
96250,bih,1941
97610,bih,1942
98970,bih,1943
100300,bih,1944
101700,bih,1945
103000,bih,1946
104400,bih,1947
105800,bih,1948
107100,bih,1949
108500,bih,1950
107200,bih,1951
104800,bih,1952
102900,bih,1953
101500,bih,1954
100600,bih,1955
100100,bih,1956
100100,bih,1957
100400,bih,1958
100800,bih,1959
101200,bih,1960
101400,bih,1961
101200,bih,1962
100400,bih,1963
99160,bih,1964
97470,bih,1965
95560,bih,1966
93660,bih,1967
91940,bih,1968
90460,bih,1969
89110,bih,1970
87720,bih,1971
86130,bih,1972
84260,bih,1973
82180,bih,1974
80110,bih,1975
78340,bih,1976
77090,bih,1977
76480,bih,1978
76480,bih,1979
76950,bih,1980
77680,bih,1981
78340,bih,1982
78660,bih,1983
78480,bih,1984
77620,bih,1985
75980,bih,1986
73680,bih,1987
70850,bih,1988
67620,bih,1989
64190,bih,1990
60770,bih,1991
57550,bih,1992
54650,bih,1993
52120,bih,1994
49890,bih,1995
47780,bih,1996
45620,bih,1997
43310,bih,1998
40890,bih,1999
38520,bih,2000
36440,bih,2001
34840,bih,2002
33840,bih,2003
33440,bih,2004
33560,bih,2005
34020,bih,2006
34620,bih,2007
35130,bih,2008
35460,bih,2009
35540,bih,2010
35370,bih,2011
35040,bih,2012
34620,bih,2013
34130,bih,2014
33580,bih,2015
5418,bwa,1800
5418,bwa,1801
5418,bwa,1802
5418,bwa,1803
5418,bwa,1804
5418,bwa,1805
5418,bwa,1806
5418,bwa,1807
5418,bwa,1808
5418,bwa,1809
5418,bwa,1810
5418,bwa,1811
5418,bwa,1812
5418,bwa,1813
5418,bwa,1814
5418,bwa,1815
5418,bwa,1816
5418,bwa,1817
5418,bwa,1818
5418,bwa,1819
5418,bwa,1820
5418,bwa,1821
5425,bwa,1822
5425,bwa,1823
5425,bwa,1824
5425,bwa,1825
5425,bwa,1826
5425,bwa,1827
5425,bwa,1828
5425,bwa,1829
5425,bwa,1830
5425,bwa,1831
5425,bwa,1832
5425,bwa,1833
5425,bwa,1834
5425,bwa,1835
5425,bwa,1836
5425,bwa,1837
5425,bwa,1838
5425,bwa,1839
5425,bwa,1840
5425,bwa,1841
5425,bwa,1842
5425,bwa,1843
5425,bwa,1844
5425,bwa,1845
5425,bwa,1846
5425,bwa,1847
5425,bwa,1848
5425,bwa,1849
5425,bwa,1850
5427,bwa,1851
5428,bwa,1852
5429,bwa,1853
5431,bwa,1854
5432,bwa,1855
5433,bwa,1856
5435,bwa,1857
5444,bwa,1858
5445,bwa,1859
5446,bwa,1860
5448,bwa,1861
5449,bwa,1862
5450,bwa,1863
5452,bwa,1864
5453,bwa,1865
5454,bwa,1866
5456,bwa,1867
5457,bwa,1868
5458,bwa,1869
5460,bwa,1870
5461,bwa,1871
5463,bwa,1872
5464,bwa,1873
5465,bwa,1874
5467,bwa,1875
5468,bwa,1876
5469,bwa,1877
5471,bwa,1878
5472,bwa,1879
5473,bwa,1880
5475,bwa,1881
5476,bwa,1882
5477,bwa,1883
5479,bwa,1884
5480,bwa,1885
5481,bwa,1886
5483,bwa,1887
5484,bwa,1888
5485,bwa,1889
5487,bwa,1890
5488,bwa,1891
5489,bwa,1892
5499,bwa,1893
5500,bwa,1894
5501,bwa,1895
5503,bwa,1896
5504,bwa,1897
5505,bwa,1898
5507,bwa,1899
5510,bwa,1900
5516,bwa,1901
5519,bwa,1902
5529,bwa,1903
5542,bwa,1904
5558,bwa,1905
5577,bwa,1906
5595,bwa,1907
5622,bwa,1908
5650,bwa,1909
5696,bwa,1910
5735,bwa,1911
5824,bwa,1912
5944,bwa,1913
6067,bwa,1914
6193,bwa,1915
6321,bwa,1916
6451,bwa,1917
6583,bwa,1918
6717,bwa,1919
6854,bwa,1920
7034,bwa,1921
7259,bwa,1922
7532,bwa,1923
7815,bwa,1924
8108,bwa,1925
8413,bwa,1926
8729,bwa,1927
9056,bwa,1928
9397,bwa,1929
9880,bwa,1930
10360,bwa,1931
10850,bwa,1932
11330,bwa,1933
11810,bwa,1934
12300,bwa,1935
12780,bwa,1936
13260,bwa,1937
13750,bwa,1938
14230,bwa,1939
14710,bwa,1940
15200,bwa,1941
15680,bwa,1942
16160,bwa,1943
16650,bwa,1944
17130,bwa,1945
17610,bwa,1946
18100,bwa,1947
18580,bwa,1948
19060,bwa,1949
19550,bwa,1950
19850,bwa,1951
20440,bwa,1952
21020,bwa,1953
21590,bwa,1954
22130,bwa,1955
22660,bwa,1956
23180,bwa,1957
23690,bwa,1958
24200,bwa,1959
24720,bwa,1960
25250,bwa,1961
25800,bwa,1962
26400,bwa,1963
27040,bwa,1964
27720,bwa,1965
28460,bwa,1966
29230,bwa,1967
30050,bwa,1968
30920,bwa,1969
31840,bwa,1970
32850,bwa,1971
33940,bwa,1972
35110,bwa,1973
36340,bwa,1974
37630,bwa,1975
38960,bwa,1976
40290,bwa,1977
41600,bwa,1978
42850,bwa,1979
44000,bwa,1980
45000,bwa,1981
45860,bwa,1982
46560,bwa,1983
47100,bwa,1984
47470,bwa,1985
47690,bwa,1986
47780,bwa,1987
47790,bwa,1988
47730,bwa,1989
47660,bwa,1990
47590,bwa,1991
47550,bwa,1992
47540,bwa,1993
47570,bwa,1994
47630,bwa,1995
47690,bwa,1996
47720,bwa,1997
47710,bwa,1998
47670,bwa,1999
47610,bwa,2000
47560,bwa,2001
47540,bwa,2002
47610,bwa,2003
47780,bwa,2004
48100,bwa,2005
48650,bwa,2006
49400,bwa,2007
50330,bwa,2008
51380,bwa,2009
52470,bwa,2010
53490,bwa,2011
54350,bwa,2012
54980,bwa,2013
55350,bwa,2014
55460,bwa,2015
158100,bra,1800
159800,bra,1801
161500,bra,1802
163300,bra,1803
165000,bra,1804
166800,bra,1805
168600,bra,1806
170400,bra,1807
172200,bra,1808
174100,bra,1809
176300,bra,1810
178300,bra,1811
180300,bra,1812
182300,bra,1813
184500,bra,1814
186700,bra,1815
189000,bra,1816
191400,bra,1817
193900,bra,1818
196400,bra,1819
199100,bra,1820
201800,bra,1821
204600,bra,1822
207500,bra,1823
210400,bra,1824
213500,bra,1825
216700,bra,1826
219900,bra,1827
223300,bra,1828
226700,bra,1829
230300,bra,1830
233900,bra,1831
237700,bra,1832
241400,bra,1833
245300,bra,1834
249200,bra,1835
253100,bra,1836
257200,bra,1837
261300,bra,1838
265400,bra,1839
269600,bra,1840
273900,bra,1841
278200,bra,1842
282600,bra,1843
287100,bra,1844
291600,bra,1845
296200,bra,1846
300800,bra,1847
305500,bra,1848
310300,bra,1849
315100,bra,1850
320100,bra,1851
325100,bra,1852
330200,bra,1853
335300,bra,1854
340500,bra,1855
345800,bra,1856
351200,bra,1857
356700,bra,1858
362200,bra,1859
367800,bra,1860
373500,bra,1861
379400,bra,1862
385500,bra,1863
391700,bra,1864
398100,bra,1865
404700,bra,1866
411500,bra,1867
418400,bra,1868
425500,bra,1869
432900,bra,1870
440400,bra,1871
448100,bra,1872
455200,bra,1873
463400,bra,1874
471800,bra,1875
481100,bra,1876
489300,bra,1877
499100,bra,1878
509300,bra,1879
518900,bra,1880
569000,bra,1881
578900,bra,1882
588900,bra,1883
598600,bra,1884
609200,bra,1885
620300,bra,1886
630800,bra,1887
642700,bra,1888
655100,bra,1889
668000,bra,1890
681600,bra,1891
695700,bra,1892
710500,bra,1893
725800,bra,1894
741800,bra,1895
752500,bra,1896
763000,bra,1897
773500,bra,1898
783800,bra,1899
794000,bra,1900
804000,bra,1901
813700,bra,1902
834100,bra,1903
854700,bra,1904
875600,bra,1905
896900,bra,1906
917800,bra,1907
940000,bra,1908
962900,bra,1909
986200,bra,1910
1007000,bra,1911
1028000,bra,1912
1050000,bra,1913
1073000,bra,1914
1096000,bra,1915
1119000,bra,1916
1143000,bra,1917
1167000,bra,1918
1192000,bra,1919
1217000,bra,1920
1242000,bra,1921
1268000,bra,1922
1294000,bra,1923
1320000,bra,1924
1347000,bra,1925
1375000,bra,1926
1403000,bra,1927
1432000,bra,1928
1461000,bra,1929
1509000,bra,1930
1557000,bra,1931
1605000,bra,1932
1653000,bra,1933
1701000,bra,1934
1749000,bra,1935
1796000,bra,1936
1844000,bra,1937
1892000,bra,1938
1940000,bra,1939
1988000,bra,1940
2036000,bra,1941
2084000,bra,1942
2132000,bra,1943
2180000,bra,1944
2227000,bra,1945
2275000,bra,1946
2323000,bra,1947
2371000,bra,1948
2419000,bra,1949
2467000,bra,1950
2491000,bra,1951
2544000,bra,1952
2603000,bra,1953
2668000,bra,1954
2739000,bra,1955
2817000,bra,1956
2898000,bra,1957
2982000,bra,1958
3065000,bra,1959
3144000,bra,1960
3213000,bra,1961
3269000,bra,1962
3311000,bra,1963
3337000,bra,1964
3351000,bra,1965
3355000,bra,1966
3356000,bra,1967
3358000,bra,1968
3366000,bra,1969
3383000,bra,1970
3412000,bra,1971
3451000,bra,1972
3500000,bra,1973
3556000,bra,1974
3619000,bra,1975
3688000,bra,1976
3758000,bra,1977
3826000,bra,1978
3888000,bra,1979
3938000,bra,1980
3972000,bra,1981
3989000,bra,1982
3987000,bra,1983
3968000,bra,1984
3933000,bra,1985
3883000,bra,1986
3824000,bra,1987
3761000,bra,1988
3699000,bra,1989
3646000,bra,1990
3605000,bra,1991
3580000,bra,1992
3569000,bra,1993
3573000,bra,1994
3589000,bra,1995
3614000,bra,1996
3640000,bra,1997
3663000,bra,1998
3677000,bra,1999
3676000,bra,2000
3654000,bra,2001
3613000,bra,2002
3553000,bra,2003
3480000,bra,2004
3398000,bra,2005
3315000,bra,2006
3241000,bra,2007
3179000,bra,2008
3132000,bra,2009
3100000,bra,2010
3080000,bra,2011
3066000,bra,2012
3051000,bra,2013
3035000,bra,2014
3016000,bra,2015
103,brn,1800
103,brn,1801
103,brn,1802
103,brn,1803
103,brn,1804
103,brn,1805
103,brn,1806
103,brn,1807
103,brn,1808
103,brn,1809
103,brn,1810
103,brn,1811
104,brn,1812
104,brn,1813
104,brn,1814
105,brn,1815
105,brn,1816
106,brn,1817
107,brn,1818
108,brn,1819
109,brn,1820
110,brn,1821
112,brn,1822
113,brn,1823
115,brn,1824
117,brn,1825
119,brn,1826
121,brn,1827
123,brn,1828
125,brn,1829
128,brn,1830
130,brn,1831
133,brn,1832
136,brn,1833
139,brn,1834
141,brn,1835
144,brn,1836
147,brn,1837
150,brn,1838
154,brn,1839
157,brn,1840
160,brn,1841
163,brn,1842
167,brn,1843
170,brn,1844
174,brn,1845
177,brn,1846
181,brn,1847
185,brn,1848
189,brn,1849
192,brn,1850
196,brn,1851
200,brn,1852
205,brn,1853
209,brn,1854
213,brn,1855
218,brn,1856
222,brn,1857
227,brn,1858
231,brn,1859
236,brn,1860
241,brn,1861
246,brn,1862
252,brn,1863
258,brn,1864
264,brn,1865
271,brn,1866
277,brn,1867
285,brn,1868
292,brn,1869
300,brn,1870
308,brn,1871
317,brn,1872
324,brn,1873
334,brn,1874
344,brn,1875
354,brn,1876
364,brn,1877
376,brn,1878
388,brn,1879
400,brn,1880
412,brn,1881
425,brn,1882
439,brn,1883
452,brn,1884
467,brn,1885
482,brn,1886
497,brn,1887
513,brn,1888
530,brn,1889
547,brn,1890
565,brn,1891
583,brn,1892
602,brn,1893
621,brn,1894
641,brn,1895
662,brn,1896
684,brn,1897
706,brn,1898
729,brn,1899
752,brn,1900
777,brn,1901
801,brn,1902
827,brn,1903
853,brn,1904
881,brn,1905
910,brn,1906
937,brn,1907
967,brn,1908
999,brn,1909
1028,brn,1910
1058,brn,1911
1081,brn,1912
1099,brn,1913
1118,brn,1914
1137,brn,1915
1156,brn,1916
1175,brn,1917
1195,brn,1918
1215,brn,1919
1235,brn,1920
1255,brn,1921
1274,brn,1922
1293,brn,1923
1311,brn,1924
1330,brn,1925
1353,brn,1926
1376,brn,1927
1398,brn,1928
1421,brn,1929
1483,brn,1930
1545,brn,1931
1608,brn,1932
1670,brn,1933
1732,brn,1934
1794,brn,1935
1856,brn,1936
1919,brn,1937
1981,brn,1938
2043,brn,1939
2105,brn,1940
2167,brn,1941
2229,brn,1942
2292,brn,1943
2354,brn,1944
2416,brn,1945
2478,brn,1946
2540,brn,1947
2603,brn,1948
2665,brn,1949
2727,brn,1950
2727,brn,1951
2740,brn,1952
2775,brn,1953
2833,brn,1954
2913,brn,1955
3013,brn,1956
3131,brn,1957
3261,brn,1958
3396,brn,1959
3525,brn,1960
3640,brn,1961
3734,brn,1962
3805,brn,1963
3859,brn,1964
3913,brn,1965
3989,brn,1966
4105,brn,1967
4270,brn,1968
4485,brn,1969
4739,brn,1970
5018,brn,1971
5297,brn,1972
5557,brn,1973
5786,brn,1974
5973,brn,1975
6112,brn,1976
6211,brn,1977
6283,brn,1978
6336,brn,1979
6388,brn,1980
6459,brn,1981
6560,brn,1982
6698,brn,1983
6875,brn,1984
7085,brn,1985
7318,brn,1986
7557,brn,1987
7780,brn,1988
7976,brn,1989
8130,brn,1990
8233,brn,1991
8284,brn,1992
8285,brn,1993
8238,brn,1994
8142,brn,1995
7998,brn,1996
7818,brn,1997
7615,brn,1998
7405,brn,1999
7207,brn,2000
7041,brn,2001
6916,brn,2002
6837,brn,2003
6803,brn,2004
6807,brn,2005
6835,brn,2006
6869,brn,2007
6892,brn,2008
6898,brn,2009
6882,brn,2010
6846,brn,2011
6800,brn,2012
6748,brn,2013
6695,brn,2014
6639,brn,2015
72640,bgr,1800
72980,bgr,1801
73320,bgr,1802
73660,bgr,1803
74010,bgr,1804
74360,bgr,1805
74700,bgr,1806
75050,bgr,1807
75400,bgr,1808
75760,bgr,1809
76140,bgr,1810
76490,bgr,1811
76850,bgr,1812
77210,bgr,1813
77560,bgr,1814
77920,bgr,1815
78280,bgr,1816
78640,bgr,1817
79000,bgr,1818
79370,bgr,1819
79730,bgr,1820
80090,bgr,1821
80460,bgr,1822
80820,bgr,1823
81190,bgr,1824
81560,bgr,1825
81920,bgr,1826
82290,bgr,1827
82660,bgr,1828
83040,bgr,1829
83410,bgr,1830
83780,bgr,1831
84150,bgr,1832
84530,bgr,1833
84910,bgr,1834
85290,bgr,1835
85670,bgr,1836
86050,bgr,1837
86440,bgr,1838
86820,bgr,1839
87210,bgr,1840
87590,bgr,1841
87960,bgr,1842
88310,bgr,1843
88660,bgr,1844
88990,bgr,1845
89320,bgr,1846
89630,bgr,1847
89940,bgr,1848
90230,bgr,1849
90510,bgr,1850
90780,bgr,1851
91040,bgr,1852
91300,bgr,1853
91530,bgr,1854
91760,bgr,1855
91980,bgr,1856
92180,bgr,1857
92380,bgr,1858
92560,bgr,1859
92730,bgr,1860
92940,bgr,1861
93220,bgr,1862
93550,bgr,1863
93950,bgr,1864
94400,bgr,1865
94920,bgr,1866
95500,bgr,1867
96140,bgr,1868
96860,bgr,1869
97630,bgr,1870
98480,bgr,1871
99390,bgr,1872
100000,bgr,1873
101100,bgr,1874
102300,bgr,1875
101500,bgr,1876
100800,bgr,1877
100200,bgr,1878
99540,bgr,1879
98900,bgr,1880
102300,bgr,1881
113000,bgr,1882
120300,bgr,1883
121900,bgr,1884
120800,bgr,1885
106300,bgr,1886
126900,bgr,1887
126500,bgr,1888
124900,bgr,1889
121200,bgr,1890
137000,bgr,1891
128100,bgr,1892
126400,bgr,1893
139200,bgr,1894
151400,bgr,1895
156200,bgr,1896
162700,bgr,1897
153000,bgr,1898
160300,bgr,1899
168900,bgr,1900
172100,bgr,1901
175400,bgr,1902
178700,bgr,1903
182000,bgr,1904
185200,bgr,1905
185700,bgr,1906
186100,bgr,1907
186500,bgr,1908
187000,bgr,1909
187600,bgr,1910
189000,bgr,1911
190600,bgr,1912
192000,bgr,1913
193100,bgr,1914
193900,bgr,1915
195600,bgr,1916
197300,bgr,1917
199100,bgr,1918
200800,bgr,1919
202900,bgr,1920
203000,bgr,1921
203600,bgr,1922
204600,bgr,1923
205600,bgr,1924
206500,bgr,1925
204200,bgr,1926
201200,bgr,1927
197600,bgr,1928
193600,bgr,1929
192300,bgr,1930
190900,bgr,1931
189600,bgr,1932
188200,bgr,1933
186900,bgr,1934
185600,bgr,1935
184200,bgr,1936
182900,bgr,1937
181500,bgr,1938
180200,bgr,1939
178900,bgr,1940
177500,bgr,1941
176200,bgr,1942
174800,bgr,1943
173500,bgr,1944
172200,bgr,1945
170800,bgr,1946
169500,bgr,1947
168100,bgr,1948
166800,bgr,1949
165500,bgr,1950
163400,bgr,1951
159400,bgr,1952
155600,bgr,1953
152200,bgr,1954
149100,bgr,1955
146200,bgr,1956
143600,bgr,1957
141300,bgr,1958
139300,bgr,1959
137500,bgr,1960
136000,bgr,1961
134700,bgr,1962
133600,bgr,1963
132700,bgr,1964
132200,bgr,1965
132100,bgr,1966
132300,bgr,1967
133000,bgr,1968
133900,bgr,1969
135100,bgr,1970
136500,bgr,1971
137900,bgr,1972
139100,bgr,1973
140100,bgr,1974
140600,bgr,1975
140300,bgr,1976
139300,bgr,1977
137600,bgr,1978
135200,bgr,1979
132500,bgr,1980
129700,bgr,1981
127200,bgr,1982
125000,bgr,1983
123000,bgr,1984
121300,bgr,1985
119300,bgr,1986
116800,bgr,1987
113500,bgr,1988
109500,bgr,1989
104700,bgr,1990
99230,bgr,1991
93460,bgr,1992
87690,bgr,1993
82180,bgr,1994
77210,bgr,1995
73000,bgr,1996
69630,bgr,1997
67130,bgr,1998
65530,bgr,1999
64880,bgr,2000
65160,bgr,2001
66180,bgr,2002
67690,bgr,2003
69450,bgr,2004
71170,bgr,2005
72540,bgr,2006
73420,bgr,2007
73730,bgr,2008
73420,bgr,2009
72590,bgr,2010
71430,bgr,2011
70210,bgr,2012
69120,bgr,2013
68250,bgr,2014
67580,bgr,2015
69920,bfa,1800
69920,bfa,1801
69920,bfa,1802
69920,bfa,1803
69920,bfa,1804
69920,bfa,1805
69920,bfa,1806
69920,bfa,1807
70020,bfa,1808
70020,bfa,1809
70020,bfa,1810
70050,bfa,1811
70100,bfa,1812
70170,bfa,1813
70270,bfa,1814
70390,bfa,1815
70540,bfa,1816
70710,bfa,1817
70910,bfa,1818
71140,bfa,1819
71390,bfa,1820
71670,bfa,1821
71970,bfa,1822
72300,bfa,1823
72770,bfa,1824
73150,bfa,1825
73560,bfa,1826
74000,bfa,1827
74470,bfa,1828
74970,bfa,1829
75490,bfa,1830
76040,bfa,1831
76590,bfa,1832
77150,bfa,1833
77720,bfa,1834
78280,bfa,1835
78850,bfa,1836
79430,bfa,1837
80010,bfa,1838
80590,bfa,1839
81300,bfa,1840
81900,bfa,1841
82490,bfa,1842
83090,bfa,1843
83700,bfa,1844
84310,bfa,1845
84930,bfa,1846
85540,bfa,1847
86170,bfa,1848
86800,bfa,1849
87430,bfa,1850
88070,bfa,1851
88710,bfa,1852
89360,bfa,1853
90010,bfa,1854
90800,bfa,1855
91460,bfa,1856
92120,bfa,1857
92800,bfa,1858
93470,bfa,1859
94150,bfa,1860
94840,bfa,1861
95530,bfa,1862
96220,bfa,1863
96920,bfa,1864
97630,bfa,1865
98340,bfa,1866
99060,bfa,1867
99780,bfa,1868
100500,bfa,1869
101200,bfa,1870
102100,bfa,1871
102900,bfa,1872
103600,bfa,1873
104400,bfa,1874
105100,bfa,1875
105900,bfa,1876
106600,bfa,1877
107400,bfa,1878
108200,bfa,1879
109000,bfa,1880
109800,bfa,1881
110600,bfa,1882
111400,bfa,1883
112200,bfa,1884
113000,bfa,1885
114000,bfa,1886
114800,bfa,1887
115600,bfa,1888
116500,bfa,1889
117300,bfa,1890
118200,bfa,1891
119000,bfa,1892
119900,bfa,1893
120800,bfa,1894
121700,bfa,1895
122500,bfa,1896
123400,bfa,1897
124300,bfa,1898
125200,bfa,1899
126100,bfa,1900
127100,bfa,1901
128200,bfa,1902
129100,bfa,1903
130000,bfa,1904
131000,bfa,1905
131900,bfa,1906
132900,bfa,1907
133900,bfa,1908
134800,bfa,1909
135800,bfa,1910
136800,bfa,1911
137800,bfa,1912
138800,bfa,1913
139800,bfa,1914
140800,bfa,1915
141900,bfa,1916
142900,bfa,1917
144100,bfa,1918
145200,bfa,1919
146300,bfa,1920
147300,bfa,1921
148400,bfa,1922
149500,bfa,1923
150600,bfa,1924
151700,bfa,1925
152800,bfa,1926
153700,bfa,1927
154800,bfa,1928
155900,bfa,1929
158100,bfa,1930
160300,bfa,1931
162500,bfa,1932
164700,bfa,1933
166900,bfa,1934
169100,bfa,1935
171300,bfa,1936
173500,bfa,1937
175700,bfa,1938
177900,bfa,1939
180100,bfa,1940
182300,bfa,1941
184500,bfa,1942
186700,bfa,1943
188800,bfa,1944
191000,bfa,1945
193200,bfa,1946
195400,bfa,1947
197600,bfa,1948
199800,bfa,1949
202000,bfa,1950
203400,bfa,1951
206200,bfa,1952
208900,bfa,1953
211600,bfa,1954
214300,bfa,1955
217000,bfa,1956
219700,bfa,1957
222400,bfa,1958
225100,bfa,1959
228000,bfa,1960
231100,bfa,1961
234300,bfa,1962
237800,bfa,1963
241600,bfa,1964
245600,bfa,1965
249700,bfa,1966
253900,bfa,1967
258100,bfa,1968
