new_births_total_number_estimated,geo,time
24650,alb,1891
24900,alb,1892
25160,alb,1893
25410,alb,1894
25670,alb,1895
25930,alb,1896
26190,alb,1897
26460,alb,1898
26720,alb,1899
26980,alb,1900
27250,alb,1901
27510,alb,1902
27780,alb,1903
28040,alb,1904
28300,alb,1905
28570,alb,1906
28830,alb,1907
29100,alb,1908
29380,alb,1909
29650,alb,1910
29930,alb,1911
30220,alb,1912
30470,alb,1913
30690,alb,1914
30860,alb,1915
31040,alb,1916
31220,alb,1917
31390,alb,1918
31550,alb,1919
31720,alb,1920
31890,alb,1921
32060,alb,1922
32230,alb,1923
32390,alb,1924
32560,alb,1925
31600,alb,1926
30690,alb,1927
29700,alb,1928
28700,alb,1929
29620,alb,1930
30540,alb,1931
31460,alb,1932
32380,alb,1933
33300,alb,1934
34220,alb,1935
35140,alb,1936
36060,alb,1937
36980,alb,1938
37900,alb,1939
38820,alb,1940
39740,alb,1941
40660,alb,1942
41580,alb,1943
42500,alb,1944
43420,alb,1945
44340,alb,1946
45260,alb,1947
46180,alb,1948
47100,alb,1949
48020,alb,1950
49300,alb,1951
51810,alb,1952
54210,alb,1953
56500,alb,1954
58670,alb,1955
60720,alb,1956
62620,alb,1957
64380,alb,1958
65920,alb,1959
67210,alb,1960
68210,alb,1961
68890,alb,1962
69250,alb,1963
69320,alb,1964
69180,alb,1965
68940,alb,1966
68700,alb,1967
68520,alb,1968
68480,alb,1969
68560,alb,1970
68760,alb,1971
68990,alb,1972
69230,alb,1973
69470,alb,1974
69730,alb,1975
70030,alb,1976
70400,alb,1977
70870,alb,1978
71460,alb,1979
72220,alb,1980
73230,alb,1981
74470,alb,1982
75860,alb,1983
77300,alb,1984
78650,alb,1985
79730,alb,1986
80390,alb,1987
80530,alb,1988
80080,alb,1989
78990,alb,1990
77260,alb,1991
75020,alb,1992
72400,alb,1993
69500,alb,1994
66420,alb,1995
63240,alb,1996
60050,alb,1997
56900,alb,1998
53860,alb,1999
50950,alb,2000
48130,alb,2001
45350,alb,2002
42650,alb,2003
40110,alb,2004
37870,alb,2005
36120,alb,2006
34960,alb,2007
34420,alb,2008
34470,alb,2009
35020,alb,2010
35920,alb,2011
36970,alb,2012
37990,alb,2013
38870,alb,2014
39530,alb,2015
120300,dza,1800
120800,dza,1801
121200,dza,1802
121600,dza,1803
122100,dza,1804
122500,dza,1805
122900,dza,1806
123400,dza,1807
123800,dza,1808
124300,dza,1809
124800,dza,1810
125200,dza,1811
125700,dza,1812
126200,dza,1813
126800,dza,1814
127300,dza,1815
127900,dza,1816
128500,dza,1817
129100,dza,1818
129800,dza,1819
130400,dza,1820
131100,dza,1821
131800,dza,1822
132600,dza,1823
133300,dza,1824
134100,dza,1825
135000,dza,1826
135800,dza,1827
136700,dza,1828
137500,dza,1829
138500,dza,1830
139400,dza,1831
140400,dza,1832
141300,dza,1833
142300,dza,1834
143200,dza,1835
144200,dza,1836
145200,dza,1837
146200,dza,1838
147200,dza,1839
148200,dza,1840
149200,dza,1841
150200,dza,1842
151200,dza,1843
152300,dza,1844
153300,dza,1845
154400,dza,1846
155400,dza,1847
156500,dza,1848
157500,dza,1849
158600,dza,1850
159700,dza,1851
160800,dza,1852
161900,dza,1853
163100,dza,1854
164200,dza,1855
165400,dza,1856
166500,dza,1857
167700,dza,1858
168800,dza,1859
170000,dza,1860
171200,dza,1861
172400,dza,1862
173700,dza,1863
175000,dza,1864
176300,dza,1865
177600,dza,1866
179000,dza,1867
180300,dza,1868
181800,dza,1869
183200,dza,1870
184700,dza,1871
186200,dza,1872
187600,dza,1873
189100,dza,1874
190700,dza,1875
192400,dza,1876
194000,dza,1877
195700,dza,1878
197400,dza,1879
199200,dza,1880
200900,dza,1881
202700,dza,1882
204500,dza,1883
206300,dza,1884
208100,dza,1885
210000,dza,1886
211800,dza,1887
213700,dza,1888
215600,dza,1889
217600,dza,1890
219500,dza,1891
221500,dza,1892
223400,dza,1893
225400,dza,1894
227400,dza,1895
229500,dza,1896
231500,dza,1897
233600,dza,1898
235700,dza,1899
237800,dza,1900
239900,dza,1901
242000,dza,1902
244200,dza,1903
246300,dza,1904
248500,dza,1905
250800,dza,1906
253000,dza,1907
255200,dza,1908
257500,dza,1909
259800,dza,1910
262100,dza,1911
264400,dza,1912
267100,dza,1913
270200,dza,1914
273700,dza,1915
277200,dza,1916
280700,dza,1917
284300,dza,1918
287900,dza,1919
291500,dza,1920
295200,dza,1921
298900,dza,1922
302700,dza,1923
306500,dza,1924
310400,dza,1925
315600,dza,1926
320800,dza,1927
325800,dza,1928
331200,dza,1929
337000,dza,1930
342800,dza,1931
348700,dza,1932
354500,dza,1933
360300,dza,1934
366200,dza,1935
372000,dza,1936
377800,dza,1937
383700,dza,1938
389500,dza,1939
395400,dza,1940
401200,dza,1941
407000,dza,1942
412900,dza,1943
418700,dza,1944
424500,dza,1945
430400,dza,1946
436200,dza,1947
442000,dza,1948
447900,dza,1949
453700,dza,1950
457100,dza,1951
464500,dza,1952
472700,dza,1953
481900,dza,1954
492100,dza,1955
503000,dza,1956
514800,dza,1957
527300,dza,1958
540200,dza,1959
553200,dza,1960
566200,dza,1961
578900,dza,1962
591200,dza,1963
603200,dza,1964
615000,dza,1965
627200,dza,1966
640100,dza,1967
654000,dza,1968
668900,dza,1969
684900,dza,1970
702000,dza,1971
719800,dza,1972
737800,dza,1973
755600,dza,1974
772700,dza,1975
789000,dza,1976
804000,dza,1977
817600,dza,1978
829500,dza,1979
839500,dza,1980
847600,dza,1981
854000,dza,1982
858700,dza,1983
861600,dza,1984
862400,dza,1985
861300,dza,1986
858000,dza,1987
852200,dza,1988
844000,dza,1989
832300,dza,1990
816200,dza,1991
795800,dza,1992
771700,dza,1993
744900,dza,1994
716700,dza,1995
688200,dza,1996
661300,dza,1997
638000,dza,1998
620100,dza,1999
609900,dza,2000
609400,dza,2001
618500,dza,2002
636700,dza,2003
663000,dza,2004
696400,dza,2005
735400,dza,2006
777500,dza,2007
819600,dza,2008
859000,dza,2009
892900,dza,2010
918600,dza,2011
935700,dza,2012
944200,dza,2013
944100,dza,2014
936400,dza,2015
74730,ago,1800
74730,ago,1801
74730,ago,1802
74730,ago,1803
74730,ago,1804
74730,ago,1805
74730,ago,1806
74830,ago,1807
74830,ago,1808
74830,ago,1809
74830,ago,1810
74860,ago,1811
74910,ago,1812
74990,ago,1813
75100,ago,1814
75230,ago,1815
75380,ago,1816
75570,ago,1817
75780,ago,1818
76020,ago,1819
76290,ago,1820
76690,ago,1821
77010,ago,1822
77360,ago,1823
77740,ago,1824
78160,ago,1825
78590,ago,1826
79060,ago,1827
79560,ago,1828
80080,ago,1829
80640,ago,1830
81230,ago,1831
81820,ago,1832
82410,ago,1833
83010,ago,1834
83730,ago,1835
84340,ago,1836
84950,ago,1837
85570,ago,1838
86190,ago,1839
86820,ago,1840
87450,ago,1841
88080,ago,1842
88720,ago,1843
89370,ago,1844
90020,ago,1845
90670,ago,1846
91330,ago,1847
92000,ago,1848
92790,ago,1849
93460,ago,1850
94210,ago,1851
94960,ago,1852
95720,ago,1853
96480,ago,1854
97260,ago,1855
98030,ago,1856
98820,ago,1857
99600,ago,1858
100400,ago,1859
101200,ago,1860
102000,ago,1861
102800,ago,1862
103800,ago,1863
104600,ago,1864
105400,ago,1865
106300,ago,1866
107100,ago,1867
108000,ago,1868
108900,ago,1869
109700,ago,1870
110600,ago,1871
111500,ago,1872
112300,ago,1873
113200,ago,1874
114100,ago,1875
115100,ago,1876
116100,ago,1877
117000,ago,1878
118000,ago,1879
118900,ago,1880
119800,ago,1881
120800,ago,1882
121800,ago,1883
122700,ago,1884
123700,ago,1885
124700,ago,1886
125700,ago,1887
126700,ago,1888
127700,ago,1889
128700,ago,1890
129900,ago,1891
130900,ago,1892
132000,ago,1893
133000,ago,1894
134100,ago,1895
