geo,electricity_use_per_person,time
aze,2022,1999
aze,2040,2000
aze,2106,2001
aze,1997,2002
aze,2235,2003
aze,2282,2004
aze,2388,2005
aze,2552,2006
aze,2118,2007
aze,2041,2008
aze,1620,2009
aze,1603,2010
aze,1705,2011
bhr,1947,1971
bhr,1960,1972
bhr,2085,1973
bhr,2280,1974
bhr,2625,1975
bhr,3171,1976
bhr,3661,1977
bhr,3746,1978
bhr,4300,1979
bhr,4612,1980
bhr,4849,1981
bhr,5205,1982
bhr,5590,1983
bhr,5140,1984
bhr,5791,1985
bhr,6660,1986
bhr,6031,1987
bhr,6349,1988
bhr,6428,1989
bhr,6533,1990
bhr,6206,1991
bhr,7078,1992
bhr,7549,1993
bhr,7987,1994
bhr,8071,1995
bhr,8280,1996
bhr,8294,1997
bhr,8604,1998
bhr,8680,1999
bhr,8590,2000
bhr,8877,2001
bhr,9194,2002
bhr,9669,2003
bhr,9812,2004
bhr,9614,2005
bhr,9798,2006
bhr,10430,2007
bhr,9134,2008
bhr,9045,2009
bhr,9895,2010
bhr,10020,2011
bgd,10.5,1971
bgd,10.33,1972
bgd,14.94,1973
bgd,16.62,1974
bgd,16.76,1975
bgd,17.05,1976
bgd,18.02,1977
bgd,21.16,1978
bgd,20.7,1979
bgd,18.45,1980
bgd,22.03,1981
bgd,24.9,1982
bgd,28.38,1983
bgd,31.23,1984
bgd,32.25,1985
bgd,36.5,1986
bgd,37.89,1987
bgd,40.87,1988
bgd,48.62,1989
bgd,47.83,1990
bgd,48.43,1991
bgd,58.02,1992
bgd,64.53,1993
bgd,68.27,1994
bgd,75.17,1995
bgd,78.76,1996
bgd,80.54,1997
bgd,85.47,1998
bgd,93.59,1999
bgd,100.9,2000
bgd,111.2,2001
bgd,118.9,2002
bgd,125.3,2003
bgd,160.3,2004
bgd,171,2005
bgd,191.6,2006
bgd,200.8,2007
bgd,202.9,2008
bgd,220.8,2009
bgd,247.4,2010
bgd,258.6,2011
blr,4381,1990
blr,4426,1991
blr,3913,1992
blr,3450,1993
blr,3068,1994
blr,2790,1995
blr,2806,1996
blr,2953,1997
blr,3016,1998
blr,3003,1999
blr,2989,2000
blr,3010,2001
blr,3001,2002
blr,3063,2003
blr,3174,2004
blr,3246,2005
blr,3366,2006
blr,3394,2007
blr,3482,2008
blr,3299,2009
blr,3564,2010
blr,3628,2011
bel,1576,1960
bel,1628,1961
bel,1753,1962
bel,1881,1963
bel,2063,1964
bel,2164,1965
bel,2255,1966
bel,2358,1967
bel,2596,1968
bel,2831,1969
bel,3032,1970
bel,3217,1971
bel,3612,1972
bel,3942,1973
bel,4134,1974
bel,3887,1975
bel,4247,1976
bel,4405,1977
bel,4623,1978
bel,4906,1979
bel,4894,1980
bel,4911,1981
bel,4904,1982
bel,5044,1983
bel,5286,1984
bel,5503,1985
bel,5617,1986
bel,5877,1987
bel,6057,1988
bel,6206,1989
bel,6380,1990
bel,6655,1991
bel,6851,1992
bel,6881,1993
bel,7176,1994
bel,7380,1995
bel,7528,1996
bel,7702,1997
bel,7913,1998
bel,7944,1999
bel,8248,2000
bel,8267,2001
bel,8312,2002
bel,8412,2003
bel,8576,2004
bel,8510,2005
bel,8684,2006
bel,8614,2007
bel,8521,2008
bel,7903,2009
bel,8388,2010
bel,8021,2011
ben,10.77,1971
ben,11.84,1972
ben,18.65,1973
ben,16.96,1974
ben,18.08,1975
ben,19.43,1976
ben,32.42,1984
ben,38.88,1994
ben,43.88,1996
ben,47.32,1997
ben,44.3,1998
ben,51.33,1999
ben,57.42,2000
ben,73.07,2006
ben,77.4,2007
ben,83.69,2008
bol,175.9,1971
bol,184,1972
bol,183.3,1973
bol,191,1974
bol,198.8,1975
bol,209,1976
bol,226.1,1977
