geo,internal_renewable_water_cu_meters_per_person,time
tun,545.4,1987
tun,491.1,1992
tun,454.7,1997
tun,428.9,2002
tun,410.7,2007
tur,7640,1962
tur,6756,1967
tur,5950,1972
tur,5254,1977
tur,4668,1982
tur,4182,1987
tur,3817,1992
tur,3495,1997
tur,3237,2002
tur,3071,2007
tkm,421.7,1987
tkm,350.1,1992
tkm,313.8,1997
tkm,293.7,2002
tkm,277.6,2007
uga,5388,1962
uga,4549,1967
uga,3897,1972
uga,3374,1977
uga,2902,1982
uga,2449,1987
uga,2033,1992
uga,1727,1997
uga,1484,2002
uga,1304,2007
ukr,1031,1992
ukr,1057,1997
ukr,1106,2002
ukr,1141,2007
are,1380,1962
are,920.6,1967
are,473.1,1972
are,208.8,1977
are,127.1,1982
are,94.79,1987
are,72.46,1992
are,54.86,1997
are,41.63,2002
are,35.31,2007
gbr,2729,1962
gbr,2637,1967
gbr,2591,1972
gbr,2576,1977
gbr,2573,1982
gbr,2553,1987
gbr,2521,1992
gbr,2488,1997
gbr,2442,2002
gbr,2396,2007
tza,7865,1962
tza,6774,1967
tza,5794,1972
tza,4938,1977
tza,4224,1982
tza,3619,1987
tza,3084,1992
tza,2667,1997
tza,2359,2002
tza,2129,2007
usa,14600,1962
usa,13730,1967
usa,13080,1972
usa,12480,1977
usa,11880,1982
usa,11280,1987
usa,10700,1992
usa,10140,1997
usa,9628,2002
usa,9246,2007
ury,22670,1962
ury,21460,1967
ury,20920,1972
ury,20660,1977
ury,19990,1982
ury,19370,1987
ury,18730,1992
ury,18070,1997
ury,17740,2002
ury,17710,2007
uzb,759.7,1992
uzb,689.8,1997
uzb,642,2002
uzb,605.6,2007
ven,88420,1962
ven,74350,1967
ven,62960,1972
ven,52870,1977
ven,45190,1982
ven,39550,1987
ven,34940,1992
ven,31400,1997
ven,28520,2002
ven,26570,2007
vnm,10370,1962
vnm,9166,1967
vnm,8158,1972
vnm,7339,1977
vnm,6627,1982
vnm,5925,1987
vnm,5302,1992
vnm,4839,1997
vnm,4500,2002
vnm,4251,2007
yem,385.6,1962
yem,348,1967
yem,316.6,1972
yem,278.6,1977
yem,232.4,1982
yem,192.4,1987
yem,154.9,1992
yem,126.2,1997
yem,108.8,2002
yem,96.63,2007
zmb,24100,1962
zmb,20690,1967
zmb,17580,1972
zmb,14870,1977
zmb,12640,1982
zmb,10790,1987
zmb,9354,1992
zmb,8232,1997
zmb,7378,2002
zmb,6857,2007
zwe,3062,1962
zwe,2600,1967
zwe,2201,1972
zwe,1864,1977
zwe,1558,1982
zwe,1288,1987
zwe,1108,1992
zwe,1005,1997
zwe,953.4,2002
zwe,926.8,2007
