geo,renewable_water_cu_meters_per_person,time
tur,7187,1962
tur,6356,1967
tur,5598,1972
tur,4943,1977
tur,4392,1982
tur,3934,1987
tur,3591,1992
tur,3289,1997
tur,3045,2002
tur,2889,2007
tkm,6363,1992
tkm,5703,1997
tkm,5339,2002
tkm,5045,2007
uga,9117,1962
uga,7698,1967
uga,6595,1972
uga,5710,1977
uga,4911,1982
uga,4144,1987
uga,3440,1992
uga,2923,1997
uga,2511,2002
uga,2207,2007
ukr,2709,1992
ukr,2777,1997
ukr,2906,2002
ukr,2997,2007
are,1380,1962
are,920.6,1967
are,473.1,1972
are,208.8,1977
are,127.1,1982
are,94.79,1987
are,72.46,1992
are,54.86,1997
are,41.63,2002
are,35.31,2007
gbr,2766,1962
gbr,2674,1967
gbr,2626,1972
gbr,2612,1977
gbr,2608,1982
gbr,2588,1987
gbr,2556,1992
gbr,2522,1997
gbr,2475,2002
gbr,2429,2007
tza,9014,1962
tza,7764,1967
tza,6640,1972
tza,5659,1977
tza,4841,1982
tza,4147,1987
tza,3535,1992
tza,3057,1997
tza,2703,2002
tza,2440,2007
usa,15910,1962
usa,14960,1967
usa,14250,1972
usa,13600,1977
usa,12950,1982
usa,12290,1987
usa,11660,1992
usa,11050,1997
usa,10490,2002
usa,10070,2007
ury,53400,1962
ury,50570,1967
ury,49290,1972
ury,48680,1977
ury,47090,1982
ury,45630,1987
ury,44140,1992
ury,42570,1997
ury,41790,2002
ury,41730,2007
uzb,2344,1992
uzb,2128,1997
uzb,1981,2002
uzb,1868,2007
ven,150900,1962
ven,126900,1967
ven,107500,1972
ven,90250,1977
ven,77140,1982
ven,67500,1987
ven,59630,1992
ven,53600,1997
ven,48680,2002
ven,45350,2007
vnm,25210,1962
vnm,22290,1967
vnm,19840,1972
vnm,17850,1977
vnm,16110,1982
vnm,14410,1987
vnm,12890,1992
vnm,11770,1997
vnm,10940,2002
vnm,10340,2007
yem,385.6,1962
yem,348,1967
yem,316.6,1972
yem,278.6,1977
yem,232.4,1982
yem,192.4,1987
yem,154.9,1992
yem,126.2,1997
yem,108.8,2002
yem,96.63,2007
zmb,31610,1962
zmb,27140,1967
zmb,23070,1972
zmb,19510,1977
zmb,16580,1982
zmb,14150,1987
zmb,12270,1992
zmb,10800,1997
zmb,9678,2002
zmb,8994,2007
zwe,4995,1962
zwe,4241,1967
zwe,3591,1972
zwe,3041,1977
zwe,2542,1982
zwe,2100,1987
zwe,1808,1992
zwe,1640,1997
zwe,1555,2002
zwe,1512,2007
