geo,agricultural_water_withdrawal_percent_of_total,time
sgp,4,1977
som,97,1987
som,99,2002
som,99.4,2007
zaf,71,1992
zaf,62.7,2002
esp,62,1987
esp,68,2002
lka,96,1992
lka,90,2002
sdn,96,1992
sdn,90,1997
sdn,96,2002
sur,89,1987
sur,92,2002
swz,95,1982
swz,96.5,2002
swe,9,1992
swe,8,2002
che,1,2002
syr,88.9,1997
syr,88,2002
syr,87.8,2007
tjk,91,1987
tjk,91,1992
tjk,92.3,1997
tjk,91,2002
tha,95,2002
tgo,25.2,1987
tgo,44.9,2002
tto,5.7,1997
tto,6,2002
tun,88.7,1992
tun,82,2002
tur,70,1992
tur,70,2002
tur,70,2007
tkm,98.7,1992
tkm,97.9,1997
tkm,97,2002
uga,60,1972
uga,40,2002
ukr,52,2002
are,80,1982
are,66.7,1997
are,82.8,2007
gbr,3,1992
gbr,2,2002
tza,89.3,2002
usa,57,1992
usa,41,2002
ury,91,1967
ury,96,2002
uzb,92.9,1977
uzb,93.4,1982
uzb,93.4,1987
uzb,94.7,1992
uzb,93.6,1997
uzb,93,2002
ven,46,1972
ven,47,2002
vnm,92,1982
vnm,89,1987
vnm,80,1992
vnm,68,2002
yem,90,1992
yem,90,2002
zmb,76.6,1992
zmb,77.2,1997
zmb,75,2002
zwe,79,1987
zwe,78.9,2002
