alternative_gdp_per_capita_ppp_pwt_7_1,geo,time
1041,afg,1970
981.9,afg,1971
929.6,afg,1972
995.3,afg,1973
1059,afg,1974
1088,afg,1975
1163,afg,1976
1172,afg,1977
1205,afg,1978
1148,afg,1979
1142,afg,1980
1285,afg,1981
1424,afg,1982
1512,afg,1983
1501,afg,1984
1466,afg,1985
1511,afg,1986
1365,afg,1987
1243,afg,1988
1128,afg,1989
1089,afg,1990
969.8,afg,1991
902.1,afg,1992
600.9,afg,1993
431.8,afg,1994
619,afg,1995
570.4,afg,1996
527.2,afg,1997
490.6,afg,1998
454,afg,1999
427.4,afg,2000
406.2,afg,2001
614.8,afg,2002
703.9,afg,2003
696.6,afg,2004
775.7,afg,2005
799.4,afg,2006
894.2,afg,2007
894,afg,2008
1018,afg,2009
1049,afg,2010
2886,alb,1970
2930,alb,1971
2974,alb,1972
3052,alb,1973
3099,alb,1974
3156,alb,1975
3214,alb,1976
3252,alb,1977
3339,alb,1978
3403,alb,1979
3375,alb,1980
3627,alb,1981
3613,alb,1982
3560,alb,1983
3398,alb,1984
3447,alb,1985
3616,alb,1986
3616,alb,1987
3504,alb,1988
3699,alb,1989
3231,alb,1990
2339,alb,1991
2295,alb,1992
2516,alb,1993
2681,alb,1994
2986,alb,1995
3231,alb,1996
3076,alb,1997
2959,alb,1998
3297,alb,1999
3416,alb,2000
3527,alb,2001
3629,alb,2002
4064,alb,2003
4560,alb,2004
4939,alb,2005
5398,alb,2006
5902,alb,2007
6606,alb,2008
6790,alb,2009
6617,alb,2010
4073,dza,1960
3899,dza,1961
2482,dza,1962
3016,dza,1963
3199,dza,1964
3383,dza,1965
3094,dza,1966
3364,dza,1967
3612,dza,1968
3794,dza,1969
4050,dza,1970
3454,dza,1971
4235,dza,1972
4190,dza,1973
4004,dza,1974
4084,dza,1975
4217,dza,1976
4409,dza,1977
4752,dza,1978
5169,dza,1979
4868,dza,1980
4764,dza,1981
4973,dza,1982
5065,dza,1983
5202,dza,1984
5209,dza,1985
5217,dza,1986
5172,dza,1987
5017,dza,1988
5031,dza,1989
5002,dza,1990
4902,dza,1991
4840,dza,1992
4641,dza,1993
4487,dza,1994
4569,dza,1995
4730,dza,1996
4700,dza,1997
4888,dza,1998
4964,dza,1999
