geo,maternal_mortality_ratio_per_100000_live_births,time
lka,179.3,1968
lka,153.2,1969
lka,144.9,1970
lka,138.3,1971
lka,130.1,1972
lka,118.9,1973
lka,108.6,1974
lka,99.4,1975
lka,98,1976
lka,91.9,1977
lka,86.1,1978
lka,86.1,1979
lka,91.9,1980
lka,49,1990
lka,71,1995
lka,55,2000
lka,41,2005
lka,32,2010
lka,29,2013
sdn,639.3,1980
sdn,720,1990
sdn,640,1995
sdn,540,2000
sdn,460,2005
sdn,390,2010
sdn,360,2013
sur,175.1,1980
sur,84,1990
sur,39,1995
sur,120,2000
sur,110,2005
sur,150,2010
sur,130,2013
swz,559.2,1980
swz,550,1990
swz,480,1995
swz,520,2000
swz,480,2005
swz,350,2010
swz,310,2013
swe,895.6,1800
swe,839.6,1801
swe,841.7,1802
swe,818.6,1803
swe,754.8,1804
swe,667.5,1805
swe,866.2,1806
swe,866.3,1807
swe,870.7,1808
swe,1008,1809
swe,887,1810
swe,896.8,1811
swe,828.8,1812
swe,738.7,1813
swe,764.8,1814
swe,746.1,1815
swe,691.4,1816
swe,751.3,1817
swe,757.2,1818
swe,740.7,1819
swe,757.9,1820
swe,754.8,1821
swe,780.4,1822
swe,706.3,1823
swe,570.7,1824
swe,565.2,1825
swe,618.8,1826
swe,645.6,1827
swe,705.8,1828
swe,721.7,1829
swe,658.4,1830
swe,627.7,1831
swe,569.8,1832
swe,593.2,1833
swe,574.7,1834
swe,514.6,1835
swe,543.1,1836
swe,547.5,1837
swe,467.1,1838
swe,507.9,1839
swe,610.2,1840
swe,622.6,1841
swe,669.5,1842
swe,459.9,1843
swe,426,1844
swe,430.3,1845
swe,494.5,1846
swe,441.6,1847
swe,415.5,1848
swe,471.9,1849
swe,467.4,1850
swe,472.7,1851
swe,453.3,1852
swe,421.9,1853
swe,445.4,1854
swe,441.5,1855
swe,352.8,1856
swe,370.3,1857
swe,509.9,1858
swe,528.1,1859
swe,488.1,1860
swe,514.1,1861
swe,560.1,1862
swe,566,1863
swe,597,1864
swe,595.8,1865
swe,511.7,1866
swe,496,1867
swe,498.5,1868
swe,591.4,1869
swe,648.4,1870
swe,569.4,1871
swe,468.6,1872
swe,556,1873
swe,907.3,1874
swe,673.7,1875
swe,618.1,1876
swe,493.9,1877
swe,429.1,1878
swe,443.7,1879
swe,476.7,1880
swe,488.7,1881
swe,372.3,1882
swe,412.4,1883
swe,355.3,1884
swe,436.2,1885
swe,372.5,1886
swe,443.8,1887
swe,343.7,1888
swe,315,1889
swe,303.9,1890
swe,336.5,1891
swe,367.2,1892
swe,369.7,1893
swe,299.1,1894
swe,277.1,1895
swe,246.4,1896
swe,256.4,1897
swe,206.6,1898
swe,248.7,1899
swe,188.2,1900
swe,226,1901
swe,222.8,1902
swe,227.8,1903
swe,213.4,1904
swe,245.9,1905
swe,237.9,1906
swe,298.3,1907
swe,212.4,1908
swe,250.2,1909
swe,254.4,1910
swe,266.2,1911
swe,232.6,1912
swe,227.3,1913
swe,260.3,1914
swe,290.3,1915
swe,266.3,1916
swe,245.7,1917
swe,257.7,1918
swe,320.3,1919
swe,400.7,1920
swe,269.3,1921
swe,251.4,1922
swe,231.9,1923
swe,238.4,1924
swe,263.4,1925
swe,294.1,1926
swe,277.6,1927
swe,330,1928
swe,379.1,1929
swe,348.1,1930
swe,367.8,1931
swe,344.2,1932
swe,307,1933
swe,332.6,1934
swe,256.1,1935
swe,314.8,1936
swe,309.8,1937
swe,239.5,1938
swe,226.9,1939
swe,216.1,1940
swe,204.6,1941
swe,156.2,1942
swe,154.7,1943
swe,157.8,1944
swe,133,1945
swe,95.8,1946
swe,87,1947
swe,75,1948
swe,66.8,1949
swe,61.5,1950
swe,86.2,1951
swe,59,1952
swe,61.7,1953
swe,54.2,1954
swe,49.4,1955
swe,35.2,1956
swe,36.4,1957
swe,30.3,1958
swe,23.9,1959
swe,38.2,1960
swe,21.1,1961
swe,13,1962
swe,26.6,1963
swe,19.6,1964
swe,13.8,1965
swe,10.5,1966
swe,14,1967
swe,8.8,1968
swe,10.2,1969
swe,9.4,1970
swe,8.3,1971
swe,5.9,1972
swe,5.7,1973
swe,4,1974
swe,4.4,1975
swe,5.8,1976
swe,7.3,1977
swe,6.3,1978
swe,6.3,1979
swe,5.8,1980
swe,6,1990
swe,5,1995
swe,5,2000
swe,4,2005
swe,5,2010
swe,4,2013
che,8.6,1980
che,8,1990
che,8,1995
che,7,2000
che,8,2005
che,8,2010
che,6,2013
syr,251.3,1980
syr,130,1990
syr,94,1995
syr,75,2000
syr,58,2005
syr,50,2010
syr,49,2013
twn,37.7,1980
twn,19.7,1990
twn,17.1,2000
tjk,127.5,1980
tjk,68,1990
tjk,120,1995
tjk,89,2000
tjk,59,2005
tjk,48,2010
tjk,44,2013
tza,603.2,1980
tza,910,1990
tza,890,1995
tza,770,2000
tza,610,2005
tza,460,2010
tza,410,2013
tha,115.4,1980
tha,42,1990
tha,37,1995
tha,40,2000
tha,34,2005
tha,28,2010
tha,26,2013
tls,1446,1980
tls,1200,1990
tls,1000,1995
tls,680,2000
tls,500,2005
tls,330,2010
tls,270,2013
tgo,600.4,1980
tgo,660,1990
tgo,660,1995
tgo,580,2000
tgo,510,2005
tgo,480,2010
tgo,450,2013
ton,358.7,1980
ton,71,1990
ton,89,1995
ton,91,2000
ton,100,2005
ton,120,2010
ton,120,2013
tto,68.1,1980
tto,89,1990
tto,91,1995
tto,59,2000
tto,58,2005
tto,82,2010
tto,84,2013
tun,294.2,1980
tun,91,1990
tun,81,1995
tun,65,2000
tun,55,2005
tun,48,2010
tun,46,2013
tur,251,1980
tur,48,1990
tur,39,1995
tur,33,2000
tur,27,2005
tur,22,2010
tur,20,2013
tkm,76.7,1980
tkm,66,1990
tkm,79,1995
tkm,81,2000
tkm,76,2005
tkm,65,2010
tkm,61,2013
uga,435.3,1980
uga,780,1990
uga,740,1995
uga,650,2000
uga,510,2005
uga,410,2010
uga,360,2013
ukr,43.6,1980
ukr,49,1990
ukr,45,1995
ukr,35,2000
ukr,25,2005
ukr,29,2010
ukr,23,2013
are,41.1,1980
are,16,1990
are,13,1995
are,11,2000
are,8,2005
are,8,2010
are,8,2013
gbr,597.4,1847
gbr,611.8,1848
gbr,577.5,1849
gbr,548,1850
gbr,534.2,1851
gbr,520.3,1852
gbr,499.7,1853
gbr,474.3,1854
gbr,409,1855
gbr,445.4,1856
gbr,422.2,1857
gbr,472,1858
gbr,504.2,1859
gbr,473.2,1860
gbr,436.3,1861
gbr,428.4,1862
gbr,497,1863
gbr,544.7,1864
gbr,517.6,1865
gbr,474.7,1866
gbr,441.5,1867
gbr,443,1868
gbr,433.8,1869
gbr,490.8,1870
gbr,501.3,1871
gbr,467.1,1872
gbr,494,1873
gbr,689.4,1874
gbr,587.6,1875
gbr,467.9,1876
gbr,394.1,1877
gbr,377.3,1878
gbr,389.7,1879
gbr,408.6,1880
gbr,489.3,1881
gbr,512.2,1882
gbr,521.8,1883
gbr,487.8,1884
gbr,512.3,1885
gbr,431.5,1886
gbr,472.1,1887
gbr,480.4,1888
gbr,417.1,1889
gbr,498.4,1890
gbr,529.3,1891
gbr,574.9,1892
gbr,627.6,1893
gbr,532.4,1894
gbr,460.2,1895
gbr,491.9,1896
gbr,459.4,1897
gbr,437.3,1898
gbr,464.7,1899
gbr,474.4,1900
gbr,472.7,1901
gbr,455.5,1902
gbr,422,1903
gbr,397.2,1904
gbr,435.8,1905
gbr,419.3,1906
gbr,401.7,1907
gbr,376.6,1908
gbr,391,1909
gbr,382,1910
gbr,409.7,1911
gbr,416.7,1912
gbr,419.1,1913
gbr,439.9,1914
gbr,441.7,1915
gbr,431.3,1916
gbr,414.4,1917
gbr,420.3,1918
gbr,461.6,1919
gbr,455.7,1920
gbr,422.3,1921
gbr,415.6,1922
gbr,414.6,1923
gbr,414.5,1924
gbr,434.6,1925
gbr,441.3,1926
gbr,440.9,1927
gbr,474.7,1928
gbr,465,1929
gbr,472.4,1930
gbr,420,1931
gbr,433.6,1932
gbr,452.8,1933
gbr,464.2,1934
gbr,457.8,1935
gbr,421.3,1936
gbr,367.4,1937
gbr,356.1,1938
gbr,340.4,1939
gbr,298.6,1940
gbr,316.2,1941
gbr,276.2,1942
gbr,253.7,1943
gbr,209.3,1944
gbr,196,1945
gbr,155.5,1946
gbr,129.4,1947
gbr,111,1948
gbr,103,1949
gbr,91.4,1950
gbr,76,1951
gbr,67,1952
gbr,71,1953
gbr,65,1954
gbr,60.6,1955
gbr,53.4,1956
gbr,46,1957
gbr,44.3,1958
gbr,38.7,1959
gbr,39.5,1960
gbr,33.8,1961
gbr,35.6,1962
gbr,28.5,1963
gbr,25.9,1964
gbr,26.9,1965
gbr,26.1,1966
gbr,20.9,1967
gbr,23.4,1968
gbr,18.9,1969
gbr,18,1970
gbr,16.8,1971
gbr,15.4,1972
gbr,14.4,1973
gbr,13.3,1974
gbr,13.2,1975
gbr,13,1976
gbr,12.5,1977
gbr,11.7,1978
gbr,11.7,1979
gbr,10.3,1980
gbr,10,1990
gbr,11,1995
gbr,11,2000
gbr,12,2005
gbr,11,2010
gbr,8,2013
usa,850,1900
usa,800,1901
usa,740,1902
usa,700,1903
usa,790,1904
usa,800,1905
usa,710,1906
usa,720,1907
usa,670,1908
usa,700,1909
usa,690,1910
usa,700,1911
usa,650,1912
usa,680,1913
usa,710,1914
usa,608,1915
usa,622,1916
usa,662,1917
usa,916,1918
usa,737,1919
usa,799,1920
usa,682,1921
usa,664,1922
usa,665,1923
usa,656,1924
usa,647,1925
usa,656,1926
usa,647,1927
usa,692,1928
usa,695,1929
usa,673,1930
usa,661,1931
usa,633,1932
usa,619,1933
usa,593,1934
usa,582,1935
usa,568,1936
usa,489,1937
usa,435,1938
usa,404,1939
usa,376,1940
usa,317,1941
usa,259,1942
usa,245,1943
usa,228,1944
usa,207,1945
usa,157,1946
usa,135,1947
usa,117,1948
usa,90,1949
usa,83,1950
usa,75,1951
usa,68,1952
usa,61,1953
usa,52.4,1954
usa,47,1955
usa,40.9,1956
usa,41,1957
usa,37.6,1958
usa,37.4,1959
usa,37.1,1960
usa,36.9,1961
usa,35.2,1962
usa,35.8,1963
usa,33.3,1964
usa,31.6,1965
usa,29.1,1966
usa,28,1967
usa,24.5,1968
usa,22.2,1969
usa,20.8,1970
usa,19.7,1971
usa,17.6,1972
usa,16.2,1973
usa,14.2,1974
usa,13.2,1975
usa,12.4,1976
usa,11.4,1977
usa,10.5,1978
usa,10.5,1979
usa,12.2,1980
usa,12,1990
usa,11,1995
usa,13,2000
usa,17,2005
usa,27,2010
usa,28,2013
ury,54.9,1980
ury,42,1990
ury,34,1995
ury,35,2000
ury,32,2005
ury,23,2010
ury,14,2013
uzb,72.1,1980
uzb,66,1990
uzb,54,1995
uzb,48,2000
uzb,44,2005
uzb,40,2010
uzb,36,2013
vut,509.3,1980
vut,170,1990
vut,140,1995
vut,120,2000
vut,100,2005
vut,90,2010
vut,86,2013
ven,73.9,1980
ven,93,1990
ven,98,1995
ven,91,2000
ven,94,2005
ven,110,2010
ven,110,2013
pse,181.4,1980
pse,96,1990
pse,71,1995
pse,59,2000
pse,59,2005
pse,53,2010
pse,47,2013
vnm,335.8,1980
vnm,140,1990
vnm,110,1995
vnm,82,2000
vnm,60,2005
vnm,51,2010
vnm,49,2013
yem,808.1,1980
yem,460,1990
yem,420,1995
yem,370,2000
yem,330,2005
yem,290,2010
yem,270,2013
zmb,598.8,1980
zmb,580,1990
zmb,630,1995
zmb,610,2000
zmb,430,2005
zmb,320,2010
zmb,280,2013
zwe,218.6,1980
zwe,520,1990
zwe,550,1995
zwe,680,2000
zwe,740,2005
zwe,610,2010
zwe,470,2013
ssd,1800,1990
ssd,1500,1995
ssd,1200,2000
ssd,1000,2005
ssd,830,2010
ssd,730,2013
