geo,malaria_cases_per_100000_reported,time
lka,1144,1998
lka,1122,2000
lka,353.7,2001
lka,219.3,2002
lka,55.42,2003
lka,19.54,2004
lka,8.577,2005
lka,3.077,2006
tha,504.5,1990
tha,361,1991
tha,302.9,1992
tha,204.9,1993
tha,179.5,1994
tha,143.8,1995
tha,150.6,1996
tha,165.8,1997
tha,220.4,1998
tha,208.6,1999
tha,134.7,2000
tha,103.8,2001
tha,72.24,2002
tha,60.13,2003
tha,42.66,2004
tha,47.27,2005
tha,47.75,2006
khm,1277,1990
khm,1025,1991
khm,876,1992
khm,924.1,1993
khm,767.8,1994
khm,675.1,1995
khm,640,1996
khm,734.2,1997
khm,480.1,1998
khm,516.3,1999
khm,488.6,2000
khm,845.9,2001
khm,755.7,2002
khm,887.5,2003
khm,669.5,2004
khm,480.4,2005
khm,627.7,2006
chn,10.22,1990
chn,8.74,1991
chn,6.294,1992
chn,4.965,1993
chn,5.166,1994
chn,3.861,1995
chn,2.709,1996
chn,2.154,1997
chn,2.157,1998
chn,2.115,1999
chn,1.458,2000
chn,2.094,2001
chn,13.29,2002
chn,13.02,2003
chn,11.1,2004
chn,7.581,2005
chn,8.751,2006
lao,540.8,1990
lao,977.4,1991
lao,890.2,1992
lao,939.1,1993
lao,1150,1994
lao,1109,1995
lao,1620,1996
lao,1468,1997
lao,776.7,1998
lao,547.1,1999
lao,765.8,2000
lao,1956,2001
lao,1577,2002
lao,1616,2003
lao,965.4,2004
lao,536,2005
lao,355.4,2006
mys,279,1990
mys,210.7,1991
mys,193.1,1992
mys,203.7,1993
mys,293.6,1994
mys,287.5,1995
mys,245.8,1996
mys,123,1997
mys,60.73,1998
mys,48.81,1999
mys,54.59,2000
mys,53.75,2001
mys,45.42,2002
mys,25.63,2003
mys,24.43,2004
mys,21.71,2005
mys,20.27,2006
png,2539,1990
png,2041,1991
png,1988,1992
png,1496,1993
png,1418,1994
png,2103,1995
png,1468,1996
png,766.8,1997
png,409.4,1998
png,354.1,1999
png,1509,2000
png,29760,2001
png,28050,2002
png,28470,2003
png,31480,2004
png,29460,2005
png,27040,2006
phl,140.8,1990
phl,137.9,1991
phl,149.3,1992
phl,98.99,1993
phl,92.34,1994
phl,82.89,1995
phl,57.85,1996
phl,58.68,1997
phl,69.38,1998
phl,49.66,1999
phl,48.02,2000
phl,44.69,2001
phl,46.55,2002
phl,59.68,2003
phl,61.36,2004
phl,54.97,2005
phl,40.7,2006
kor,0,1990
kor,0,1991
kor,0,1992
kor,0.00226,1993
kor,0.04485,1994
kor,0.2377,1995
kor,0.8722,1996
kor,3.765,1997
kor,8.651,1998
kor,7.791,1999
kor,8.854,2000
kor,5.433,2001
kor,3.805,2002
kor,2.466,2003
kor,1.812,2004
kor,2.86,2005
kor,4.268,2006
slb,37150,1990
slb,43820,1991
slb,46190,1992
slb,36910,1993
slb,37450,1994
slb,32760,1995
slb,22780,1996
slb,17800,1997
slb,18500,1998
slb,15620,1999
slb,16340,2000
slb,17910,2001
slb,17090,2002
slb,20160,2003
slb,19590,2004
slb,16170,2005
slb,15560,2006
vut,19270,1990
vut,12650,1991
vut,8408,1992
vut,6408,1993
vut,2245,1994
vut,4830,1995
vut,3214,1996
vut,3402,1997
vut,3388,1998
vut,2772,1999
vut,3567,2000
vut,9747,2001
vut,17190,2002
vut,20960,2003
vut,18930,2004
vut,14990,2005
vut,9595,2006
vnm,187.1,1990
vnm,277.9,1991
vnm,326.8,1992
vnm,221.1,1993
vnm,194.6,1994
vnm,136.5,1995
vnm,113.5,1996
vnm,86.95,1997
vnm,93.8,1998
vnm,96.33,1999
vnm,93.96,2000
vnm,234.4,2001
vnm,227,2002
vnm,198.8,2003
vnm,153.1,2004
vnm,116.5,2005
vnm,106,2006
